zeo,osda,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,6.999200333381776,23.994648467277404,30.99384880065918,0.0,0.0,0.0,0.14466905081081083,0.14466905081081083,0.0,5.291637926612246,5.291637926612246,0.0,0.02775098599322956,0.0765545644628175,0.10430555045604706,0.003272375323203614,0.0083260654922102,0.005053690169006586,0.1454481662971285,0.1567368922966215,0.30218505859375,0.21305641258186506,0.003134864326055777,0.21619127690792084,1.228149138763385,26.027721129730182,24.799571990966797,0.40693856263638356,0.10925291990756175,0.5161914825439453,9.093641711461913,144.88540797115527,153.9790496826172,87.22245984109733,206.10572247537468,118.88326263427734
AEL,CCCNCCC,0.0697373171066892,0.02252133742812753,0.09225865453481674,0.04269957926728862,1.0031856932924046,0.960486114025116,0.0,0.0,0.0,0.0,0.0,0.0,0.000580966065172106,0.0,0.000580966065172106,0.0009384726200873362,0.0009384726200873362,0.0,0.0003767739248908297,0.0003767739248908297,0.0,0.021973524662012127,0.008996715349799128,0.030970240011811256,18.382297472815832,11.137367291588465,29.519664764404297,0.3715445166888557,0.709029830104383,0.33748531341552734,4.707831223729102,190.42978556943223,185.72195434570312,34.43503052409078,109.4344506901064,74.99942016601562
CHA,OSDA-free,0.5006955363357122,8.432702710429425,8.933398246765137,0.08888888888888889,0.08888888888888889,0.0,0.034482758620689655,0.034482758620689655,0.0,2.136754274368286,0.0,2.136754274368286,0.35849477599585067,0.6073809738012553,0.24888619780540466,0.3916907150405656,0.019832209859489334,0.41152292490005493,0.15512055543744485,0.4954503217109434,0.34032976627349854,0.063485287129879,0.0,0.063485287129879,45.97683853099164,11.855547485854062,57.8323860168457,0.0020952631798742136,0.0020952631798742136,0.0,52.472001053349686,100.13186552379875,152.60386657714844,47.387538181875655,107.82932590160222,60.44178771972656
MFI,OSDA-free,3.3104516419932253,47.22735227675885,43.916900634765625,0.0,0.0,0.0,,,0.0,11.424327569824218,18.6202815,30.04460906982422,0.25515736477585427,0.5756588413021146,0.3205014765262604,0.002576774583739837,0.002576774583739837,0.0,0.11709530834254156,0.39830096248682867,0.2812056541442871,0.0009733606601626017,0.0009733606601626017,0.0,10.907187977888242,26.223263224504336,37.13045120239258,0.0014483670169831648,0.0064332473626016245,0.00788161437958479,12.180100137792238,160.17158443252026,172.3516845703125,11.864117944599705,63.7435239199415,51.8794059753418
CHA,CCN(CC)CC,0.06589925079794362,0.28038400202246144,0.21448475122451782,0.02217670534430627,0.9571315870123971,0.9349548816680908,0.0,0.0,0.0,0.0,0.0,0.0,0.022845481295123884,0.023764143645283023,0.0009186623501591384,0.00472278649735849,0.00472278649735849,0.0,0.03235904600188679,0.03235904600188679,0.0,0.007111558092881779,0.009393668399999996,0.016505226492881775,4.9810247475473375,22.787114148792455,17.806089401245117,0.2573392991525023,0.3950886722105653,0.6524279713630676,1.7021173951746675,185.0791773316981,183.37705993652344,97.57648766625783,139.2146979628887,41.63821029663086
LTA,C[N+](C)(C)C,2.3294534927995487,4.991422439256458,2.661968946456909,0.23128333687782288,0.0,0.23128333687782288,0.049638651282051284,0.049638651282051284,0.0,1.4714527329787233,1.4714527329787233,0.0,0.3883148198202618,0.060713374130391295,0.4490281939506531,0.0009063927495652173,0.0009063927495652173,0.0,0.4607863695891332,1.4228623183043432,0.96207594871521,0.01195652224123478,0.0,0.01195652224123478,36.69065288205945,28.09433552126086,64.78498840332031,0.8768684344780454,0.9657400173652163,1.8426084518432617,26.52002708711359,134.34901420869562,107.82898712158203,6.913714214572309,149.34449501394332,156.25820922851562
MEL,CCCC[N+](CCCC)(CCCC)CCCC,29.09645561031096,55.058812177693774,25.962356567382812,0.0,0.0,0.0,1.6678629259259259,1.6678629259259259,0.0,7.572882360256035,15.356766408717949,7.783884048461914,0.07665017322570197,0.047002091250120476,0.12365226447582245,0.008599999168232656,0.010091894113734937,0.0014918949455022812,0.07787954534892416,0.35601508345012045,0.2781355381011963,0.01756088349879518,0.01756088349879518,0.0,6.719643468221911,49.24050986226488,42.52086639404297,0.04479636120943212,0.24628981816915654,0.20149345695972443,4.879803544361664,141.8604003130602,146.74020385742188,39.506738202500884,28.309118731092866,67.81585693359375
CHA,C1COCCN1,0.19761665056076505,0.42163504550781705,0.224018394947052,0.2090774380399374,0.7659454739855143,0.9750229120254517,0.0,0.0,0.0,0.0,0.0,0.0,0.018769132512195124,0.018769132512195124,0.0,0.009820287959853659,0.009820287959853659,0.0,0.018972397509756107,0.018972397509756107,0.0,0.21977151346103174,0.26989012372390253,0.05011861026287079,9.724715923917788,28.421802258146304,18.697086334228516,0.011523984555412148,0.8042984975536577,0.8158224821090698,0.8149010260337377,181.04504934146343,180.2301483154297,5.4880836736681005,97.92686383609752,103.41494750976562
ATO,CCCNCCC,0.036573094436432634,0.010403695395682542,0.04697678983211517,0.012668985707836589,1.0144689267707638,1.0017999410629272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02888193986363827,0.00015873015873015873,0.02904067002236843,39.250771700203906,8.489386380850783,47.74015808105469,0.39493397423814025,0.781610583754284,0.3866766095161438,12.928733498686768,204.6766888209524,191.74795532226562,60.36279008007074,113.54805466747308,53.185264587402344
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,38.42756243841641,59.100234710144925,20.672672271728516,0.0,0.0,0.0,3.2121715568968314,5.973118779712055,9.185290336608887,15.765490215084746,38.06495348717947,22.299463272094727,0.00040482323225806457,0.00040482323225806457,0.0,8.534774232258064e-05,8.534774232258064e-05,0.0,0.15170055927743173,0.03380454776774192,0.18550510704517365,0.16376030659611673,0.3639736346000001,0.20021332800388336,0.6237812358866215,5.849971802903223,5.226190567016602,0.004349476262490465,0.24518763141290398,0.2408381551504135,0.4575404804498362,174.46181681935485,174.9193572998047,3.5402820109710547,321.62100338941957,325.1612854003906
