zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.3349733352661133
AEL,CCCNCCC,0.24338817596435547
CHA,OSDA-free,1.2879772186279297
MFI,OSDA-free,0.4006328582763672
CHA,CCN(CC)CC,0.44512939453125
LTA,C[N+](C)(C)C,0.7430143356323242
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.46197986602783203
CHA,C1COCCN1,0.6499958038330078
ATO,CCCNCCC,1.084050178527832
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.8652453422546387
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,2.596813201904297
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.6217985153198242
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.2807188034057617
LEV,C[N+]12CCC(CC1)CC2,0.6420326232910156
AFI,CCCN(CCC)CCC,0.08830833435058594
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.2519092559814453
MAZ,OSDA-free,0.6318855285644531
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,3.4998998641967773
AEN,CC[n+]1ccn(C)c1C,0.6850509643554688
FAU,C1COCCOCCOCCOCCOCCO1,0.9802303314208984
FAU,CC[N+](CC)(CC)CC,1.381937026977539
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.2836480140686035
PHI,OSDA-free,0.6967916488647461
GIS,CCCNCCC,2.489136219024658
LEV,C[N+]1(C)CCCCC1,1.4797868728637695
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.9310603141784668
FER,C[N+]1(Cc2ccccc2)CCCC1,0.49591541290283203
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.9116830825805664
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.40849971771240234
SAV,C1CNCCCNCCNCCNC1,0.9241113662719727
AEI,CC[P+](CC)(CC)CC,2.9536662101745605
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.490753173828125
NSI,c1cc(-c2ccncc2)ccn1,2.030242443084717
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.8824210166931152
FER,C1CNCCN1,0.2858428955078125
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.0152864456176758
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.82708740234375
MWW,CCCCCCC[N+](C)(C)C,0.29693603515625
MFI,CCN,0.37872791290283203
TON,NCCCCCCCCN,0.9194612503051758
AFR,CCC[N+](CCC)(CCC)CCC,0.5348882675170898
AST,c1ccncc1,1.802541732788086
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.6450710296630859
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.5613002777099609
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.101485252380371
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.6974077224731445
STF,CCC1CCCC[N+]12CCCCC2,1.6849451065063477
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.3229713439941406
CHA,CC(C)NC(C)C,1.9593391418457031
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.010413169860839844
ITE,NCCNCCNCCNCCNCCN,1.4078397750854492
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.2807159423828125
UFI,CC[N+](CC)(CC)CC,4.364699840545654
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.5702781677246094
CLO,C1CN2CCC1CC2,3.3866753578186035
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.33667850494384766
AFI,[CH]1C=CC=C1,2.2199878692626953
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.0890893936157227
LAU,c1c[nH]cn1,0.9853525161743164
LEV,CC[N+](C)(C)CC,2.4574227333068848
OFF,C[N+](C)(C)Cc1ccccc1,1.353017807006836
FER,NCCCCN,1.314652442932129
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.9728059768676758
STI,CC[N+](CC)(CC)CC,4.3229851722717285
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.3039956092834473
STF,CC1(C)C2CCC[N+](C)(C)C1C2,-0.0289154052734375
MTN,C1CCNC1,1.2549705505371094
AFI,CCN(C(C)C)C(C)C,1.076706886291504
AEN,CC[N+](CC)(CC)CC,0.8137922286987305
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.8600883483886719
AST,CC(C)[N+](C)(C)C,-0.11502838134765625
MTW,C1CN2CCN1CC2,1.367772102355957
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.10659599304199219
MTW,C1CCC[N+]2(CC1)CCCCC2,0.23684024810791016
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,1.2548446655273438
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.5603885650634766
MFI,C1CCNC1,0.7395687103271484
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,2.5568647384643555
NON,CC1CCCN1,0.02844715118408203
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,3.4684391021728516
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,1.446040153503418
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,-0.10817241668701172
BEC,CC[N+](CC)(CC)Cc1ccccc1,1.2070283889770508
CHA,CN(CCO)CCO,0.116241455078125
FAU,Cc1cccc(C)[n+]1C,0.5370960235595703
NON,CC1CCCCN1,0.038570404052734375
CHA,CN1CCNCC1,2.930115222930908
ERI,C[N+]1(C)CCCCC1,2.7075271606445312
AFI,C1CCCNCC1,-0.11367416381835938
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.0886945724487305
ITE,C[N+]1(C)CCCCC2CCCCC21,0.9969186782836914
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.5858383178710938
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,1.1730613708496094
AVE,C1CC[N+]2(CC1)CCCC2,2.841507911682129
MWW,CCCCCC[N+](C)(C)C,0.4616813659667969
STW,CCc1n(C)cc(C)[n+]1C,0.13335418701171875
FER,CCCCN,1.7175073623657227
TON,CC(N)CN,1.253671646118164
ETL,C[N+](C)(C)CCO,0.8766698837280273
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,1.1850271224975586
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.379695415496826
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.4506969451904297
MEI,CN(CCO)CCO,2.8471012115478516
AEL,CCNCC,0.5957708358764648
CHA,NCCNCCN,1.2827396392822266
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.55271577835083
AEL,CCCCNCCCC,0.4219074249267578
MFI,CCCNCCC,1.3323287963867188
GIS,C[N+](C)(C)C,0.8189802169799805
FER,NC1CCCCC1,1.3704681396484375
SOD,C1CCC2(C1)CCC[NH2+]2,0.8354892730712891
DOH,CC1CNCCN1,0.23485946655273438
TON,CCC(C)N,0.8425502777099609
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.1518926620483398
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.16464519500732422
AFI,Fc1cccc(CN2CCCC2)c1,1.2621698379516602
AFI,CN1C2CCC1CC(O)C2,3.2434568405151367
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.16971588134765625
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,2.35984468460083
AWO,CNC,1.2842483520507812
JST,NCCN,2.007655143737793
MFI,CN(C)CC(C)(C)CN(C)C,1.5887336730957031
STF,CC[N+]1(C)C2CCCC1CCC2,-0.24126911163330078
PWN,C[N+]12CC[N+](C)(CC1)CC2,0.25467681884765625
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.11076831817626953
AEN,C[N+](C)(C)C,2.832071304321289
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,2.250600814819336
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,2.72251033782959
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,0.27292633056640625
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,1.2283878326416016
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,-0.3728904724121094
MOR,CN(C)CCCN(C)C,2.4335107803344727
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,0.2689962387084961
CGS,C1CN2CCC1CC2,4.705445289611816
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.24648571014404297
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,3.5825419425964355
LAU,Cn1ccnc1,1.8288073539733887
EMT,CC[N+](CC)(CC)CC,0.8565540313720703
TON,CCn1cc[n+](CC)c1,1.1236305236816406
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,0.4017009735107422
SAV,C1CNCCNCCCNCCNC1,0.38152408599853516
DDR,C1CN2CCC1CC2,2.5461034774780273
BEA,C[N+](C)(C)Cc1ccccc1,0.7161016464233398
MEL,CCCN,2.186384677886963
MTW,N[C@H]1CC[C@H](N)CC1,1.6779022216796875
ATS,CCCNCCC,1.6234121322631836
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.3633260726928711
AFI,C1CN2CCN1CC2,1.542433738708496
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,2.323446273803711
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,-0.3976569175720215
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,2.6697521209716797
MTW,NCC1CCNCC1,0.48940372467041016
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,0.6077852249145508
FER,Cn1cc[n+](C)c1,0.5307207107543945
AEL,CCN1C=CN(C)C1C(=O)[O-],3.2243709564208984
AEN,OSDA-free,0.2461862564086914
MTW,C[N+]1(C2CCCCC2)CCCC1,1.929814338684082
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,2.360452651977539
GIS,NCCN,0.4695701599121094
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,0.5920476913452148
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,-0.05335235595703125
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,2.470932960510254
BEA,CCC[N+]1(C)CCCC1,2.1151905059814453
LTJ,OSDA-free,3.1682753562927246
MFI,CN(C)CCCCCCN(C)C,-0.11508369445800781
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.11042404174804688
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,1.7714271545410156
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,2.7347545623779297
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,3.4443016052246094
BEC,C[N+]12CCN(CC1)CC2,1.4330787658691406
MFI,CCCC[N+]1(C)CCCC1,1.4718751907348633
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.8918027877807617
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,0.13315582275390625
RTH,CN1CCCCC1,0.5757937431335449
ASV,CC[P+](CC)(c1ccccc1)c1ccccc1,0.14625024795532227
RWY,NCCN(CCN)CCN,3.6874146461486816
MFI,CCCCC[N+]12CCC(CC1)CC2,2.1637163162231445
NON,C[N+](C)(C)C1CCCC1,1.4098749160766602
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.7270498275756836
MOR,C1CCC[N+]2(CC1)CCCCC2,1.577805519104004
