zeo,WSD
CHA,0.0711313493579343
AEL,0.054489509069914954
MFI,0.03769161075650508
LTA,0.34035131282483233
AFI,0.07521269497345694
IWR,0.17907650825816182
BEA,0.06224777033666479
MTW,0.07424211429693309
MEL,0.12963316708224953
LEV,0.12103239975690755
FAU,0.11786479683851789
BEC,0.05773894897653932
FER,0.05921417150460597
ATO,0.06944539189454758
MWW,0.5567267559527159
IMF,0.20477470576699858
AEN,0.05262339743515351
STF,0.2188382311804948
MAZ,0.053959628117979344
AEI,0.6483166135970029
GIS,0.4609355332134146
TON,0.16393846606964527
ITE,0.10995781745636359
NON,0.11255635088734042
MOR,0.05589047285908739
AST,0.15342373977034646
PHI,0.12361323641084672
SAV,0.25459889003604863
UOV,1.2062620531882153
ITT,0.5803871056463923
MTT,0.3289613181476307
ITG,0.3312409849104532
CON,0.5139011683825632
NSI,1.0075901124823154
ERI,0.0913389148545174
MTN,0.4618702006174035
MRE,0.5054633687210295
AFR,0.17922387861275757
SWY,0.20838120986100328
LAU,0.3157188875183523
DDR,0.24332629893766594
AFX,1.0744995037355958
UFI,0.5203256278460406
ISV,0.2618987702692525
ANA,0.11077145453017577
CLO,1.4306356672910776
OFF,0.0031703373172831716
STI,1.288393942898936
CTH,0.2150071390252828
SFS,0.7239263273909655
AWO,0.09004397401436309
DOH,0.20279964526518923
SOD,0.3418350844269035
STW,0.050431989373191904
UOZ,0.7002562149416411
MEI,0.5873083724779486
ETL,0.15251866864951208
AVE,1.0854117629819253
SZR,0.10568568069264843
JST,1.6627143172880274
IFR,0.6095778458629431
IFW,0.6453970512573686
CGS,1.032421214440222
PWN,0.004355811755909883
ATS,0.39290407497250823
RTH,0.6999460822303973
EUO,0.11969811958829744
EMT,1.0641023645234997
BPH,0.527276432506802
AWW,0.8389389828924478
ASV,0.34409519009850353
IHW,0.4857159553992641
RWY,0.7067845200172285
LTJ,1.1733751834349304
SFH,1.4082635311945726
NES,0.17890471429766344
IRR,0.013474981405437632
TUN,0.1557966029993046
IWV,0.3185365535409545
EON,0.4577460929565786
STO,0.6342791801390126
ITW,0.7366175166017753
SFW,0.8736868193140447
IFU,0.14733885968660626
VFI,0.46358255180428504
EEI,1.4406246201802695
SFG,1.5871627065559606
LOS,0.5517112222702841
SFV,0.8801388695148691
IFO,1.385194745630717
RTE,1.8253713264932059
MER,1.9731426891593988
AFN,0.2674376926549764
APC,1.0763135045672372
SFN,0.6167473136304122
SSY,0.42390284209695406
PUN,1.0195989782160548
LTL,1.187065095167667
UOS,0.04282931569856074
CGF,1.5687627571540992
AHT,0.029293446369719783
VET,0.20701508319208398
ABW,0.81646401432628
PWW,0.7378409746372626
