zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.13945390467036542
AEL,CCCNCCC,0.06680244035464561
CHA,OSDA-free,0.0997588922807462
MFI,OSDA-free,0.05423852928596379
CHA,CCN(CC)CC,0.15542851813931605
LTA,C[N+](C)(C)C,0.3046367803862542
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.25026651165305236
CHA,C1COCCN1,0.20504094812182533
ATO,CCCNCCC,0.06944539189454758
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.36252112635503775
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.9127317279452449
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.20477470576699858
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.16327104636793482
LEV,C[N+]12CCC(CC1)CC2,0.20343613657589243
AFI,CCCN(CCC)CCC,0.032190503431162504
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.051691632233242114
MAZ,OSDA-free,0.054871325974843004
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9218039943892569
AEN,CC[n+]1ccn(C)c1C,0.05487392344993808
FAU,C1COCCOCCOCCOCCOCCO1,0.07300591281447508
FAU,CC[N+](CC)(CC)CC,0.22403926222529857
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.2062620531882153
PHI,OSDA-free,0.11908961373933008
GIS,CCCNCCC,0.8867805446909849
LEV,C[N+]1(C)CCCCC1,0.07947522283477174
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5803871056463923
FER,C[N+]1(Cc2ccccc2)CCCC1,0.115523565357432
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.3312409849104532
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.18815733816363478
SAV,C1CNCCCNCCNCCNC1,0.6059046367112558
AEI,CC[P+](CC)(CC)CC,1.1092458755276442
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.7857623154760929
NSI,c1cc(-c2ccncc2)ccn1,1.1110435886644399
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.5950650134455395
FER,C1CNCCN1,0.03970448875754015
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.3572897834828806
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.26414896732947796
MWW,CCCCCCC[N+](C)(C)C,0.1537930316470544
MFI,CCN,0.1311527247291654
TON,NCCCCCCCCN,0.36147836387095106
AFR,CCC[N+](CCC)(CCC)CCC,0.17922387861275757
AST,c1ccncc1,0.2680765951328893
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.011107399321834757
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.4955722879296902
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.4544936468645115
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.20838120986100328
STF,CCC1CCCC[N+]12CCCCC2,0.5320322491543442
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.07313859582968964
CHA,CC(C)NC(C)C,0.5283384971768446
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.03862568718821826
ITE,NCCNCCNCCNCCNCCN,0.03885120566953092
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.2618987702692525
UFI,CC[N+](CC)(CC)CC,0.5203256278460406
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.45212088759641117
CLO,C1CN2CCC1CC2,1.4306356672910776
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.13533818277158666
AFI,[CH]1C=CC=C1,0.11148421278986494
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.5263746737306038
LAU,c1c[nH]cn1,0.2754046607462519
LEV,CC[N+](C)(C)CC,0.9776986806398823
OFF,C[N+](C)(C)Cc1ccccc1,0.0031703373172831716
FER,NCCCCN,0.24240366876752484
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.18428716164838593
STI,CC[N+](CC)(CC)CC,1.288393942898936
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.1917217903326556
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.12373946419910947
MTN,C1CCNC1,0.4706904458245019
AFI,CCN(C(C)C)C(C)C,0.302094615577275
AEN,CC[N+](CC)(CC)CC,0.1283632786618424
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.20711814405197626
AST,CC(C)[N+](C)(C)C,0.045650060941941344
MTW,C1CN2CCN1CC2,0.18270595370543924
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.09434479472754614
MTW,C1CCC[N+]2(CC1)CCCCC2,0.09381193198870781
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.2590804273082487
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.4154750539069722
MFI,C1CCNC1,0.13963829303260344
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.7003352859349263
NON,CC1CCCN1,0.10118495883152537
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.8159543645065419
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.5560727964399088
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.24690726798189475
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.29975411976194843
CHA,CN(CCO)CCO,0.0636593010960231
FAU,Cc1cccc(C)[n+]1C,0.15890565338348725
NON,CC1CCCCN1,0.1492509548820511
CHA,CN1CCNCC1,0.8532905873763124
ERI,C[N+]1(C)CCCCC1,0.10699681991951512
AFI,C1CCCNCC1,0.059121218841053924
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.5397846507433028
ITE,C[N+]1(C)CCCCC2CCCCC21,0.25899382753178046
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.21099021636267629
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.3084279213036273
AVE,C1CC[N+]2(CC1)CCCC2,1.0854117629819253
MWW,CCCCCC[N+](C)(C)C,0.23444061178428027
STW,CCc1n(C)cc(C)[n+]1C,0.028995567244692044
FER,CCCCN,1.0439835831090059
TON,CC(N)CN,0.1570636327258899
ETL,C[N+](C)(C)CCO,0.15251866864951208
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.6574109872334776
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7002562149416411
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.10568568069264843
MEI,CN(CCO)CCO,0.5873083724779486
AEL,CCNCC,0.06204382490505999
CHA,NCCNCCN,0.19569399301025797
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,0.6780780258913328
AEL,CCCCNCCCC,0.27381208192353906
MFI,CCCNCCC,0.4042134675816147
