zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.2644518612661606
AEL,CCCNCCC,0.22912306450028258
CHA,OSDA-free,0.11582103533826889
MFI,OSDA-free,0.026387586681279405
CHA,CCN(CC)CC,0.051901745888933204
LTA,C[N+](C)(C)C,0.29542078236681424
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.18652666098106296
CHA,C1COCCN1,0.4145965997342982
ATO,CCCNCCC,0.07246234877072397
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.3036731037527113
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.17584235915590263
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.31553684397347226
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.42507931207664656
LEV,C[N+]12CCC(CC1)CC2,0.13701916199076336
AFI,CCCN(CCC)CCC,0.038065519097464875
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.0712671855655983
MAZ,OSDA-free,0.09478782902881353
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.23158191402013745
AEN,CC[n+]1ccn(C)c1C,0.13972457591147527
FAU,C1COCCOCCOCCOCCOCCO1,0.08305941759346874
FAU,CC[N+](CC)(CC)CC,0.21202648752978442
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.9144713398829668
PHI,OSDA-free,0.04030985105937222
GIS,CCCNCCC,1.2965260264285525
LEV,C[N+]1(C)CCCCC1,0.09198871852343318
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5191907678957708
FER,C[N+]1(Cc2ccccc2)CCCC1,0.16875439415216648
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.5682333482821692
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.15223950592787538
SAV,C1CNCCCNCCNCCNC1,0.8663050077995357
AEI,CC[P+](CC)(CC)CC,0.7734682247127542
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.23326370512579764
NSI,c1cc(-c2ccncc2)ccn1,1.2517510527737046
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.491606002910469
FER,C1CNCCN1,0.11746171040239663
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.26066480912277484
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.30726778616766276
MWW,CCCCCCC[N+](C)(C)C,0.18720717749548824
MFI,CCN,0.1272721996102218
TON,NCCCCCCCCN,0.13459254329291273
AFR,CCC[N+](CCC)(CCC)CCC,0.3071465943337912
AST,c1ccncc1,0.510183477174527
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.04467588060737475
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.31671269135104474
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.6833788867618669
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.20418910679245744
STF,CCC1CCCC[N+]12CCCCC2,0.6110424173838969
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.057612639417534736
CHA,CC(C)NC(C)C,0.6418551074181462
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.06683854198328598
ITE,NCCNCCNCCNCCNCCN,0.3177436062490594
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.21439096924900114
UFI,CC[N+](CC)(CC)CC,0.895434696907933
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.31167184872814024
CLO,C1CN2CCC1CC2,0.674692436990205
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.05212316604929543
AFI,[CH]1C=CC=C1,0.46121011788317023
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.34852852614253205
LAU,c1c[nH]cn1,0.28818379337345185
LEV,CC[N+](C)(C)CC,0.24042818155658005
OFF,C[N+](C)(C)Cc1ccccc1,0.03861338617318789
FER,NCCCCN,0.49419421141397896
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.3039172818031034
STI,CC[N+](CC)(CC)CC,1.3523224905216202
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.8368322857502007
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.2307744095563563
MTN,C1CCNC1,0.95222788951527
AFI,CCN(C(C)C)C(C)C,0.16500837037213234
AEN,CC[N+](CC)(CC)CC,0.32107302488922146
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.3589428589515641
AST,CC(C)[N+](C)(C)C,0.31387693191213795
MTW,C1CN2CCN1CC2,0.650661483966539
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.12438294335287857
MTW,C1CCC[N+]2(CC1)CCCCC2,0.25954580612153755
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.40049414960823704
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.4391509508035847
MFI,C1CCNC1,0.0512991175658352
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.22976097940430643
NON,CC1CCCN1,0.5731821809777959
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.5053492077285257
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,1.4140612575739513
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.24266382695488692
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.4237837632169128
CHA,CN(CCO)CCO,0.1362169995767513
FAU,Cc1cccc(C)[n+]1C,0.19289544639323447
NON,CC1CCCCN1,0.22583620179155556
CHA,CN1CCNCC1,0.6921020044425378
ERI,C[N+]1(C)CCCCC1,0.06463650607750257
AFI,C1CCCNCC1,0.3495032850899563
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.5965425332299616
ITE,C[N+]1(C)CCCCC2CCCCC21,0.5067141070588701
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.24480168734254312
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.3607616867250215
AVE,C1CC[N+]2(CC1)CCCC2,0.768239210249162
MWW,CCCCCC[N+](C)(C)C,0.2107055542784138
STW,CCc1n(C)cc(C)[n+]1C,0.02006474916931747
FER,CCCCN,0.882500045122559
TON,CC(N)CN,0.3353993415300507
ETL,C[N+](C)(C)CCO,0.33296712154656694
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.8542936340480025
