zeo,MMD
CHA,0.13666534423828125
AEL,0.7002182006835938
MFI,0.07827377319335938
LTA,0.3618783950805664
AFI,0.10673141479492188
IWR,0.5581045150756836
BEA,0.06967544555664062
MTW,0.08185672760009766
MEL,0.1919574737548828
LEV,0.3552827835083008
FAU,0.1816997528076172
BEC,0.22482872009277344
FER,0.39424705505371094
ATO,1.2680892944335938
MWW,0.9358863830566406
IMF,0.9549064636230469
AEN,0.900792121887207
STF,0.28634166717529297
MAZ,0.45844459533691406
AEI,0.8048810958862305
GIS,1.2395868301391602
TON,0.19840526580810547
ITE,0.5417079925537109
NON,0.6056423187255859
MOR,0.10984039306640625
AST,0.6460328102111816
PHI,0.2760429382324219
SAV,0.8802347183227539
UOV,3.4727349281311035
ITT,1.5896172523498535
MTT,0.24454307556152344
ITG,1.5500578880310059
CON,0.9848217964172363
NSI,1.0643587112426758
ERI,0.3527545928955078
MTN,0.7353072166442871
MRE,1.616013526916504
AFR,0.685272216796875
SWY,1.2665605545043945
LAU,1.0670890808105469
DDR,0.5040807723999023
AFX,1.4678964614868164
UFI,3.170682907104492
ISV,1.2108631134033203
ANA,0.24545860290527344
CLO,1.8279008865356445
OFF,2.4668798446655273
STI,3.8167734146118164
CTH,1.525904655456543
SFS,2.7753024101257324
AWO,0.6429567337036133
DOH,2.151916980743408
SOD,0.6317882537841797
STW,0.42595863342285156
UOZ,2.162621021270752
MEI,3.916253089904785
ETL,1.4015741348266602
AVE,3.1037826538085938
SZR,0.23528385162353516
JST,1.6113910675048828
IFR,2.4865636825561523
IFW,2.5942044258117676
CGS,3.1462368965148926
PWN,2.5991287231445312
ATS,1.168177604675293
RTH,1.1336793899536133
EUO,-0.04941749572753906
EMT,1.5014004707336426
BPH,-0.012978553771972656
AWW,2.662295341491699
ASV,1.0095434188842773
IHW,2.582101821899414
RWY,4.01286506652832
LTJ,3.8053150177001953
SFH,1.7580885887145996
NES,-0.7363481521606445
IRR,2.5441789627075195
TUN,3.4764890670776367
IWV,1.3328332901000977
EON,0.1427745819091797
STO,1.4611167907714844
ITW,-0.5575923919677734
SFW,3.5450592041015625
IFU,2.506563186645508
VFI,1.0190105438232422
EEI,4.25894832611084
SFG,4.826357364654541
LOS,4.103737831115723
SFV,2.701272964477539
IFO,3.5263705253601074
RTE,3.3092236518859863
MER,4.939412593841553
AFN,1.4216365814208984
APC,5.516592025756836
SFN,3.491652488708496
SSY,3.2249302864074707
PUN,4.395480632781982
LTL,3.3638410568237305
UOS,2.600238800048828
CGF,2.4679489135742188
AHT,2.545248031616211
VET,1.281723976135254
ABW,2.3464107513427734
PWW,3.5570898056030273
