zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.32065868377685547
AEL,CCCNCCC,0.6947135925292969
CHA,OSDA-free,1.2242069244384766
MFI,OSDA-free,0.22343921661376953
CHA,CCN(CC)CC,0.13833236694335938
LTA,C[N+](C)(C)C,1.0876941680908203
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.29835033416748047
CHA,C1COCCN1,0.15794086456298828
ATO,CCCNCCC,1.2680892944335938
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.2905330657958984
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.37833309173583984
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.9549064636230469
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.2167682647705078
LEV,C[N+]12CCC(CC1)CC2,0.7691001892089844
AFI,CCCN(CCC)CCC,0.29311180114746094
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.2757883071899414
MAZ,OSDA-free,0.47765064239501953
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.8926897048950195
AEN,CC[n+]1ccn(C)c1C,1.7213048934936523
FAU,C1COCCOCCOCCOCCOCCO1,0.46463871002197266
FAU,CC[N+](CC)(CC)CC,1.4185543060302734
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.4727349281311035
PHI,OSDA-free,0.34835052490234375
GIS,CCCNCCC,2.7321958541870117
LEV,C[N+]1(C)CCCCC1,0.607050895690918
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.5896172523498535
FER,C[N+]1(Cc2ccccc2)CCCC1,1.8970212936401367
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.5500578880310059
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,1.2660961151123047
SAV,C1CNCCCNCCNCCNC1,1.4358563423156738
AEI,CC[P+](CC)(CC)CC,2.1635732650756836
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.23920440673828125
NSI,c1cc(-c2ccncc2)ccn1,1.2471728324890137
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.2506217956542969
FER,C1CNCCN1,0.6034765243530273
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.5359058380126953
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.535099983215332
MWW,CCCCCCC[N+](C)(C)C,1.8054008483886719
MFI,CCN,0.5048179626464844
TON,NCCCCCCCCN,0.4676942825317383
AFR,CCC[N+](CCC)(CCC)CCC,0.685272216796875
AST,c1ccncc1,2.2940549850463867
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.7914304733276367
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.5438499450683594
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.8466606140136719
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.2665605545043945
STF,CCC1CCCC[N+]12CCCCC2,1.9536337852478027
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.10549163818359375
CHA,CC(C)NC(C)C,2.1130199432373047
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.7340326309204102
ITE,NCCNCCNCCNCCNCCN,1.5566987991333008
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.2108631134033203
UFI,CC[N+](CC)(CC)CC,3.170682907104492
