zeo,WSD
CHA,0.05637314038566842
AEL,0.2099219493328475
MFI,0.026810269209647502
LTA,0.12812854707338597
AFI,0.029149887056569526
IWR,0.2996553897288078
BEA,0.0620066615224146
MTW,0.03488479975606011
MEL,0.09209620028228288
LEV,0.10405355896838864
FAU,0.11358452990717444
BEC,0.13052053282558226
FER,0.19819185881302087
ATO,0.10125728672250045
MWW,0.23504669312908502
IMF,0.023996808470817328
AEN,0.15418016866724285
STF,0.2240833425347104
MAZ,0.040447637634787995
AEI,0.3311474820610788
GIS,0.4402596263253151
TON,0.10771923881179721
ITE,0.24869782313279007
NON,0.4466777592620593
MOR,0.048610166114759615
AST,0.15457398827214913
PHI,0.03029886256370519
SAV,0.5373141572992024
UOV,1.1886054716409775
ITT,0.7612515463419542
MTT,0.26552287470335945
ITG,0.5615023887463066
CON,0.4299742458860678
NSI,0.8805935218753125
ERI,0.3385954197086805
MTN,0.6224775027674334
MRE,0.49681022877048275
AFR,0.291371526163671
SWY,0.35424839202390407
LAU,0.5117264578760858
DDR,0.22113969634127684
AFX,0.8478830022932122
UFI,0.6162370929210113
ISV,0.31890378343124626
ANA,0.18115049276563433
CLO,0.2236441942331235
OFF,0.7553747960414103
STI,1.1413641552833174
CTH,0.3695449678653052
SFS,0.8405809198424812
AWO,0.04120253149866879
DOH,1.0720749287951845
SOD,0.376610952691832
STW,0.35337799888714605
UOZ,0.7783458078080234
MEI,1.0855098227207696
ETL,0.586434073003234
AVE,1.295070289676588
SZR,0.29691026646703134
JST,1.2204367623201633
IFR,0.6904257189063538
IFW,1.043820845958256
CGS,0.9121393092452532
PWN,0.0490992372916215
ATS,0.29439802013675553
RTH,0.6035265698555012
EUO,0.2564643247817578
EMT,0.8519455736353901
BPH,0.14648573507499557
AWW,1.2427322769055382
ASV,0.6660577433016114
IHW,0.1655761983868993
RWY,0.5825640291922253
LTJ,0.8510488747471346
SFH,1.4198148682770693
NES,0.13598185438774096
IRR,0.3958987706818132
TUN,0.112301291411229
IWV,0.688464173698894
EON,0.23546508090917706
STO,0.4369728222558638
ITW,0.7132999277155982
SFW,0.9144786126959858
IFU,0.55887824974756
VFI,0.5598938699816709
EEI,1.1479570071120122
SFG,1.8954544079449587
LOS,0.605821730801474
SFV,0.48731776399035276
IFO,0.700935304690748
RTE,1.4281162573874782
MER,1.7345476228757737
AFN,0.3365931919994125
APC,0.9650932620680015
SFN,0.9229895237342092
SSY,0.693993332892999
PUN,1.3418467585588782
LTL,0.7028754054390174
UOS,0.6936016279556714
CGF,0.45471330056154424
AHT,0.5845894985039051
VET,0.2524028150655066
ABW,0.2762571373295071
PWW,0.6695867355250985
