zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.14437326624094748
AEL,CCCNCCC,0.20974291310090076
CHA,OSDA-free,0.08498993418457029
MFI,OSDA-free,0.03763313080324823
CHA,CCN(CC)CC,0.021329850452482785
LTA,C[N+](C)(C)C,0.26017047320765496
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.15964583992790946
CHA,C1COCCN1,0.09215366533465755
ATO,CCCNCCC,0.10125728672250045
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5000430778079151
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.12447463401932105
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.023996808470817328
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.1289877721144366
LEV,C[N+]12CCC(CC1)CC2,0.17381472210786225
AFI,CCCN(CCC)CCC,0.04121205385971624
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.16037750065987874
MAZ,OSDA-free,0.04173264355156919
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.23417993794298197
AEN,CC[n+]1ccn(C)c1C,0.23079231468935074
FAU,C1COCCOCCOCCOCCOCCO1,0.07860705460477298
FAU,CC[N+](CC)(CC)CC,0.24573460137271755
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.1886054716409775
PHI,OSDA-free,0.037659634855577856
GIS,CCCNCCC,0.9275323979260843
LEV,C[N+]1(C)CCCCC1,0.16911815838871275
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7612515463419542
FER,C[N+]1(Cc2ccccc2)CCCC1,0.5556274181376529
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.5615023887463066
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.2445198223881417
SAV,C1CNCCCNCCNCCNC1,0.8448836380925683
AEI,CC[P+](CC)(CC)CC,0.47313680909436606
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.23382565367460584
NSI,c1cc(-c2ccncc2)ccn1,0.9584502094439591
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.5140238421391065
FER,C1CNCCN1,0.3548320715521355
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.11230218107617257
