zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.4952573776245117
AEL,CCCNCCC,0.7519187927246094
CHA,OSDA-free,1.3369178771972656
MFI,OSDA-free,0.35496044158935547
CHA,CCN(CC)CC,2.628355026245117
LTA,C[N+](C)(C)C,1.6845474243164062
MEL,CCCC[N+](CCCC)(CCCC)CCCC,1.7401666641235352
CHA,C1COCCN1,1.2663698196411133
ATO,CCCNCCC,2.506031036376953
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.8247442245483398
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.7238311767578125
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.0859718322753906
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.2811746597290039
LEV,C[N+]12CCC(CC1)CC2,0.6799802780151367
AFI,CCCN(CCC)CCC,0.2009744644165039
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.0803613662719727
MAZ,OSDA-free,0.4898843765258789
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,4.910850524902344
AEN,CC[n+]1ccn(C)c1C,0.6281681060791016
FAU,C1COCCOCCOCCOCCOCCO1,0.8013925552368164
FAU,CC[N+](CC)(CC)CC,1.6378049850463867
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.915043830871582
PHI,OSDA-free,1.584188461303711
GIS,CCCNCCC,3.5650744438171387
LEV,C[N+]1(C)CCCCC1,1.3546361923217773
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.8179726600646973
FER,C[N+]1(Cc2ccccc2)CCCC1,0.07020092010498047
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.2633819580078125
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.19809722900390625
SAV,C1CNCCCNCCNCCNC1,1.677103042602539
AEI,CC[P+](CC)(CC)CC,5.177675724029541
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.43840599060058594
NSI,c1cc(-c2ccncc2)ccn1,2.407731056213379
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.5726709365844727
FER,C1CNCCN1,0.5559215545654297
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.9455137252807617
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.8915586471557617
MWW,CCCCCCC[N+](C)(C)C,0.1550149917602539
MFI,CCN,1.1349544525146484
TON,NCCCCCCCCN,0.24850082397460938
AFR,CCC[N+](CCC)(CCC)CCC,1.10723876953125
AST,c1ccncc1,2.093796730041504
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.586277961730957
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.4063711166381836
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.5702943801879883
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.7913818359375
STF,CCC1CCCC[N+]12CCCCC2,2.4724745750427246
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.07438182830810547
CHA,CC(C)NC(C)C,2.054783821105957
MFI,CCCN(CCC)CCCCCN(CCC)CCC,-0.009944915771484375
ITE,NCCNCCNCCNCCNCCN,2.4894704818725586
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.2876949310302734
UFI,CC[N+](CC)(CC)CC,3.220637321472168
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,2.255242347717285
CLO,C1CN2CCC1CC2,2.088059425354004
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,1.1360969543457031
AFI,[CH]1C=CC=C1,2.172762870788574
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.0463008880615234
LAU,c1c[nH]cn1,2.1085472106933594
LEV,CC[N+](C)(C)CC,0.777374267578125
OFF,C[N+](C)(C)Cc1ccccc1,1.9684410095214844
FER,NCCCCN,2.4490880966186523
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.6677017211914062
STI,CC[N+](CC)(CC)CC,4.182026386260986
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.8967833518981934
STF,CC1(C)C2CCC[N+](C)(C)C1C2,-0.1369943618774414
MTN,C1CCNC1,1.4709758758544922
AFI,CCN(C(C)C)C(C)C,0.6539669036865234
AEN,CC[N+](CC)(CC)CC,1.0575246810913086
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.1076889038085938
AST,CC(C)[N+](C)(C)C,1.4711894989013672
MTW,C1CN2CCN1CC2,0.3318290710449219
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.12172317504882812
MTW,C1CCC[N+]2(CC1)CCCCC2,2.9953408241271973
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.8519859313964844
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.585679054260254
MFI,C1CCNC1,1.6682109832763672
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,2.4339256286621094
NON,CC1CCCN1,-0.02429485321044922
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.2346534729003906
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.4792194366455078
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,-0.09988689422607422
BEC,CC[N+](CC)(CC)Cc1ccccc1,2.2911696434020996
CHA,CN(CCO)CCO,1.5241174697875977
FAU,Cc1cccc(C)[n+]1C,1.402400016784668
NON,CC1CCCCN1,0.11128520965576172
