zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.99,1.0,1.0,1.0,1.0,0.995,1.0,1.0,0.995,0.925,1.0,0.99
AEL,0.995,0.995,1.0,1.0,1.0,1.0,1.0,0.99,0.94,0.96,1.0,0.995
MFI,0.905,1.0,1.0,0.985,0.99,0.99,0.995,0.995,0.995,0.98,0.985,0.92
LTA,0.86,1.0,0.885,0.995,1.0,1.0,0.635,0.99,0.995,0.94,1.0,0.95
AFI,0.925,0.98,1.0,0.985,0.955,0.93,0.98,0.965,0.955,0.96,0.915,0.925
IWR,0.83,1.0,0.78,0.93,1.0,1.0,1.0,0.99,0.985,0.98,0.65,0.59
BEA,0.9,1.0,0.975,0.995,0.995,0.985,0.995,0.945,0.985,1.0,0.995,0.875
MTW,0.95,1.0,1.0,0.99,0.94,1.0,0.94,1.0,0.945,0.89,0.86,0.92
MEL,0.975,1.0,1.0,1.0,0.995,0.965,1.0,1.0,0.955,1.0,0.995,0.94
LEV,0.99,0.945,1.0,0.99,1.0,0.995,0.985,0.995,0.915,0.955,0.795,0.925
FAU,0.99,0.855,0.935,0.935,0.975,1.0,0.835,0.975,0.785,0.76,0.87,0.635
BEC,0.795,1.0,0.77,0.955,1.0,1.0,0.965,0.95,0.935,0.96,0.725,0.695
FER,0.82,1.0,1.0,0.985,0.905,1.0,0.94,0.98,0.99,0.855,0.935,0.73
ATO,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.985,1.0,0.005
MWW,0.47,1.0,0.995,0.655,1.0,0.965,0.99,0.955,1.0,0.405,0.99,0.905
IMF,0.08,1.0,1.0,1.0,0.23,0.255,0.675,1.0,1.0,1.0,1.0,0.98
AEN,1.0,0.705,1.0,1.0,1.0,1.0,1.0,0.59,0.9,0.545,0.97,0.89
STF,0.74,0.98,1.0,0.835,0.69,1.0,0.845,0.995,0.585,0.885,0.965,0.785
MAZ,0.84,1.0,0.995,0.99,0.325,0.98,0.7,0.99,0.66,0.99,0.685,0.815
AEI,0.18,0.365,0.4,0.385,0.975,1.0,0.99,0.47,0.665,0.435,0.355,0.325
GIS,0.865,0.79,1.0,1.0,0.89,0.98,0.935,0.55,0.44,0.515,0.7,0.895
TON,0.775,1.0,1.0,1.0,0.965,0.98,0.895,0.995,0.905,0.445,0.975,0.52
ITE,0.675,1.0,0.975,0.825,0.825,1.0,0.775,0.92,0.845,0.88,0.905,0.445
NON,0.85,1.0,1.0,0.995,0.97,1.0,0.945,1.0,0.855,0.92,0.915,0.58
MOR,0.605,0.975,1.0,1.0,0.7,0.985,0.955,1.0,0.985,0.925,0.875,0.8
AST,0.955,0.78,0.95,0.975,1.0,1.0,0.995,0.96,0.88,0.775,0.835,0.4
PHI,0.76,1.0,1.0,1.0,1.0,0.225,0.365,1.0,0.975,0.965,0.25,0.65
SAV,0.99,0.88,1.0,1.0,0.985,1.0,1.0,1.0,0.96,0.995,0.98,1.0
UOV,0.79,0.795,0.14,0.985,1.0,1.0,1.0,0.035,0.985,0.98,0.645,0.605
ITT,0.04,0.09,0.0,0.98,0.995,1.0,1.0,0.475,0.465,0.085,0.005,0.03
MTT,0.53,1.0,0.975,0.875,0.975,0.995,0.985,1.0,0.91,0.995,0.945,0.665
ITG,0.565,1.0,0.18,0.555,1.0,1.0,0.855,0.885,0.205,1.0,1.0,0.995
CON,0.86,1.0,1.0,0.995,0.87,1.0,0.395,1.0,0.4,0.825,0.485,0.18
NSI,0.98,0.4,1.0,1.0,1.0,1.0,0.965,1.0,0.08,0.1,0.0,0.715
ERI,0.63,0.61,1.0,1.0,0.89,0.945,0.665,0.99,0.885,0.585,0.64,0.69
MTN,0.945,1.0,0.975,0.97,0.975,0.99,0.9,1.0,0.625,0.405,0.905,0.57
MRE,0.875,0.995,0.97,0.97,0.34,0.995,0.565,0.87,0.915,0.965,0.625,0.595
AFR,1.0,0.975,1.0,1.0,1.0,1.0,1.0,0.52,0.44,0.5,0.54,0.645
SWY,0.99,0.335,0.73,0.725,0.98,1.0,0.985,0.985,0.845,0.935,0.81,0.805
LAU,1.0,0.97,0.735,0.97,1.0,1.0,0.995,0.82,0.27,0.645,0.44,0.175
DDR,0.615,1.0,1.0,0.805,1.0,1.0,1.0,0.995,0.87,0.82,0.73,0.52
AFX,0.37,0.92,1.0,1.0,0.51,0.98,0.55,0.895,0.115,0.13,0.255,0.515
UFI,0.0,0.92,0.99,0.99,0.44,0.985,0.0,0.885,0.17,0.0,0.415,0.48
ISV,0.96,0.96,0.84,0.99,1.0,1.0,1.0,0.915,1.0,0.885,0.745,0.11
ANA,0.635,0.965,0.99,0.99,0.635,0.98,0.81,0.92,0.755,0.805,0.86,0.81
CLO,0.525,0.915,0.545,0.535,1.0,1.0,1.0,0.005,0.01,0.005,0.085,0.075
OFF,0.32,1.0,1.0,1.0,0.84,0.965,0.035,0.985,0.945,0.055,0.055,0.15
STI,0.09,0.335,0.77,0.23,1.0,1.0,0.97,0.03,0.815,0.065,0.035,0.085
CTH,0.955,0.955,0.48,1.0,1.0,1.0,1.0,0.575,1.0,0.32,0.07,0.455
SFS,1.0,1.0,1.0,0.185,1.0,1.0,0.52,1.0,1.0,0.305,0.94,0.72
AWO,1.0,0.42,0.975,0.975,1.0,1.0,1.0,1.0,0.71,0.155,0.57,0.385
DOH,1.0,1.0,1.0,0.0,1.0,1.0,0.8571428571428571,1.0,0.36,0.10857142857142857,0.9657142857142857,0.022857142857142857
SOD,0.9542857142857143,1.0,1.0,1.0,0.4742857142857143,1.0,0.7428571428571429,0.9771428571428571,0.5142857142857142,0.17714285714285713,0.9771428571428571,0.38857142857142857
STW,1.0,1.0,0.7942857142857143,1.0,1.0,1.0,1.0,0.9657142857142857,0.9142857142857143,0.9714285714285714,0.46285714285714286,0.5142857142857142
UOZ,0.98,1.0,0.0,1.0,0.006666666666666667,1.0,0.006666666666666667,0.0,0.78,0.006666666666666667,0.0,0.31333333333333335
MEI,1.0,0.5933333333333334,0.9733333333333334,0.9733333333333334,1.0,1.0,1.0,1.0,1.0,1.0,0.9733333333333334,0.6866666666666666
ETL,0.0,0.9866666666666667,0.16,1.0,0.006666666666666667,1.0,0.5733333333333334,1.0,0.0,0.38666666666666666,0.02,0.9866666666666667
AVE,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1,0.02666666666666667,0.48
SZR,0.5933333333333334,1.0,1.0,1.0,0.88,0.52,0.37333333333333335,1.0,1.0,0.9533333333333334,0.94,0.7733333333333333
JST,0.336,1.0,0.352,0.336,1.0,1.0,1.0,0.328,0.232,0.496,0.008,0.2
IFR,0.072,0.312,0.704,0.624,1.0,0.976,0.0,0.864,0.024,0.016,0.728,0.128
IFW,0.992,1.0,0.976,0.168,1.0,1.0,0.992,0.552,0.528,0.744,0.52,0.896
CGS,0.368,0.344,1.0,0.992,0.896,0.6,0.44,0.776,0.24,0.304,0.408,0.24
PWN,0.832,0.976,1.0,1.0,0.896,0.848,0.984,1.0,0.984,0.992,0.528,0.96
ATS,1.0,0.03,0.6,0.6,0.99,1.0,1.0,1.0,0.56,0.07,0.57,0.11
RTH,0.75,0.97,0.78,0.06,0.73,1.0,1.0,0.99,0.44,0.72,0.74,0.75
EUO,0.56,0.73,0.98,0.99,0.69,1.0,0.61,0.74,0.72,0.64,0.3,0.15
EMT,0.56,1.0,1.0,1.0,0.27,1.0,0.11,1.0,0.34,0.06,0.02,0.12
BPH,0.51,0.44,0.64,1.0,1.0,1.0,0.56,0.62,0.43,0.11,0.13,0.01
AWW,0.41333333333333333,0.0,0.13333333333333333,0.18666666666666668,0.96,1.0,0.9866666666666667,0.8666666666666667,0.17333333333333334,0.10666666666666667,0.30666666666666664,0.0
ASV,1.0,1.0,0.0,1.0,1.0,1.0,0.013333333333333334,0.09333333333333334,0.92,0.0,0.92,0.13333333333333333
IHW,0.09333333333333334,0.36,0.9066666666666666,0.7066666666666667,0.96,1.0,0.8933333333333333,0.3333333333333333,0.7333333333333333,0.64,0.5466666666666666,0.49333333333333335
RWY,0.05333333333333334,0.29333333333333333,0.09333333333333334,0.02666666666666667,1.0,1.0,0.9733333333333334,0.12,0.0,0.02666666666666667,0.0,0.02666666666666667
LTJ,0.16,0.17333333333333334,1.0,1.0,0.013333333333333334,0.0,0.0,1.0,0.013333333333333334,1.0,0.02666666666666667,0.02666666666666667
SFH,0.9466666666666667,0.9466666666666667,1.0,0.013333333333333334,0.9866666666666667,1.0,0.96,0.9866666666666667,0.48,0.76,0.44,0.02666666666666667
NES,0.48,1.0,1.0,1.0,0.48,1.0,0.5,0.48,0.26,0.5,0.5,0.16
IRR,0.9,0.9,0.0,0.92,1.0,1.0,0.96,0.92,0.48,0.06,0.92,0.88
TUN,0.22,0.94,0.96,0.96,0.08,0.96,0.06,1.0,0.46,0.44,0.44,0.02
IWV,0.34,0.94,0.96,0.96,0.96,1.0,0.96,0.96,0.9,0.9,0.54,0.0
EON,0.08,0.38,1.0,1.0,0.9,0.74,0.4,1.0,0.38,0.5,0.62,0.04
STO,0.46,0.46,1.0,1.0,0.5,1.0,0.06,0.98,0.5,0.5,0.64,0.0
ITW,1.0,1.0,0.96,1.0,1.0,1.0,1.0,0.24,0.5,0.24,0.0,0.1
SFW,0.0,0.0,0.02,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
IFU,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.94,0.0,0.0,0.0
VFI,1.0,0.66,0.48,0.48,0.84,1.0,0.94,0.94,0.3,0.2,0.0,0.76
EEI,0.0,0.0,0.08,0.08,0.96,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SFG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LOS,0.08,1.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0
SFV,0.0,0.0,0.12,0.12,0.04,1.0,0.04,0.92,0.0,0.04,0.0,0.0
IFO,0.92,0.92,0.92,0.92,1.0,1.0,0.24,0.16,0.24,0.16,0.96,0.0
RTE,0.0,1.0,0.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,1.0,0.0
MER,0.0,0.08,0.0,0.0,1.0,0.0,0.04,1.0,0.0,0.0,0.68,0.2
AFN,1.0,0.32,1.0,1.0,1.0,1.0,1.0,0.24,0.28,0.28,0.32,0.48
APC,1.0,0.24,0.04,0.04,1.0,1.0,1.0,1.0,0.32,0.0,0.0,0.0
SFN,0.76,1.0,0.76,0.0,0.56,1.0,0.68,0.96,0.36,0.68,0.04,0.0
SSY,1.0,1.0,1.0,0.0,1.0,1.0,0.2,1.0,1.0,0.28,1.0,0.0
PUN,0.36,0.64,0.0,0.0,0.92,1.0,0.08,1.0,0.04,0.48,0.56,0.16
LTL,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04
UOS,0.2,0.48,0.0,0.2,0.96,1.0,0.84,0.12,0.56,0.0,0.64,0.08
CGF,0.04,0.2,0.08,0.08,0.96,1.0,0.96,0.96,0.0,0.0,0.04,0.04
AHT,1.0,0.64,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.4,0.0,0.0
VET,1.0,1.0,1.0,1.0,1.0,1.0,0.64,1.0,0.68,0.4,0.08,0.56
ABW,0.92,0.96,0.92,0.92,0.8,1.0,0.96,1.0,0.48,0.0,0.04,0.44
PWW,0.64,1.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,0.96,0.92
