zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.9049844236760125,0.9361370716510904,1.0,0.9922118380062306,0.9065420560747663,0.9906542056074766,0.9548286604361371,0.867601246105919,0.8862928348909658,0.8738317757009346,0.9221183800623053,0.9844236760124611
AEL,1.0,0.9221311475409836,1.0,1.0,0.9959016393442623,1.0,1.0,0.9549180327868853,0.8729508196721312,1.0,0.930327868852459,0.9590163934426229
MFI,0.896551724137931,1.0,0.9913793103448276,0.9827586206896551,0.9612068965517241,0.978448275862069,0.9870689655172413,0.9525862068965517,0.9827586206896551,0.9698275862068966,0.6853448275862069,0.9051724137931034
LTA,1.0,0.7751479289940828,0.9408284023668639,1.0,0.7751479289940828,1.0,0.7633136094674556,0.757396449704142,0.8520710059171598,0.6804733727810651,0.650887573964497,0.9467455621301775
AFI,0.9915254237288136,0.9491525423728814,1.0,0.9915254237288136,1.0,1.0,1.0,0.9915254237288136,0.9915254237288136,0.9661016949152542,0.9915254237288136,0.940677966101695
IWR,0.8660714285714286,1.0,0.7857142857142857,0.4642857142857143,1.0,1.0,0.7678571428571429,0.9553571428571429,0.9553571428571429,0.9910714285714286,0.9910714285714286,0.9821428571428571
BEA,0.9541284403669725,1.0,0.926605504587156,0.9357798165137615,0.944954128440367,0.981651376146789,0.963302752293578,1.0,0.963302752293578,0.926605504587156,0.9908256880733946,0.8899082568807339
MTW,0.8942307692307693,1.0,1.0,0.9134615384615384,1.0,1.0,0.9807692307692307,0.9134615384615384,1.0,0.9807692307692307,0.9903846153846154,0.8076923076923077
MEL,0.6019417475728155,1.0,1.0,0.9611650485436893,0.7281553398058253,0.9902912621359223,0.9223300970873787,1.0,0.9611650485436893,0.9514563106796117,0.7281553398058253,0.8737864077669902
LEV,0.9662921348314607,1.0,0.9887640449438202,0.9213483146067416,0.8876404494382022,1.0,0.8539325842696629,1.0,1.0,0.9887640449438202,0.8651685393258427,0.6741573033707865
FAU,0.8918918918918919,0.9864864864864865,1.0,1.0,0.9054054054054054,0.9864864864864865,0.972972972972973,1.0,0.972972972972973,0.972972972972973,1.0,0.9054054054054054
BEC,0.9459459459459459,1.0,0.8918918918918919,0.8108108108108109,1.0,1.0,1.0,0.7162162162162162,1.0,1.0,0.9054054054054054,1.0
FER,0.855072463768116,1.0,1.0,0.9710144927536232,0.9855072463768116,0.9420289855072463,1.0,1.0,0.927536231884058,0.8840579710144928,1.0,0.8115942028985508
ATO,1.0,0.7936507936507936,1.0,1.0,1.0,1.0,1.0,0.873015873015873,0.4126984126984127,0.6666666666666666,0.3333333333333333,0.19047619047619047
MWW,0.9838709677419355,1.0,1.0,1.0,0.9516129032258065,1.0,0.9354838709677419,1.0,1.0,0.967741935483871,0.967741935483871,0.9032258064516129
IMF,0.07407407407407407,1.0,1.0,1.0,1.0,1.0,0.9074074074074074,1.0,0.5185185185185185,1.0,0.4444444444444444,0.3888888888888889
AEN,1.0,0.9,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.7,0.98,0.94
STF,0.8780487804878049,1.0,0.7073170731707317,0.8780487804878049,1.0,0.975609756097561,0.975609756097561,0.975609756097561,0.6829268292682927,0.9512195121951219,1.0,0.975609756097561
MAZ,0.875,1.0,1.0,1.0,0.95,0.825,1.0,1.0,1.0,1.0,1.0,0.975
AEI,0.8055555555555556,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.7222222222222222,1.0,0.8888888888888888,1.0,0.9444444444444444
GIS,1.0,0.38235294117647056,1.0,1.0,1.0,1.0,0.9411764705882353,0.4117647058823529,0.38235294117647056,1.0,0.8823529411764706,0.9705882352941176
TON,0.9393939393939394,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.9696969696969697,0.9393939393939394
ITE,0.9333333333333333,1.0,1.0,0.9333333333333333,0.6333333333333333,1.0,0.6333333333333333,1.0,1.0,1.0,0.8333333333333334,0.8666666666666667
NON,1.0,1.0,1.0,1.0,1.0,0.9310344827586207,1.0,0.9655172413793104,1.0,1.0,0.9310344827586207,0.9655172413793104
MOR,0.8214285714285714,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,0.9642857142857143,0.8214285714285714
AST,1.0,1.0,0.9259259259259259,1.0,1.0,1.0,1.0,1.0,0.9629629629629629,1.0,1.0,1.0
PHI,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.7037037037037037,0.5555555555555556,1.0,1.0,1.0,1.0,0.7037037037037037
SAV,1.0,0.8076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.8846153846153846
UOV,1.0,1.0,0.2916666666666667,1.0,1.0,1.0,0.4583333333333333,1.0,0.9583333333333334,0.9166666666666666,1.0,1.0
ITT,0.5909090909090909,1.0,0.0,0.4090909090909091,1.0,1.0,0.18181818181818182,1.0,1.0,1.0,1.0,0.045454545454545456
MTT,0.7142857142857143,1.0,0.8095238095238095,0.7619047619047619,0.9523809523809523,1.0,1.0,1.0,0.8095238095238095,0.8095238095238095,0.9523809523809523,0.8571428571428571
ITG,0.8571428571428571,1.0,1.0,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CON,0.7,1.0,1.0,0.5,0.85,1.0,0.65,1.0,0.55,0.85,1.0,0.85
NSI,0.15,1.0,1.0,1.0,0.95,1.0,0.95,1.0,0.95,1.0,0.0,1.0
ERI,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.6666666666666666,0.9444444444444444,1.0,0.9444444444444444,1.0,0.5
MTN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.9411764705882353,0.5882352941176471
MRE,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,0.9285714285714286,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,0.6428571428571429
AFR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,1.0,0.7142857142857143
SWY,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAU,1.0,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
