zeo,WSD
CHA,0.07661139229174008
AEL,0.35809151525709726
MFI,0.0402774164028641
LTA,0.2883837873634706
AFI,0.026678702509660465
IWR,0.18794365788120992
BEA,0.036387393197898195
MTW,0.03697396143803451
MEL,0.21042708591532436
LEV,0.05574540019226668
FAU,0.1074212243491611
BEC,0.10213163198437561
FER,0.050457297536520104
ATO,0.06066935813751394
MWW,0.11502612416722494
IMF,0.09307668217805985
AEN,0.07239492934640002
STF,0.1369925263382477
MAZ,0.04962735542371455
AEI,0.6220559545829527
GIS,0.8025868550536596
TON,0.1252030800464047
ITE,0.2239091788599139
NON,0.20346347421978334
MOR,0.09920284340730187
AST,0.23346592004698402
PHI,0.5167412380909764
SAV,0.8977398148164368
UOV,1.0922820951199539
ITT,0.5014380471596855
MTT,0.241726411922985
ITG,0.15935435755777394
CON,0.200762064731912
NSI,1.2361720352806165
ERI,0.05997861812870831
MTN,0.4553704057357577
MRE,0.22849593547570468
AFR,0.141240230024388
SWY,0.9308187531145272
LAU,0.4921410381123489
DDR,0.15253749748850245
AFX,1.0272832428466385
UFI,1.4337464579559058
ISV,0.38210706879246925
ANA,0.13963270205905234
CLO,1.0098815365391236
OFF,0.005357347599734851
STI,1.1242002618589928
CTH,0.050409902732789724
SFS,0.32673084780791817
AWO,0.05940823848998431
DOH,0.7466092456056547
SOD,0.36276113060936777
STW,0.07039224858356931
UOZ,1.1608090452020923
MEI,0.32002748927067337
ETL,0.8261778915048126
AVE,0.9536673019017358
SZR,0.21614647293945194
JST,0.6472578310636067
IFR,0.37222608174597366
IFW,0.3178362323958747
CGS,0.8709085793178389
PWN,0.0030421896242842856
ATS,0.0775311652872289
RTH,0.1798172960539294
EUO,0.2843747135332576
EMT,0.8816409741324994
BPH,0.5993729944547818
AWW,0.8708146804055081
ASV,0.3272492847924312
IHW,0.8746481473137271
RWY,1.5415914885959705
LTJ,1.2060646260950576
SFH,0.8278164010598789
NES,0.14364684899081748
IRR,0.14427950631068806
TUN,0.19728814470891157
IWV,0.10850068348882465
EON,0.714928795180744
STO,0.6863767583829071
ITW,0.5819408984279684
SFW,1.413720011410124
IFU,0.5772668045243764
VFI,0.6096681060689049
EEI,1.2363396636824044
SFG,1.3070168940024072
LOS,0.5638740559721702
SFV,0.9090200617617252
IFO,1.4724378841449832
RTE,1.9258476651675078
MER,1.641575815727328
AFN,0.4210037351621568
APC,1.0081811824971525
SFN,0.48110576161465535
SSY,0.026245356698961213
PUN,1.0464354298903351
LTL,0.34095933598181216
UOS,0.14532351062077647
CGF,1.3500815105318096
AHT,0.5768520367397676
VET,0.04382333581826371
ABW,0.4195036504542587
PWW,0.15169214080534416
