zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,2.4073265286057506,10.037483385029503,12.444809913635254,0.10759872156787975,0.7792299385707484,0.6716312170028687,0.001968503937007874,0.001968503937007874,0.0,0.2882214336235758,0.03229172541306058,0.32051315903663635,0.047085946444063304,0.15297844821551335,0.10589250177145004,0.036357280791587426,0.06779737305563013,0.10415465384721756,0.07563227649723867,0.12811410192454478,0.20374637842178345,0.09906250723117355,0.011540989201130841,0.11060349643230438,7.843426653494344,22.95046716059257,30.793893814086914,0.038288735803128304,0.5780887240729342,0.5397999882698059,16.845876782909357,146.8372897209969,163.68316650390625,88.15696808000621,175.2284478773695,87.07147979736328
AEL,0.07217107018474259,0.022612645719016413,0.094783715903759,0.009980657126609782,0.9382065748909073,0.9481872320175171,0.0,0.0,0.0,0.0,0.0,0.0,0.0005452509503811598,0.0,0.0005452509503811598,0.0,0.0,0.0,0.0,0.0,0.0,0.029643523891170896,0.006185100029508197,0.03582862392067909,14.543954590603208,13.831222792819643,28.37517738342285,0.1583761720336253,0.5658329872763926,0.40745681524276733,4.256558756368406,189.3603642983606,185.1038055419922,16.097940832212004,60.422010034487215,76.51995086669922
MFI,8.504270431708797,42.158029678154485,50.66230010986328,0.004379156124721603,0.004379156124721603,0.0,6.358200449191823,7.058200735294118,0.7000002861022949,4.966013639439902,15.320136339197793,20.286149978637695,0.08675519408260252,0.3443725782779303,0.25761738419532776,0.0009159802847943065,0.01796307010413792,0.018879050388932228,0.0017543199728212167,0.2815015253354826,0.28325584530830383,0.014690825704035522,0.019059175637068985,0.03375000134110451,3.6700981545261513,33.130076558608614,36.800174713134766,0.14326497879431024,0.17739346656396612,0.32065844535827637,23.251591898768964,145.2680309039654,168.51962280273438,20.627134711579828,131.63167420132592,111.0045394897461
LTA,1.7086855125003937,3.295907611804593,1.5872220993041992,0.5057735734167677,0.024252087574901077,0.5300256609916687,0.11637718984128242,1.158009931359279,1.2743871212005615,0.11722257647467038,0.11722257647467038,0.0,0.20338069930520367,0.041060675831171754,0.24444137513637543,0.005504062363550298,0.005504062363550298,0.0,0.039619247518927314,0.5633529229988162,0.5237336754798889,0.021448182635494292,0.11533338087100607,0.09388519823551178,33.30403694622311,21.695314555241737,54.999351501464844,0.5544974652247778,0.5921510609669336,1.1466485261917114,10.04714033461562,125.27990129136094,135.32704162597656,36.23189328783525,159.62589048021806,123.39399719238281
AFI,0.5964711177962363,0.1316880118233621,0.7281591296195984,0.02919147975015568,0.7425567365365021,0.7133652567863464,0.0013380909901873326,0.0013380909901873326,0.0,2.0502325470928815,0.0242351119037004,2.074467658996582,0.0011430243087309118,0.007578576920677971,0.00643555261194706,0.004201188599230368,0.00045983315491525433,0.004661021754145622,0.0033788404302751394,0.024938818334237275,0.021559977903962135,0.02150486982582867,0.022845404081355932,0.0443502739071846,13.845548781189564,24.516004410949108,38.36155319213867,0.09920736386205375,0.33904806540582955,0.4382554292678833,6.531591312144457,162.62522326305086,169.1568145751953,31.046895671442144,132.42238395269214,101.37548828125
IWR,12.206693557143836,37.00219335877958,24.795499801635742,0.0,0.0,0.0,0.8725216338986774,7.957901721203862,8.830423355102539,12.398600051270783,38.3549580072034,25.956357955932617,0.007093304797500002,0.007093304797500002,0.0,0.003805131408285713,0.003805131408285713,0.0,0.033289810727347796,0.10702806143928581,0.1403178721666336,0.02187455781717007,0.31253422387857144,0.29065966606140137,1.1581202277838303,6.320936130553572,7.479056358337402,0.00940437320971832,0.23264399464821472,0.24204836785793304,4.259871438917401,170.69548134428572,174.95535278320312,68.845553192061,261.154446807939,330.0
BEA,16.795754461307872,37.034878759403576,20.239124298095703,0.0,0.0,0.0,8.417177617989793,13.944292486153856,5.5271148681640625,22.235592658172024,42.98118096078433,20.745588302612305,0.056096550814577276,0.022235761590532126,0.0783323124051094,0.0008947398453375173,0.015796073159633033,0.01669081300497055,0.07201666853228508,0.12078613319596351,0.1928028017282486,0.07005663524292072,0.25788155506275257,0.18782491981983185,0.5405173602122879,14.911703556535759,15.452220916748047,0.007871383991329639,0.2582699412440372,0.2661413252353668,0.056539447124379194,156.69606581431188,156.6395263671875,178.21477702276286,474.30043986455973,296.0856628417969
MTW,23.474128651656372,85.9610633135216,62.486934661865234,0.0,0.0,0.0,0.0,0.0,0.0,16.074120833464995,32.114565537384614,48.18868637084961,0.015436311684242615,0.10062293944538461,0.11605925112962723,0.00759768315576923,0.00759768315576923,0.0,0.07777292933229552,0.20756606664423094,0.12979313731193542,0.03817992099918441,0.04598025045000001,0.08416017144918442,2.2894488003446583,38.72943013642292,41.01887893676758,0.05234583328458137,0.27902562310007745,0.3313714563846588,2.3450476824368707,157.77487251153843,155.42982482910156,93.84971655644898,345.10249291620727,438.95220947265625
MEL,4.516253953250946,35.02880430725485,30.512550354003906,0.0,0.0,0.0,0.04996007933333334,0.04996007933333334,0.0,6.2291558753293845,1.55472817313253,7.783884048461914,0.08504328665235107,0.04009617331526215,0.12513945996761322,0.015697575787575677,0.016899782380582526,0.0012022065930068493,0.0864135218426334,0.3245293093487369,0.23811578750610352,0.00515978449194239,0.028820797417475716,0.033980581909418106,9.524581410973624,51.84399364241894,42.31941223144531,0.06712122321472602,0.2975733435188337,0.23045212030410767,16.42319532860853,163.31093641747572,146.8877410888672,72.48188373144306,111.23500469629131,183.71688842773438
LEV,7.141565953311188,8.700184191647308,15.841750144958496,0.19557693208554422,0.47188737596371805,0.27631044387817383,0.3333333432674408,0.0,0.3333333432674408,2.3199869748424127,0.3074212912250922,2.627408266067505,0.062367016279915255,0.1811382083056179,0.24350522458553314,0.0007337164862921348,0.0007337164862921348,0.0,0.05001431797720465,0.21139436866067376,0.2614086866378784,0.00683724685990803,0.009342527096629217,0.016179773956537247,4.860652970654712,19.888449715955005,15.027796745300293,0.01683299661046528,0.26267928302651905,0.24584628641605377,2.4399657913724013,159.02071230921354,161.46067810058594,96.86596381243484,131.9597045225261,228.82566833496094
