zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.22653770446777344
AEL,CCCNCCC,0.3004493713378906
CHA,OSDA-free,0.811284065246582
MFI,OSDA-free,0.2536773681640625
CHA,CCN(CC)CC,1.5406761169433594
LTA,C[N+](C)(C)C,0.7674040794372559
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.14928722381591797
CHA,C1COCCN1,0.4692039489746094
ATO,CCCNCCC,0.907567024230957
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.4864163398742676
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,2.0351133346557617
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.410280227661133
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.6622147560119629
LEV,C[N+]12CCC(CC1)CC2,0.9552392959594727
AFI,CCCN(CCC)CCC,0.14722824096679688
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1916828155517578
MAZ,OSDA-free,0.6569890975952148
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.2500905990600586
AEN,CC[n+]1ccn(C)c1C,1.3110532760620117
FAU,C1COCCOCCOCCOCCOCCO1,0.6551856994628906
FAU,CC[N+](CC)(CC)CC,0.9107961654663086
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.5623831748962402
PHI,OSDA-free,1.0653457641601562
GIS,CCCNCCC,2.222503662109375
LEV,C[N+]1(C)CCCCC1,0.6608505249023438
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.2778863906860352
FER,C[N+]1(Cc2ccccc2)CCCC1,2.425297737121582
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.5293965339660645
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,2.3453245162963867
SAV,C1CNCCCNCCNCCNC1,0.8949089050292969
AEI,CC[P+](CC)(CC)CC,1.883866310119629
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.5738868713378906
NSI,c1cc(-c2ccncc2)ccn1,1.7380261421203613
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.103154182434082
FER,C1CNCCN1,0.716649055480957
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.607457160949707
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.6277761459350586
MWW,CCCCCCC[N+](C)(C)C,3.759272575378418
MFI,CCN,0.47223758697509766
TON,NCCCCCCCCN,0.4196195602416992
AFR,CCC[N+](CCC)(CCC)CCC,1.4729161262512207
AST,c1ccncc1,2.2867612838745117
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,2.146219253540039
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.3783893585205078
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.640347957611084
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.741745948791504
STF,CCC1CCCC[N+]12CCCCC2,1.3320436477661133
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.5488338470458984
CHA,CC(C)NC(C)C,2.785641670227051
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.3551769256591797
ITE,NCCNCCNCCNCCNCCN,2.0280466079711914
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.2673006057739258
UFI,CC[N+](CC)(CC)CC,3.067145347595215
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.6065330505371094
CLO,C1CN2CCC1CC2,2.070852756500244
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.13828563690185547
AFI,[CH]1C=CC=C1,2.5565290451049805
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.3195905685424805
LAU,c1c[nH]cn1,2.224576950073242
LEV,CC[N+](C)(C)CC,0.34566497802734375
OFF,C[N+](C)(C)Cc1ccccc1,2.2985029220581055
FER,NCCCCN,1.9272427558898926
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.5517511367797852
STI,CC[N+](CC)(CC)CC,3.8410391807556152
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.6460638046264648
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.7448530197143555
MTN,C1CCNC1,0.9868283271789551
AFI,CCN(C(C)C)C(C)C,0.6784200668334961
AEN,CC[N+](CC)(CC)CC,1.1685352325439453
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.2210321426391602
AST,CC(C)[N+](C)(C)C,1.4522638320922852
MTW,C1CN2CCN1CC2,1.9685068130493164
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.8075509071350098
MTW,C1CCC[N+]2(CC1)CCCCC2,1.0821714401245117
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,3.032665252685547
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.8355093002319336
MFI,C1CCNC1,0.33829498291015625
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,1.778721809387207
NON,CC1CCCN1,3.673248767852783
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,3.295821189880371
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.8076562881469727
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.32556676864624023
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.8581395149230957
CHA,CN(CCO)CCO,2.5096826553344727
FAU,Cc1cccc(C)[n+]1C,1.0018787384033203
NON,CC1CCCCN1,2.983828067779541
CHA,CN1CCNCC1,1.9226341247558594
ERI,C[N+]1(C)CCCCC1,2.1267480850219727
AFI,C1CCCNCC1,0.26318931579589844
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.6380929946899414
ITE,C[N+]1(C)CCCCC2CCCCC21,1.7580986022949219
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.6835699081420898
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.4891929626464844
AVE,C1CC[N+]2(CC1)CCCC2,2.3074636459350586
MWW,CCCCCC[N+](C)(C)C,3.762241840362549
STW,CCc1n(C)cc(C)[n+]1C,2.6760826110839844
FER,CCCCN,0.6740307807922363
TON,CC(N)CN,1.6407041549682617
ETL,C[N+](C)(C)CCO,1.0520744323730469
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,1.034895896911621
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.1943559646606445
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.17714977264404297
MEI,CN(CCO)CCO,3.8005967140197754
AEL,CCNCC,1.2355003356933594
CHA,NCCNCCN,1.028024673461914
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.4173178672790527
AEL,CCCCNCCCC,0.2635612487792969
MFI,CCCNCCC,1.0327415466308594
GIS,C[N+](C)(C)C,0.6015644073486328
FER,NC1CCCCC1,1.5049734115600586
SOD,C1CCC2(C1)CCC[NH2+]2,1.5547537803649902
DOH,CC1CNCCN1,2.8803672790527344
TON,CCC(C)N,1.3174457550048828
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.4259214401245117
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.539189338684082
AFI,Fc1cccc(CN2CCCC2)c1,0.8030805587768555
AFI,CN1C2CCC1CC(O)C2,1.4826374053955078
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.2321319580078125
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,2.9236764907836914
AWO,CNC,1.2180261611938477
JST,NCCN,1.762622356414795
MFI,CN(C)CC(C)(C)CN(C)C,2.4481382369995117
STF,CC[N+]1(C)C2CCCC1CCC2,0.48366641998291016
PWN,C[N+]12CC[N+](C)(CC1)CC2,2.233036994934082
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.8369779586791992
AEN,C[N+](C)(C)C,3.385819435119629
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,1.9714441299438477
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,3.5696330070495605
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,0.7677383422851562
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,1.094153881072998
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,1.033660888671875
MOR,CN(C)CCCN(C)C,1.8443574905395508
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,2.187159538269043
CGS,C1CN2CCC1CC2,4.074666976928711
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.23729991912841797
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,2.407318115234375
LAU,Cn1ccnc1,1.6691222190856934
EMT,CC[N+](CC)(CC)CC,0.8781423568725586
TON,CCn1cc[n+](CC)c1,1.2974834442138672
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,2.2741174697875977
SAV,C1CNCCNCCCNCCNC1,0.6038684844970703
DDR,C1CN2CCC1CC2,3.3471932411193848
BEA,C[N+](C)(C)Cc1ccccc1,2.2623963356018066
MEL,CCCN,1.662872314453125
MTW,N[C@H]1CC[C@H](N)CC1,1.9034461975097656
ATS,CCCNCCC,1.5800304412841797
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.8919696807861328
AFI,C1CN2CCN1CC2,1.6887030601501465
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,2.742635726928711
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,-0.34975624084472656
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,3.244080066680908
MTW,NCC1CCNCC1,0.5549173355102539
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,1.588597297668457
FER,Cn1cc[n+](C)c1,1.2568626403808594
AEL,CCN1C=CN(C)C1C(=O)[O-],2.037411689758301
AEN,OSDA-free,2.8434653282165527
MTW,C[N+]1(C2CCCCC2)CCCC1,0.5528016090393066
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,2.728146553039551
GIS,NCCN,1.5335488319396973
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,1.310990333557129
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,0.3713860511779785
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,2.2756690979003906
BEA,CCC[N+]1(C)CCCC1,2.6119508743286133
LTJ,OSDA-free,3.2071022987365723
MFI,CN(C)CCCCCCN(C)C,0.34483957290649414
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,-0.39204883575439453
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,0.004143238067626953
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,2.108844757080078
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,2.058286666870117
BEC,C[N+]12CCN(CC1)CC2,4.028100490570068
MFI,CCCC[N+]1(C)CCCC1,1.7524633407592773
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.7255477905273438
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,0.13302326202392578
RTH,CN1CCCCC1,1.278510570526123
ASV,CC[P+](CC)(c1ccccc1)c1ccccc1,0.5093827247619629
RWY,NCCN(CCN)CCN,3.9953536987304688
MFI,CCCCC[N+]12CCC(CC1)CC2,3.5687432289123535
NON,C[N+](C)(C)C1CCCC1,1.137479305267334
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,1.7323923110961914
MOR,C1CCC[N+]2(CC1)CCCCC2,1.6560888290405273
ANA,C[N+](C)(C)CCCC[N+](C)(C)C,0.6192989349365234
NON,CC1CC[N+](C)(C)CC1,1.8696556091308594
LEV,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,2.673516273498535
ANA,CCCC[N+](CCCC)(CCCC)CCCC,0.569401741027832
TON,CCC(N)CCCN,0.21417999267578125
MOR,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.9371814727783203
LEV,CC1CCCCC1N,1.1356592178344727
MFI,C1CCNCC1,2.502349853515625
MTT,CC(C)CNCCCCCCCNCC(C)C,-0.45873546600341797
MFI,CCCCO,3.0604491233825684
MFI,CC(C)N(C(C)C)C(C)C,2.794086456298828
MEL,NCCCCCCCN,1.260697841644287
MTT,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,1.4430923461914062
IWV,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,1.505849838256836
MEL,CCCC[N+]1(C)CC[N+](CCC)(CCC)CC1,3.1827964782714844
MEL,CCCCCCCCN,2.3177995681762695
MFI,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.4802970886230469
MOR,C[N+]1(CCCC[N+]2(C)CCCC2)CCCC1,-0.28243446350097656
MTW,CC1CC(C)C[N+](C)(C)C1,2.5401105880737305
MRE,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C,1.4721078872680664
