zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.14905199265143831
AEL,CCCNCCC,0.1910297707083473
CHA,OSDA-free,0.281243935364472
MFI,OSDA-free,0.08114459109713432
CHA,CCN(CC)CC,0.5729659547373588
LTA,C[N+](C)(C)C,0.2597478061353778
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.1598368365600201
CHA,C1COCCN1,0.30256422717212894
ATO,CCCNCCC,0.08757370947429566
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.8870974269563197
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.9415979047634242
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.7124635796832626
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.3722752030804367
LEV,C[N+]12CCC(CC1)CC2,0.2609553208689912
AFI,CCCN(CCC)CCC,0.15896735647154067
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6493776780230085
MAZ,OSDA-free,0.14086866855902963
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.3893891833475338
AEN,CC[n+]1ccn(C)c1C,0.6618406570623825
FAU,C1COCCOCCOCCOCCOCCO1,0.1876064975766475
FAU,CC[N+](CC)(CC)CC,0.24159421724129376
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.9656013981517229
PHI,OSDA-free,0.21958304374053644
GIS,CCCNCCC,0.6325101425578056
LEV,C[N+]1(C)CCCCC1,0.40701104865454624
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5463765947596543
FER,C[N+]1(Cc2ccccc2)CCCC1,0.623859236191006
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.5918744805092795
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.6650247288575306
SAV,C1CNCCCNCCNCCNC1,0.5130399604049525
AEI,CC[P+](CC)(CC)CC,0.6817449401999977
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.5712699287788212
NSI,c1cc(-c2ccncc2)ccn1,0.786631544863373
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.6243380861406869
FER,C1CNCCN1,0.5787404426178397
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.5168364959810108
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.24362137456107452
MWW,CCCCCCC[N+](C)(C)C,0.9525323595323458
MFI,CCN,0.2772467710453068
TON,NCCCCCCCCN,0.20589186290043474
AFR,CCC[N+](CCC)(CCC)CCC,0.6179555389389141
AST,c1ccncc1,0.7039425296013717
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.6265942852263451
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.44961317049311345
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.30849246438414707
