zeo,MMD
CHA,0.3241758346557617
AEL,1.3886547088623047
MFI,0.10773754119873047
LTA,0.5112109184265137
AFI,0.15618038177490234
IWR,0.7213535308837891
BEA,0.13751220703125
MTW,0.1076345443725586
MEL,0.1207122802734375
LEV,0.20989131927490234
FAU,0.3324766159057617
BEC,0.3431100845336914
FER,0.11461448669433594
ATO,2.5036449432373047
MWW,0.8316755294799805
IMF,1.6952152252197266
AEN,0.4052410125732422
STF,0.2855377197265625
MAZ,0.612091064453125
AEI,0.9127359390258789
GIS,1.7353172302246094
TON,0.2293233871459961
ITE,0.5829534530639648
NON,0.07094097137451172
MOR,0.14632320404052734
AST,0.4769105911254883
PHI,1.0516576766967773
SAV,1.8597807884216309
UOV,3.0838398933410645
ITT,1.371117115020752
MTT,0.2609682083129883
ITG,1.0610132217407227
CON,0.44524288177490234
NSI,1.8562121391296387
ERI,0.4944887161254883
MTN,1.2128853797912598
MRE,1.5460329055786133
AFR,0.6565256118774414
SWY,3.1378402709960938
LAU,1.1996831893920898
DDR,1.1478090286254883
AFX,1.7572226524353027
UFI,3.438307762145996
ISV,2.3728580474853516
ANA,0.245391845703125
CLO,3.8502607345581055
OFF,1.4424467086791992
STI,4.083311557769775
CTH,0.6622371673583984
SFS,0.7218255996704102
AWO,0.32723331451416016
DOH,4.346104621887207
SOD,0.3263731002807617
STW,0.24590206146240234
UOZ,2.3072099685668945
MEI,2.6637191772460938
ETL,1.148580551147461
AVE,2.897463321685791
SZR,0.34902095794677734
JST,1.3927526473999023
IFR,1.654585838317871
IFW,0.6751346588134766
CGS,1.7408952713012695
PWN,1.5834169387817383
ATS,1.6948251724243164
RTH,0.46887874603271484
EUO,0.07131290435791016
EMT,1.2120366096496582
BPH,0.9189519882202148
AWW,2.1580958366394043
ASV,0.9910769462585449
IHW,2.6509695053100586
RWY,4.287415504455566
LTJ,3.3731327056884766
SFH,1.7502031326293945
NES,-1.0986013412475586
IRR,1.0270347595214844
TUN,3.5387697219848633
IWV,0.22382545471191406
EON,0.30997657775878906
STO,0.7813711166381836
ITW,-0.0500946044921875
SFW,3.6460886001586914
IFU,5.550925254821777
VFI,0.8291406631469727
EEI,3.813652992248535
SFG,2.7944040298461914
LOS,4.234031677246094
SFV,3.9865903854370117
IFO,5.004108428955078
RTE,5.534109115600586
MER,4.293226718902588
AFN,1.246638298034668
APC,5.975030422210693
SFN,3.558866500854492
SSY,0.8498392105102539
PUN,5.259342670440674
LTL,2.811788558959961
UOS,2.6309194564819336
CGF,3.808255195617676
AHT,3.774566173553467
VET,0.3804922103881836
ABW,3.840641498565674
PWW,4.211605072021484
