zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.13640913561128848
AEL,CCCNCCC,0.25442810748603684
CHA,OSDA-free,0.09981764733900622
MFI,OSDA-free,0.08413996980190233
CHA,CCN(CC)CC,0.07659868819101355
LTA,C[N+](C)(C)C,0.3023018337583519
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.19727109379527358
CHA,C1COCCN1,0.036569935370510356
ATO,CCCNCCC,0.06557709855065566
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4039489268904523
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.0669242484258568
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.054116255882890534
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.23098067523066768
LEV,C[N+]12CCC(CC1)CC2,0.3295104341510555
AFI,CCCN(CCC)CCC,0.10674513427479547
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.07604663822277245
MAZ,OSDA-free,0.07985949405403886
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.5428634381879258
AEN,CC[n+]1ccn(C)c1C,0.03713029189135063
FAU,C1COCCOCCOCCOCCOCCO1,0.08291224839169836
FAU,CC[N+](CC)(CC)CC,0.21253941659286585
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.2483943438622083
PHI,OSDA-free,0.10197293973013621
GIS,CCCNCCC,1.145318493889798
LEV,C[N+]1(C)CCCCC1,0.14113593861228374
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5180090259059901
FER,C[N+]1(Cc2ccccc2)CCCC1,0.21891892775247065
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.4990067455815229
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.22865584761903557
SAV,C1CNCCCNCCNCCNC1,0.48967636361963013
AEI,CC[P+](CC)(CC)CC,0.28233957913231733
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.25206128797510613
NSI,c1cc(-c2ccncc2)ccn1,1.2107548705095939
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.6969548324230395
FER,C1CNCCN1,0.18434815715303393
