zeo,MMD
CHA,0.15057849884033203
AEL,0.6907320022583008
MFI,0.14761066436767578
LTA,0.35361576080322266
AFI,0.22408103942871094
IWR,0.5763769149780273
BEA,0.17288684844970703
MTW,0.038542747497558594
MEL,0.38321590423583984
LEV,0.339447021484375
FAU,0.2340850830078125
BEC,0.32149505615234375
FER,0.09366798400878906
ATO,1.658555030822754
MWW,1.6158218383789062
IMF,1.252213478088379
AEN,0.3049964904785156
STF,0.2963290214538574
MAZ,0.4640045166015625
AEI,0.8079605102539062
GIS,1.6524114608764648
TON,0.2848052978515625
ITE,0.5618648529052734
NON,0.17232036590576172
MOR,0.08507919311523438
AST,0.5610518455505371
PHI,0.4754304885864258
SAV,0.2842235565185547
UOV,0.3697319030761719
ITT,2.290538787841797
MTT,0.37822914123535156
ITG,1.6195006370544434
CON,0.7145376205444336
NSI,2.189643383026123
ERI,0.1076202392578125
MTN,0.8394532203674316
MRE,0.9851713180541992
AFR,0.6691780090332031
SWY,1.321864128112793
LAU,1.109872817993164
DDR,0.3161802291870117
AFX,2.025242328643799
UFI,3.029460906982422
ISV,1.5687360763549805
ANA,0.07974815368652344
CLO,2.005157470703125
OFF,1.5342445373535156
STI,4.347493648529053
CTH,0.21600055694580078
SFS,0.411529541015625
AWO,1.2293758392333984
DOH,2.011180877685547
SOD,0.3773021697998047
STW,-0.10877132415771484
UOZ,2.3374733924865723
MEI,2.631209373474121
ETL,4.741065979003906
AVE,3.2060914039611816
SZR,0.26494789123535156
JST,1.5848736763000488
IFR,1.3685569763183594
IFW,0.7174491882324219
CGS,1.2578859329223633
PWN,2.6520490646362305
ATS,1.1448736190795898
RTH,0.14759063720703125
EUO,0.3760957717895508
EMT,0.7846136093139648
BPH,0.27025461196899414
AWW,3.24038028717041
ASV,-0.34245729446411133
IHW,2.375948905944824
RWY,3.5698366165161133
LTJ,3.605268955230713
SFH,2.3857359886169434
NES,-0.8747854232788086
IRR,2.923285484313965
TUN,1.738006591796875
IWV,-0.36481761932373047
EON,0.004561424255371094
STO,2.6221609115600586
ITW,-0.5021324157714844
SFW,3.2743396759033203
IFU,1.063791275024414
VFI,2.4629721641540527
EEI,4.411893844604492
SFG,3.7671003341674805
LOS,4.364390850067139
SFV,2.967273712158203
IFO,4.704627513885498
RTE,4.982628345489502
MER,5.6892619132995605
AFN,3.6422901153564453
APC,4.7757568359375
SFN,0.856013298034668
SSY,0.6514701843261719
PUN,5.469586372375488
LTL,2.984851837158203
UOS,2.7599925994873047
CGF,4.059383392333984
AHT,1.5622482299804688
VET,0.1646718978881836
ABW,4.760240077972412
PWW,4.098118782043457
