zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.98,1.0,1.0,1.0,0.985,1.0,1.0,1.0,1.0,0.935,1.0,0.995
AEL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.965,0.95,0.975,0.995
MFI,0.915,1.0,1.0,0.98,1.0,0.995,1.0,0.985,1.0,0.955,0.73,0.985
LTA,0.615,0.995,0.94,1.0,1.0,1.0,0.755,1.0,1.0,0.87,1.0,0.995
AFI,0.995,0.975,0.995,0.85,1.0,0.995,1.0,1.0,0.955,0.93,0.99,0.92
IWR,0.915,1.0,0.77,0.885,1.0,1.0,0.985,0.99,0.995,1.0,0.95,0.8
BEA,0.895,1.0,0.975,0.98,1.0,1.0,1.0,0.95,0.995,1.0,0.995,0.905
MTW,0.905,1.0,0.995,0.925,0.98,0.995,0.97,0.945,0.995,0.85,0.975,0.975
MEL,0.97,1.0,1.0,1.0,0.995,0.745,0.99,1.0,0.935,0.995,0.98,0.925
LEV,0.97,0.92,1.0,0.96,1.0,0.995,0.97,0.995,0.965,0.885,0.765,0.98
FAU,0.975,0.93,0.995,0.995,0.96,0.985,0.89,0.985,0.815,0.9,0.965,0.815
BEC,0.905,1.0,0.74,0.92,1.0,1.0,0.945,0.95,0.965,0.97,0.915,0.68
FER,0.775,1.0,1.0,0.995,0.92,1.0,0.99,0.915,0.99,0.8,0.92,0.66
ATO,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.855,0.93,0.445
MWW,0.525,1.0,0.995,0.775,1.0,0.685,0.995,1.0,1.0,0.535,0.995,0.84
IMF,0.24,0.995,1.0,1.0,0.72,1.0,0.875,0.995,0.975,0.98,0.995,0.915
AEN,1.0,0.51,1.0,1.0,1.0,1.0,1.0,0.715,0.835,0.805,1.0,0.66
STF,0.765,0.975,0.915,0.695,0.92,1.0,0.79,1.0,0.865,0.9,0.975,0.755
MAZ,0.73,1.0,1.0,0.995,0.54,0.98,0.87,0.965,0.725,1.0,0.665,0.93
AEI,0.155,0.4,0.415,0.415,0.945,1.0,0.985,0.99,0.62,0.575,0.685,0.485
GIS,0.825,0.98,1.0,1.0,0.89,1.0,0.93,0.995,0.835,0.87,0.71,0.865
TON,0.7,1.0,1.0,0.965,0.895,0.765,0.885,1.0,0.96,0.6,0.99,0.625
ITE,0.78,1.0,1.0,0.945,0.805,1.0,0.675,0.69,0.69,0.38,0.99,0.225
NON,0.65,1.0,1.0,1.0,0.975,0.995,0.98,0.995,0.89,0.865,0.95,0.38
MOR,0.74,0.99,1.0,1.0,0.855,0.985,0.955,0.97,0.99,0.915,0.88,0.855
AST,0.96,0.82,0.875,0.995,1.0,1.0,1.0,0.57,0.465,0.61,0.815,0.305
PHI,0.605,1.0,1.0,1.0,0.845,0.66,0.525,0.99,0.855,0.97,0.68,0.66
SAV,0.09,0.94,1.0,1.0,0.24,1.0,0.995,0.975,0.09,1.0,0.25,0.95
UOV,0.985,0.985,0.585,0.995,1.0,1.0,1.0,0.005,1.0,0.08,0.985,0.255
ITT,0.95,0.985,0.185,0.97,1.0,1.0,1.0,0.15,0.255,0.81,0.07,0.0
MTT,0.49,1.0,1.0,0.985,0.855,0.925,0.955,1.0,0.965,0.96,1.0,0.86
ITG,0.435,1.0,0.13,0.765,1.0,1.0,0.785,0.79,0.23,1.0,1.0,0.95
CON,1.0,1.0,1.0,0.3,0.945,0.95,0.945,1.0,0.74,0.94,0.575,0.7
NSI,0.945,1.0,0.055,0.995,0.97,1.0,0.945,0.225,0.05,0.055,0.0,0.035
ERI,0.61,0.93,1.0,1.0,0.845,0.8,0.545,0.99,0.925,0.42,0.68,0.72
MTN,0.875,1.0,1.0,0.975,0.905,0.97,0.98,1.0,0.555,0.27,1.0,0.52
MRE,0.665,1.0,0.995,1.0,0.345,0.985,0.835,1.0,1.0,0.98,0.8,0.755
AFR,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.555,0.085,0.74
SWY,0.0,0.0,0.995,1.0,0.985,1.0,0.995,0.51,0.805,0.98,0.04,0.615
LAU,0.975,0.925,1.0,0.96,0.985,1.0,1.0,0.665,0.645,0.47,0.61,0.455
DDR,0.535,1.0,1.0,0.785,0.96,1.0,1.0,1.0,0.805,0.775,0.77,0.44
AFX,0.095,0.99,1.0,1.0,0.345,1.0,0.235,1.0,0.16,0.16,0.465,0.275
UFI,0.355,0.98,0.98,0.98,0.5,0.995,0.0,1.0,0.0,0.0,0.395,0.64
ISV,0.985,0.985,0.905,1.0,1.0,1.0,0.975,1.0,1.0,0.995,0.895,0.145
ANA,0.635,0.905,1.0,1.0,0.525,0.92,0.725,1.0,0.84,0.78,0.925,0.805
CLO,0.0,0.98,0.0,0.0,1.0,1.0,1.0,0.015,0.0,0.025,0.745,0.24
OFF,0.0,1.0,1.0,1.0,1.0,0.015,0.065,1.0,0.0,0.18,0.0,0.88
STI,0.165,0.175,0.01,0.99,0.29,0.985,0.175,0.12,0.47,0.14,0.055,0.37
CTH,0.995,0.995,0.325,0.985,1.0,1.0,1.0,0.785,0.99,0.94,1.0,0.395
SFS,1.0,1.0,1.0,0.005,1.0,1.0,0.89,1.0,0.985,0.145,0.995,0.595
AWO,1.0,0.705,0.94,0.94,1.0,1.0,1.0,1.0,0.86,0.4,0.265,0.27
DOH,1.0,1.0,1.0,0.017142857142857144,1.0,1.0,0.9942857142857143,1.0,0.022857142857142857,0.045714285714285714,0.8228571428571428,0.05714285714285714
SOD,0.84,1.0,0.9942857142857143,1.0,0.5028571428571429,1.0,0.84,1.0,0.25142857142857145,0.37142857142857144,0.9771428571428571,0.30857142857142855
STW,0.9942857142857143,0.9942857142857143,0.8628571428571429,0.9828571428571429,1.0,1.0,0.9942857142857143,0.8628571428571429,0.8857142857142857,0.8628571428571429,0.9371428571428572,0.6171428571428571
