zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.98,1.0,1.0,1.0,0.99,0.995,1.0,1.0,1.0,1.0,0.875,1.0
AEL,CCCNCCC,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.99,1.0
CHA,OSDA-free,0.81,1.0,1.0,1.0,0.91,1.0,0.995,1.0,1.0,1.0,0.75,0.99
MFI,OSDA-free,0.97,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.98,1.0,0.52,0.98
CHA,CCN(CC)CC,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.915,0.99,0.77,0.94
LTA,C[N+](C)(C)C,0.41,1.0,1.0,1.0,0.99,1.0,0.53,1.0,0.42,0.79,0.995,0.985
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.975,1.0,1.0,1.0,0.995,0.745,1.0,1.0,0.985,1.0,0.99,0.985
CHA,C1COCCN1,0.69,0.665,1.0,1.0,0.87,0.785,0.73,0.98,0.995,0.305,0.785,0.96
ATO,CCCNCCC,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.855,0.93,0.445
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.815,1.0,0.795,0.915,0.995,1.0,0.975,0.97,0.965,0.995,0.91,0.535
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.0,0.995,1.0,1.0,1.0,1.0,1.0,0.645,0.985,0.99,0.99,0.91
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.24,0.995,1.0,1.0,0.72,1.0,0.875,0.995,0.975,0.98,0.995,0.915
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.83,1.0,0.595,0.835,1.0,1.0,0.945,0.98,1.0,1.0,0.995,0.95
LEV,C[N+]12CCC(CC1)CC2,0.99,1.0,0.995,0.97,0.87,1.0,1.0,1.0,0.99,0.99,0.345,0.995
AFI,CCCN(CCC)CCC,1.0,0.97,0.995,1.0,1.0,1.0,1.0,1.0,0.87,0.995,0.955,0.965
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.865,1.0,0.765,0.995,1.0,1.0,1.0,0.91,0.995,1.0,0.775,0.35
MAZ,OSDA-free,0.77,1.0,0.995,0.99,0.495,0.995,0.865,0.99,0.435,1.0,0.585,0.925
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.195,1.0,1.0,1.0,1.0,0.325,1.0,1.0,1.0,0.235,0.055,0.71
AEN,CC[n+]1ccn(C)c1C,0.985,0.125,0.985,0.985,1.0,1.0,0.995,0.99,0.995,0.555,0.995,0.385
FAU,C1COCCOCCOCCOCCOCCO1,1.0,1.0,1.0,1.0,0.965,1.0,1.0,0.985,0.99,1.0,0.295,0.805
FAU,CC[N+](CC)(CC)CC,0.585,0.745,0.99,0.99,0.105,0.945,0.295,0.99,0.6,0.46,0.58,0.38
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.985,0.985,0.585,0.995,1.0,1.0,1.0,0.005,1.0,0.08,0.985,0.255
PHI,OSDA-free,0.505,1.0,1.0,1.0,0.465,0.6,0.44,1.0,0.89,0.99,0.59,0.67
GIS,CCCNCCC,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.995,0.975,0.6,0.8,0.01
LEV,C[N+]1(C)CCCCC1,0.37,1.0,1.0,1.0,0.985,0.995,0.86,1.0,0.99,0.925,0.41,0.765
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.95,0.985,0.185,0.97,1.0,1.0,1.0,0.15,0.255,0.81,0.07,0.0
FER,C[N+]1(Cc2ccccc2)CCCC1,0.555,1.0,1.0,1.0,1.0,1.0,1.0,0.675,1.0,1.0,0.975,0.24
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.435,1.0,0.13,0.765,1.0,1.0,0.785,0.79,0.23,1.0,1.0,0.95
