zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.7461059190031153,0.9470404984423676,1.0,0.9922118380062306,0.9968847352024922,0.8598130841121495,0.942367601246106,0.7757009345794392,0.883177570093458,0.8457943925233645,0.881619937694704,0.9579439252336449
AEL,1.0,0.9426229508196722,1.0,1.0,0.9959016393442623,1.0,1.0,0.9590163934426229,0.8688524590163934,0.9877049180327869,0.9590163934426229,0.9508196721311475
MFI,0.9612068965517241,1.0,0.9827586206896551,0.9612068965517241,1.0,0.978448275862069,0.9698275862068966,0.9827586206896551,0.9827586206896551,0.9698275862068966,0.9094827586206896,0.9353448275862069
LTA,0.9467455621301775,0.7869822485207101,0.9408284023668639,1.0,0.863905325443787,1.0,0.7988165680473372,1.0,0.7337278106508875,0.4911242603550296,0.4260355029585799,0.9230769230769231
AFI,0.9915254237288136,0.9322033898305084,1.0,0.9661016949152542,1.0,0.9830508474576272,0.9915254237288136,0.9830508474576272,0.9915254237288136,0.9745762711864406,0.9152542372881356,0.9067796610169492
IWR,0.9285714285714286,1.0,0.9107142857142857,0.49107142857142855,1.0,1.0,0.9910714285714286,0.9910714285714286,1.0,0.9732142857142857,0.9910714285714286,0.9910714285714286
BEA,0.926605504587156,1.0,0.926605504587156,0.9357798165137615,0.8807339449541285,0.981651376146789,0.9541284403669725,1.0,0.981651376146789,0.926605504587156,0.9174311926605505,0.8715596330275229
MTW,0.9326923076923077,1.0,1.0,0.9038461538461539,0.9326923076923077,1.0,0.9807692307692307,0.9615384615384616,1.0,1.0,0.9903846153846154,0.7596153846153846
MEL,0.6310679611650486,1.0,1.0,0.9611650485436893,0.9902912621359223,1.0,0.9611650485436893,1.0,0.9611650485436893,0.9514563106796117,0.8932038834951457,0.883495145631068
LEV,0.8539325842696629,0.9887640449438202,0.9887640449438202,0.8764044943820225,0.8764044943820225,1.0,0.898876404494382,0.9662921348314607,0.9662921348314607,0.9887640449438202,0.9438202247191011,0.8539325842696629
FAU,0.9864864864864865,0.9864864864864865,1.0,1.0,0.9864864864864865,0.9864864864864865,1.0,1.0,0.972972972972973,1.0,0.9864864864864865,0.8108108108108109
BEC,0.8783783783783784,1.0,0.9459459459459459,0.8243243243243243,1.0,1.0,1.0,0.8648648648648649,1.0,0.9864864864864865,0.9054054054054054,1.0
FER,0.9855072463768116,1.0,1.0,0.9710144927536232,1.0,0.9420289855072463,0.9855072463768116,0.9710144927536232,0.927536231884058,0.8840579710144928,0.927536231884058,0.6376811594202898
ATO,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,0.873015873015873,0.4126984126984127,1.0,1.0,0.9682539682539683
MWW,0.9516129032258065,1.0,0.9516129032258065,0.9354838709677419,0.967741935483871,1.0,0.9354838709677419,0.9838709677419355,0.9516129032258065,0.9354838709677419,0.9838709677419355,0.7419354838709677
IMF,0.9629629629629629,1.0,1.0,1.0,0.9814814814814815,1.0,1.0,1.0,0.5185185185185185,1.0,0.7407407407407407,0.9259259259259259
AEN,1.0,0.8,1.0,1.0,0.98,1.0,1.0,1.0,0.86,0.74,0.88,0.88
STF,0.926829268292683,1.0,1.0,0.8780487804878049,1.0,0.975609756097561,0.9512195121951219,0.975609756097561,0.9024390243902439,0.975609756097561,1.0,0.9512195121951219
MAZ,0.925,1.0,1.0,1.0,0.95,0.85,1.0,1.0,1.0,1.0,1.0,0.95
AEI,0.8055555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0.7222222222222222,1.0,0.8611111111111112,1.0,0.9722222222222222
GIS,0.9117647058823529,0.29411764705882354,1.0,1.0,0.9705882352941176,0.9705882352941176,0.9411764705882353,0.4411764705882353,0.29411764705882354,0.9117647058823529,0.9117647058823529,0.8823529411764706
TON,0.9696969696969697,1.0,0.9696969696969697,1.0,1.0,1.0,1.0,0.9090909090909091,0.9393939393939394,1.0,0.9696969696969697,0.9393939393939394
ITE,1.0,1.0,1.0,0.9333333333333333,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.6,0.8
NON,1.0,1.0,1.0,1.0,1.0,0.9310344827586207,1.0,0.9655172413793104,1.0,1.0,0.896551724137931,0.9310344827586207
MOR,0.9642857142857143,1.0,1.0,1.0,0.9642857142857143,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0
AST,1.0,1.0,0.9259259259259259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9259259259259259,0.9629629629629629
PHI,1.0,0.9629629629629629,1.0,1.0,1.0,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
SAV,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.9230769230769231
UOV,1.0,1.0,0.25,1.0,1.0,1.0,0.4583333333333333,1.0,0.75,0.9583333333333334,0.5416666666666666,1.0
ITT,0.7727272727272727,1.0,0.8181818181818182,0.4090909090909091,1.0,1.0,0.18181818181818182,1.0,1.0,1.0,1.0,0.0
MTT,0.7619047619047619,1.0,0.8095238095238095,0.7619047619047619,0.9047619047619048,1.0,0.7619047619047619,1.0,0.7619047619047619,0.8095238095238095,0.8571428571428571,0.8095238095238095
ITG,1.0,1.0,0.9047619047619048,0.6190476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CON,0.65,0.65,1.0,1.0,0.85,1.0,1.0,1.0,0.55,0.85,1.0,0.5
NSI,0.25,1.0,0.85,0.85,1.0,1.0,0.95,1.0,0.85,0.7,0.0,0.05
ERI,0.6111111111111112,0.7777777777777778,1.0,1.0,1.0,1.0,0.7222222222222222,0.9444444444444444,1.0,0.6111111111111112,0.9444444444444444,0.4444444444444444
MTN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7058823529411765,0.5882352941176471,0.47058823529411764,1.0,0.8823529411764706
MRE,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0,0.8571428571428571
AFR,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286
SWY,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,0.23076923076923078
LAU,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDR,0.8461538461538461,1.0,1.0,0.6923076923076923,0.46153846153846156,1.0,0.9230769230769231,1.0,1.0,0.38461538461538464,1.0,1.0
AFX,1.0,0.25,0.25,0.25,1.0,1.0,1.0,0.9166666666666666,0.8333333333333334,1.0,1.0,1.0
UFI,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7272727272727273
ISV,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,0.8181818181818182,0.9090909090909091,0.45454545454545453,0.9090909090909091
ANA,0.9,1.0,1.0,1.0,0.8,1.0,0.9,1.0,0.8,0.7,0.8,1.0
CLO,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7,0.0,0.1,0.9,1.0
OFF,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,0.0,1.0,0.0,0.5555555555555556
STI,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.1111111111111111,1.0
CTH,1.0,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888
SFS,1.0,1.0,1.0,0.125,1.0,1.0,0.625,1.0,1.0,1.0,0.875,0.375
AWO,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.875
DOH,0.14285714285714285,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.8571428571428571
SOD,0.8571428571428571,1.0,1.0,1.0,0.8571428571428571,1.0,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,1.0
STW,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8571428571428571,1.0,0.8571428571428571
UOZ,1.0,1.0,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
MEI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
ETL,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AVE,0.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
SZR,0.3333333333333333,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.0,0.5,1.0,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334
JST,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.8,0.8,0.0,0.0,1.0
IFR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,1.0
IFW,1.0,1.0,1.0,0.2,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0
CGS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PWN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ATS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75
RTH,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EUO,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
EMT,1.0,0.5,0.5,0.5,1.0,1.0,0.75,1.0,0.25,1.0,0.25,0.5
BPH,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
AWW,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ASV,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
IHW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RWY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666666
LTJ,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
SFH,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
NES,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
IRR,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
