zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.376463984463249
AEL,CCCNCCC,0.29255166785328846
CHA,OSDA-free,0.093885060764974
MFI,OSDA-free,0.06290725377908503
CHA,CCN(CC)CC,0.18264419220721118
LTA,C[N+](C)(C)C,0.31539072663247125
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.5036226472173916
CHA,C1COCCN1,0.19598650383472618
ATO,CCCNCCC,0.15462284721164712
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.34698435118678406
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.16939230911683928
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.1505553150557849
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.028757595015578178
LEV,C[N+]12CCC(CC1)CC2,0.10421241349433355
AFI,CCCN(CCC)CCC,0.03882352408478436
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.1347402525095292
MAZ,OSDA-free,0.039022869539468014
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.936657037521692
AEN,CC[n+]1ccn(C)c1C,0.04213382135853733
FAU,C1COCCOCCOCCOCCOCCO1,0.06547022100158673
FAU,CC[N+](CC)(CC)CC,0.10036274768399998
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.11084691245152718
PHI,OSDA-free,0.06551926496058011
GIS,CCCNCCC,1.2472091791963802
LEV,C[N+]1(C)CCCCC1,0.0769270817493179
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.511544320308409
FER,C[N+]1(Cc2ccccc2)CCCC1,0.0966723495991415
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.16223915970157504
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.22170311236840085
SAV,C1CNCCCNCCNCCNC1,0.054345446360130265
AEI,CC[P+](CC)(CC)CC,1.2840974389185034
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.3786289370426138
NSI,c1cc(-c2ccncc2)ccn1,1.2137472530678068
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.39294973386420706
FER,C1CNCCN1,0.044570351792478285
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.006070539047163965
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.24207038816133797
MWW,CCCCCCC[N+](C)(C)C,0.006849365799305536
MFI,CCN,0.07937895222726495
TON,NCCCCCCCCN,0.35967628245540145
AFR,CCC[N+](CCC)(CCC)CCC,0.27769650081122815
AST,c1ccncc1,0.40143678368166336
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.014453441289717869
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.4494325764280278
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.590092902994779
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.7772511333879668
STF,CCC1CCCC[N+]12CCCCC2,0.42451869208542714
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.0644600788342103
CHA,CC(C)NC(C)C,0.4278874045957005
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.008759750605588368
ITE,NCCNCCNCCNCCNCCN,0.013386487213078403
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.2014417306082616
UFI,CC[N+](CC)(CC)CC,0.2813946631528902
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.1601057115495006
CLO,C1CN2CCC1CC2,1.0437081181843593
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.09285800289700094
AFI,[CH]1C=CC=C1,0.04566631802367853
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.0271852212280368
LAU,c1c[nH]cn1,0.6420136061973014
LEV,CC[N+](C)(C)CC,0.3615969832789154
OFF,C[N+](C)(C)Cc1ccccc1,0.005320257762684545
FER,NCCCCN,0.9734402606417341
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.1098022452234407
STI,CC[N+](CC)(CC)CC,1.3576511451324431
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.9701599999922228
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.06727837386910626
MTN,C1CCNC1,0.4221557969765495
AFI,CCN(C(C)C)C(C)C,0.11781150266111497
AEN,CC[N+](CC)(CC)CC,0.29713477823214085
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.10843630073314466
AST,CC(C)[N+](C)(C)C,0.18835105759129867
MTW,C1CN2CCN1CC2,0.6569475008697583
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.06767495751432745
MTW,C1CCC[N+]2(CC1)CCCCC2,0.7213320738793336
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.0003410197626682064
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.8198912349631717
MFI,C1CCNC1,0.17427642760107148
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.13683684367869697
NON,CC1CCCN1,0.00017472004035693988
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.012246885683553109
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.07935189304123191
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.2999570556967429
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.3891604602241667
CHA,CN(CCO)CCO,0.012955925309754247
FAU,Cc1cccc(C)[n+]1C,0.016123488511480773
NON,CC1CCCCN1,0.0005702260228899802
CHA,CN1CCNCC1,1.3372951976606338
