zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,3.6950605386214015,8.749749375013852,12.444809913635254,0.06844567114801514,0.7400768881508838,0.6716312170028687,0.05729135610130468,0.05729135610130468,0.0,3.381772598624392,3.7022857576610284,0.32051315903663635,0.20978106218932302,0.31567356396077306,0.10589250177145004,0.08052488183444625,0.023629772012771312,0.10415465384721756,0.00179733036913729,0.20194904805264616,0.20374637842178345,0.08829264388021715,0.022310852552087233,0.11060349643230438,8.607785894014924,22.18610792007199,30.793893814086914,0.33417511142023637,0.20562487684956957,0.5397999882698059,8.224806335930907,155.45836016797534,163.68316650390625,96.33868111259454,183.41016090995782,87.07147979736328
AEL,0.07621146055266065,0.018572255351098348,0.094783715903759,0.1096791622366935,0.8385080697808236,0.9481872320175171,0.0,0.0,0.0,0.0,0.0,0.0,0.0002850815405450942,0.00026016940983606557,0.0005452509503811598,9.133489344262295e-05,9.133489344262295e-05,0.0,0.00030845878032786884,0.00030845878032786884,0.0,0.023043894445269254,0.012784729475409836,0.03582862392067909,15.997784612544148,12.377392770878703,28.37517738342285,0.09903737460579065,0.506494189848558,0.40745681524276733,63.907368647844436,249.01117418983662,185.1038055419922,1.332575657195207,75.18737520950401,76.51995086669922
MFI,14.432830886891367,36.229469222971915,50.66230010986328,0.0,0.0,0.0,0.35342457671821803,1.053424862820513,0.7000002861022949,9.254892027365832,11.031257951271863,20.286149978637695,0.1261536792812067,0.38377106347653445,0.25761738419532776,0.0031203534230701616,0.015758696965862067,0.018879050388932228,0.029168809400247464,0.3124246547085513,0.28325584530830383,0.013576469494552774,0.020173531846551733,0.03375000134110451,12.536825540867607,24.26334917226716,36.800174713134766,0.07800663586172563,0.24265180949655074,0.32065844535827637,12.440954358251673,156.0786684444827,168.51962280273438,1.9593533736766773,112.96389286342277,111.0045394897461
LTA,0.44819079545719376,2.035412894761393,1.5872220993041992,0.028323349657639607,0.5017023113340291,0.5300256609916687,0.0789699603508145,1.195417160849747,1.2743871212005615,0.04459499771137953,0.04459499771137953,0.0,0.1810719365515517,0.06336943858482372,0.24444137513637543,0.0014604909183431954,0.0014604909183431954,0.0,0.03030130532223929,0.5540349808021282,0.5237336754798889,0.045427088690570966,0.13931228692608275,0.09388519823551178,22.791881329488696,32.20747017197615,54.999351501464844,0.463381497917276,0.6832670282744354,1.1466485261917114,9.473848483254642,125.85319314272192,135.32704162597656,46.55793669940894,169.95193389179175,123.39399719238281
AFI,0.09249344982024899,0.8206525794398474,0.7281591296195984,0.034815784860672605,0.6785494719256738,0.7133652567863464,0.020294339065108514,0.020294339065108514,0.0,2.0477929490091187,0.026674709987463435,2.074467658996582,0.01599575611584953,0.02243130872779659,0.00643555261194706,0.003386662783976131,0.0012743589701694916,0.004661021754145622,0.011425007755698893,0.03298498565966103,0.021559977903962135,0.015183020544472726,0.029167253362711875,0.0443502739071846,6.364252414545511,31.99730077759316,38.36155319213867,0.07126434625296835,0.36699108301491495,0.4382554292678833,0.7987028714664746,168.35811170372884,169.1568145751953,4.475365994251646,96.90012228699835,101.37548828125
IWR,6.247461594518107,31.04296139615385,24.795499801635742,0.0,0.0,0.0,0.2521634611744119,9.082586816276951,8.830423355102539,3.512363848775294,29.46872180470791,25.956357955932617,0.000620938725,0.000620938725,0.0,0.0013832772382142858,0.0013832772382142858,0.0,0.05754890957622352,0.19786678174285713,0.1403178721666336,0.0298589605399725,0.26080070552142887,0.29065966606140137,2.967118598742573,10.446174957079975,7.479056358337402,0.005310504265075594,0.23673786359285745,0.24204836785793304,3.53910137034606,171.41625141285706,174.95535278320312,37.52959007107114,367.52959007107114,330.0
BEA,0.9949519611726139,19.24417233692309,20.239124298095703,0.001607717041800643,0.001607717041800643,0.0,2.087563594982993,7.614678463147055,5.5271148681640625,5.963336070835409,14.782252231776896,20.745588302612305,0.013085634333549812,0.0652466780715596,0.0783323124051094,0.004970969614878806,0.011719843390091744,0.01669081300497055,0.06914980632861543,0.12365299539963316,0.1928028017282486,0.09293014431429653,0.2807550641341284,0.18782491981983185,2.674419584416615,12.777801332331432,15.452220916748047,0.019962858260688165,0.24617846697467866,0.2661413252353668,3.7507171139765205,152.88880925321098,156.6395263671875,84.79736460930434,380.8830274511012,296.0856628417969
MTW,8.182691644180366,54.30424301768487,62.486934661865234,0.0,0.0,0.0,1.1656578045801527,1.1656578045801527,0.0,32.00076026585339,16.187926104996226,48.18868637084961,0.01593025236212707,0.10012899876750016,0.11605925112962723,0.006401183152692307,0.006401183152692307,0.0,0.07699246186383368,0.2067855991757691,0.12979313731193542,0.05366649485687672,0.030493676592307697,0.08416017144918442,4.19452663396838,45.21340557073596,41.01887893676758,0.04809867055881212,0.2832727858258467,0.3313714563846588,2.9273669478215254,158.3571917769231,155.42982482910156,27.042472277920467,465.9946817505767,438.95220947265625
MEL,3.934615209649916,26.57793514435399,30.512550354003906,0.0022499134994807893,0.0022499134994807893,0.0,0.6505459020967742,0.6505459020967742,0.0,0.2127614089675225,7.9966454574294366,7.783884048461914,0.09692499221879436,0.22206445218640758,0.12513945996761322,0.008959895020973732,0.010162101613980581,0.0012022065930068493,0.010040829365131954,0.22807495814097156,0.23811578750610352,0.010010454024562486,0.04399103593398059,0.033980581909418106,9.725852313719678,52.04526454516499,42.31941223144531,0.00039669283024301727,0.23005542747386465,0.23045212030410767,1.9751526420066625,148.86289373087385,146.8877410888672,41.98767364129597,141.7292147864384,183.71688842773438
LEV,6.741311686572418,9.100438458386078,15.841750144958496,0.11305310942985242,0.38936355330802624,0.27631044387817383,0.3333333432674408,0.0,0.3333333432674408,2.3996422025258384,0.22776606354166665,2.627408266067505,0.058495117115555745,0.1850101074699774,0.24350522458553314,0.0005663913213483146,0.0005663913213483146,0.0,0.08188217707518183,0.17952650956269658,0.2614086866378784,0.006879285890020391,0.009300488066516855,0.016179773956537247,7.549356815719904,22.577153561020197,15.027796745300293,0.010588917763333844,0.23525736865271993,0.24584628641605377,6.681101262383578,154.77957683820236,161.46067810058594,89.04511528318562,139.7805530517753,228.82566833496094
FAU,2.0161864201932564,4.502381141910015,6.5185675621032715,0.11653214373671125,0.19986547955357145,0.0833333358168602,,0.0,,,0.0,,0.06102804968701542,0.33579878638135136,0.27477073669433594,0.0004274802250457269,0.0018802480972972971,0.0014527678722515702,0.35043742589102234,0.6554110281859442,0.3049736022949219,0.002959991713513514,0.002959991713513514,0.0,11.829358418019563,23.71013673070267,11.880778312683105,0.3205421702966834,0.4750928567752982,0.1545506864786148,3.7188434770206413,117.05011178756752,113.33126831054688,30.191546671295015,237.4373657630919,207.24581909179688
BEC,11.073917273359188,11.954017754716984,23.027935028076172,0.0010153677277716796,0.0010153677277716796,0.0,2.795896620004383,7.675407022683826,4.879510402679443,1.038367486509543,21.454602456602316,20.416234970092773,0.0010900055135135134,0.0010900055135135134,0.0,0.0015138302486486488,0.0015138302486486488,0.0,0.049184451564051324,0.07623852857837837,0.02705407701432705,0.04345143172128235,0.3842548761068109,0.34080344438552856,1.847612303858119,5.763956946497279,3.91634464263916,0.00028107568626295487,0.2585151891410817,0.2582341134548187,3.500793856281689,167.7829891027027,171.28378295898438,77.68296145798575,308.885659211892,231.20269775390625
FER,10.577639682874846,13.536860362901521,24.114500045776367,0.0010869565217391304,0.0010869565217391304,0.0,0.1566556817490494,0.1566556817490494,0.0,0.0412761001976345,2.208722946128049,2.2499990463256836,0.013001859891647344,0.1644757546069565,0.15147389471530914,0.0020782910855164805,0.005824849884057971,0.007903140969574451,0.024151174731533123,0.07577421740440567,0.05162304267287254,0.059352918715742636,0.24773900285217423,0.30709192156791687,15.916392096270961,41.73049236177389,25.81410026550293,0.20556852757693844,0.6436590796732752,0.8492276072502136,8.640814254064765,162.39429325797101,153.75347900390625,191.48580040851505,746.8606783382025,555.3748779296875
ATO,0.04402757512179136,0.0029492147103238097,0.04697678983211517,0.0859745124073581,0.9158254286555692,1.0017999410629272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028088602657289068,0.0009520673650793651,0.02904067002236843,46.058352810290245,1.6818052707644433,47.74015808105469,0.0380747436349666,0.4247513531511104,0.3866766095161438,26.93815420154391,218.68610952380953,191.74795532226562,13.906256589740494,67.09152117714284,53.185264587402344
MWW,5.420196403232099,15.64206682559538,10.221870422363281,0.003955696202531646,0.003955696202531646,0.0,0.008888888888888889,0.008888888888888889,0.0,8.205521416881524,16.94178659937664,8.736265182495117,0.006048730048760179,0.03813361975870967,0.03208488970994949,0.03315671611844413,0.05095291029929035,0.017796194180846214,0.08057219622130682,0.1349864816904516,0.21555867791175842,0.017877603117731507,0.022405049931612905,0.004527446813881397,9.550997047977752,51.882398872928924,42.33140182495117,0.0940058417138685,0.1811360531034838,0.2751418948173523,4.368352852453398,161.7877101522581,157.4193572998047,31.52525027465657,197.88679806518718,229.41204833984375
IMF,2.776984336049342,24.39372933116653,21.616744995117188,,0.0,,,0.01020408163265306,,,0.0,,0.10184939103824542,0.7386559386799996,0.6368065476417542,0.0026365781925925926,0.0026365781925925926,0.0,0.4985318601722495,0.8349265575999991,0.33639469742774963,0.014074958080141597,0.014388025888888888,0.00031306780874729156,10.56270095609148,26.076897890344068,36.63959884643555,0.06672238571360611,0.09086581306740737,0.1575881987810135,0.8803240161386157,165.04559456296295,165.92591857910156,12.784126259686502,284.339668251874,271.5555419921875
AEN,0.028431200525040005,0.028431200525040005,0.0,0.28748975347375927,0.8312347347626692,0.5437449812889099,0.0,0.0,0.0,0.0,0.0,0.0,0.011951645641566528,0.001039812536,0.012991458177566528,0.0,0.0,0.0,0.00038676908000000003,0.00038676908000000003,0.0,0.09216784323299591,0.10039803023184006,0.008230186998844147,8.277077403122032,24.74470016008004,16.467622756958008,0.5287194640510202,0.5700728504783987,1.098792314529419,13.500180307199912,177.5001803071999,164.0,45.21443250138509,16.86255571882975,62.076988220214844
