zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.8145122528076172
AEL,CCCNCCC,0.6352624893188477
CHA,OSDA-free,1.8011550903320312
MFI,OSDA-free,0.31714439392089844
CHA,CCN(CC)CC,0.1248779296875
LTA,C[N+](C)(C)C,1.448765754699707
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.23186874389648438
CHA,C1COCCN1,1.4768829345703125
ATO,CCCNCCC,1.3893013000488281
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.783334732055664
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.5556530952453613
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.4970026016235352
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,1.4608979225158691
LEV,C[N+]12CCC(CC1)CC2,1.079106330871582
AFI,CCCN(CCC)CCC,0.20742511749267578
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.2262253761291504
MAZ,OSDA-free,0.419647216796875
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.3541417121887207
AEN,CC[n+]1ccn(C)c1C,0.5900249481201172
FAU,C1COCCOCCOCCOCCOCCO1,0.489593505859375
FAU,CC[N+](CC)(CC)CC,1.6206846237182617
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.744856834411621
PHI,OSDA-free,0.7924919128417969
GIS,CCCNCCC,2.990671157836914
LEV,C[N+]1(C)CCCCC1,1.0509471893310547
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,3.760684013366699
FER,C[N+]1(Cc2ccccc2)CCCC1,0.1532268524169922
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.4462089538574219
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,3.407292366027832
SAV,C1CNCCCNCCNCCNC1,0.5628280639648438
AEI,CC[P+](CC)(CC)CC,2.4280595779418945
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.6716251373291016
NSI,c1cc(-c2ccncc2)ccn1,1.3825836181640625
