zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.88,1.0,1.0,1.0,0.92,1.0,0.995,1.0,1.0,1.0,0.975,0.98
AEL,CCCNCCC,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,0.985,0.98,0.995,0.99
CHA,OSDA-free,0.735,0.995,1.0,1.0,0.875,1.0,0.96,1.0,0.995,0.995,0.83,0.95
MFI,OSDA-free,0.88,1.0,1.0,1.0,0.98,0.99,0.995,0.995,0.99,0.99,0.95,0.905
CHA,CCN(CC)CC,0.995,0.95,1.0,1.0,0.98,0.995,0.99,1.0,0.9,0.95,0.93,0.965
LTA,C[N+](C)(C)C,0.7,1.0,1.0,1.0,0.995,1.0,0.63,1.0,0.48,0.695,1.0,0.96
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.95,1.0,1.0,0.985,0.905,0.885,0.975,0.995,0.85,1.0,0.99,1.0
CHA,C1COCCN1,0.775,0.29,1.0,1.0,0.97,0.59,0.925,0.755,0.76,0.4,0.93,0.925
ATO,CCCNCCC,1.0,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.95,0.355
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.815,1.0,0.845,0.97,0.99,1.0,0.995,0.945,1.0,0.985,0.765,0.445
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.0,0.955,1.0,1.0,1.0,1.0,1.0,0.955,0.67,0.995,0.98,0.715
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.445,0.77,0.985,0.98,0.445,0.995,0.7,1.0,0.97,0.925,0.865,0.905
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.815,1.0,0.69,0.825,0.97,0.995,0.9,0.91,0.985,0.97,0.955,0.895
LEV,C[N+]12CCC(CC1)CC2,0.905,0.965,0.905,0.9,1.0,0.995,0.975,0.985,0.855,0.945,0.13,0.925
AFI,CCCN(CCC)CCC,0.995,0.98,1.0,1.0,0.98,1.0,0.99,0.99,0.96,0.925,0.71,0.935
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.79,0.995,0.77,0.975,1.0,1.0,1.0,0.965,0.99,0.975,0.675,0.48
MAZ,OSDA-free,0.74,1.0,0.985,0.975,0.375,0.99,0.55,0.985,0.355,0.92,0.645,0.87
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.6,1.0,0.985,0.985,1.0,0.795,0.995,1.0,0.945,0.53,0.04,0.47
AEN,CC[n+]1ccn(C)c1C,1.0,0.285,1.0,1.0,1.0,1.0,1.0,0.99,0.75,0.765,0.98,0.845
FAU,C1COCCOCCOCCOCCOCCO1,0.87,0.99,0.945,0.945,0.87,1.0,0.95,0.995,0.94,1.0,0.83,0.5
FAU,CC[N+](CC)(CC)CC,0.335,0.935,0.975,0.975,0.53,0.99,0.175,1.0,0.18,0.44,0.615,0.625
