zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.7163543701171875
AEL,CCCNCCC,1.2419567108154297
CHA,OSDA-free,1.1986885070800781
MFI,OSDA-free,0.13431358337402344
CHA,CCN(CC)CC,0.2422637939453125
LTA,C[N+](C)(C)C,0.7277603149414062
MEL,CCCC[N+](CCCC)(CCCC)CCCC,1.2775421142578125
CHA,C1COCCN1,0.7257375717163086
ATO,CCCNCCC,1.938462257385254
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.016026496887207
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.9285421371459961
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.1841020584106445
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,1.2750482559204102
LEV,C[N+]12CCC(CC1)CC2,0.6503152847290039
AFI,CCCN(CCC)CCC,1.595703125
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.10670661926269531
MAZ,OSDA-free,0.5717716217041016
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.10811710357666
AEN,CC[n+]1ccn(C)c1C,0.6090593338012695
FAU,C1COCCOCCOCCOCCOCCO1,0.9155292510986328
FAU,CC[N+](CC)(CC)CC,2.327850341796875
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.163203239440918
PHI,OSDA-free,0.7646980285644531
GIS,CCCNCCC,4.622006416320801
LEV,C[N+]1(C)CCCCC1,1.1760759353637695
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.3853983879089355
FER,C[N+]1(Cc2ccccc2)CCCC1,1.2923202514648438
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.39361000061035156
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,3.5701141357421875
SAV,C1CNCCCNCCNCCNC1,3.930168628692627
AEI,CC[P+](CC)(CC)CC,1.1950922012329102
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.49628543853759766
NSI,c1cc(-c2ccncc2)ccn1,2.5871171951293945
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.184605598449707
FER,C1CNCCN1,0.4325294494628906
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.9564237594604492
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.5208101272583008
MWW,CCCCCCC[N+](C)(C)C,0.12478923797607422
MFI,CCN,1.3830652236938477
TON,NCCCCCCCCN,0.864405632019043
AFR,CCC[N+](CCC)(CCC)CCC,1.059478759765625
AST,c1ccncc1,0.6387948989868164
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.7081928253173828
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,1.9723849296569824
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.1409482955932617
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.2614784240722656
STF,CCC1CCCC[N+]12CCCCC2,2.108072280883789
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.440521240234375
CHA,CC(C)NC(C)C,2.8285341262817383
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.24037551879882812
ITE,NCCNCCNCCNCCNCCN,1.5425872802734375
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.285618782043457
UFI,CC[N+](CC)(CC)CC,3.627105712890625
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.810917854309082
CLO,C1CN2CCC1CC2,4.109326362609863
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.7766761779785156
AFI,[CH]1C=CC=C1,2.2876625061035156
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,2.8791728019714355
LAU,c1c[nH]cn1,2.582770347595215
LEV,CC[N+](C)(C)CC,1.5810356140136719
OFF,C[N+](C)(C)Cc1ccccc1,1.864236831665039
FER,NCCCCN,1.4801931381225586
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.6543788909912109
STI,CC[N+](CC)(CC)CC,4.160472393035889
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,3.619907855987549
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.1641693115234375
MTN,C1CCNC1,1.8057565689086914
AFI,CCN(C(C)C)C(C)C,1.2041893005371094
AEN,CC[N+](CC)(CC)CC,1.7925500869750977
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.0437650680541992
AST,CC(C)[N+](C)(C)C,-0.05682563781738281
MTW,C1CN2CCN1CC2,2.8887553215026855
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.5813064575195312
MTW,C1CCC[N+]2(CC1)CCCCC2,1.886733055114746
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.6088333129882812
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.6866483688354492
MFI,C1CCNC1,1.0484228134155273
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,3.8941650390625
NON,CC1CCCN1,0.08644580841064453
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.1933536529541016
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,3.46951961517334
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,-0.11014461517333984
BEC,CC[N+](CC)(CC)Cc1ccccc1,1.4196224212646484
CHA,CN(CCO)CCO,1.6389141082763672
FAU,Cc1cccc(C)[n+]1C,1.067549705505371
NON,CC1CCCCN1,0.09441184997558594
CHA,CN1CCNCC1,2.070124626159668
ERI,C[N+]1(C)CCCCC1,1.8941516876220703
AFI,C1CCCNCC1,-0.08395862579345703
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.5034666061401367
ITE,C[N+]1(C)CCCCC2CCCCC21,3.01315975189209
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,1.185612678527832
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,1.3516454696655273
AVE,C1CC[N+]2(CC1)CCCC2,3.111295700073242
MWW,CCCCCC[N+](C)(C)C,0.25826549530029297
STW,CCc1n(C)cc(C)[n+]1C,0.007762908935546875
FER,CCCCN,0.858100414276123
TON,CC(N)CN,0.30219554901123047
ETL,C[N+](C)(C)CCO,5.097929000854492
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,-0.09927845001220703
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.1733274459838867
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.5635528564453125
MEI,CN(CCO)CCO,1.1118717193603516
AEL,CCNCC,0.26760005950927734
CHA,NCCNCCN,1.8269319534301758
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,3.616641044616699
AEL,CCCCNCCCC,0.4958343505859375
MFI,CCCNCCC,0.09501934051513672
