zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.3179936415629883
AEL,CCCNCCC,0.2329672866376185
CHA,OSDA-free,0.10771049676264112
MFI,OSDA-free,0.03632553091576751
CHA,CCN(CC)CC,0.06692569353879792
LTA,C[N+](C)(C)C,0.20833648534544114
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.40653212820106777
CHA,C1COCCN1,0.13570224790835972
ATO,CCCNCCC,0.10110637639384541
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.2758025256271939
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.4827504109198639
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.2779417410078665
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.31390644496772296
LEV,C[N+]12CCC(CC1)CC2,0.19762071410878798
AFI,CCCN(CCC)CCC,0.3222685108408335
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.02706593189194486
MAZ,OSDA-free,0.14310694448838546
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.5143313433528617
AEN,CC[n+]1ccn(C)c1C,0.04380742203145507
FAU,C1COCCOCCOCCOCCOCCO1,0.0972667339311458
FAU,CC[N+](CC)(CC)CC,0.23974619584099494
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.7397316620613332
PHI,OSDA-free,0.14530193014636564
GIS,CCCNCCC,1.251161039171668
LEV,C[N+]1(C)CCCCC1,0.08660664981997536
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4849592979161105
FER,C[N+]1(Cc2ccccc2)CCCC1,0.10068547302618379
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.0966681127481287
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.7202169761110633
SAV,C1CNCCCNCCNCCNC1,1.3156248293288995
AEI,CC[P+](CC)(CC)CC,0.5480427470608564
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.190355617095542
NSI,c1cc(-c2ccncc2)ccn1,1.1849030020519913
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.33816925900662753
FER,C1CNCCN1,0.2433618254043073
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.0070733853257953705
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.10651822049657639
MWW,CCCCCCC[N+](C)(C)C,0.003496183694913504
MFI,CCN,0.11702007224648356
TON,NCCCCCCCCN,0.31073649907056955
AFR,CCC[N+](CCC)(CCC)CCC,0.12787657257852486
AST,c1ccncc1,0.1533512599764849
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.012015568411923729
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.7541145647765384
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.41890287594396697
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.5928989815521627
STF,CCC1CCCC[N+]12CCCCC2,0.5275802772367407
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.1273914166668495
CHA,CC(C)NC(C)C,1.0510869351186947
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.04635324867814655
ITE,NCCNCCNCCNCCNCCN,0.4326239088329257
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.2760125403556698
UFI,CC[N+](CC)(CC)CC,0.9145317759062922
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.23490932471488934
CLO,C1CN2CCC1CC2,0.8598766702740297
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.18415693596204513
AFI,[CH]1C=CC=C1,0.09203021895893265
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.8521730525737294
LAU,c1c[nH]cn1,0.3107292084676049
LEV,CC[N+](C)(C)CC,0.16921021953186138
OFF,C[N+](C)(C)Cc1ccccc1,0.04408227761306646
FER,NCCCCN,1.095136877137807
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.14669134844847062
STI,CC[N+](CC)(CC)CC,0.8578229358865554
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.9925500726859802
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.04691246189209787
MTN,C1CCNC1,0.45950651628109535
AFI,CCN(C(C)C)C(C)C,0.2914630523587175
AEN,CC[N+](CC)(CC)CC,0.11614677836162564
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.017395399884770263
AST,CC(C)[N+](C)(C)C,0.08834625884405001
MTW,C1CN2CCN1CC2,0.9121416077065879
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.1450415946661665
MTW,C1CCC[N+]2(CC1)CCCCC2,0.34595382199788194
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.07931055877397303
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.25021067833735444
MFI,C1CCNC1,0.17828146120676244
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.5003940335272488
NON,CC1CCCN1,0.006758695666786681
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.011548959580196754
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.6612470404256863
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.294301095940146
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.39416184463103227
CHA,CN(CCO)CCO,0.5048988358949964
