zeo,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,0.95,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,0.89,1.0,0.93
AEL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.965,0.99,1.0,0.995
MFI,0.95,1.0,1.0,0.965,0.99,0.995,0.99,0.975,0.99,0.945,0.99,0.955
LTA,0.96,1.0,0.93,1.0,0.995,1.0,0.78,1.0,0.995,0.765,0.99,0.985
AFI,0.985,0.965,1.0,0.995,0.985,1.0,1.0,0.975,0.955,0.975,0.925,0.99
IWR,0.91,1.0,0.8,0.925,1.0,1.0,0.995,0.975,1.0,1.0,0.98,0.625
BEA,0.925,1.0,0.95,0.985,0.99,1.0,1.0,0.87,1.0,1.0,1.0,0.945
MTW,0.85,1.0,1.0,0.935,0.975,0.99,0.97,1.0,0.965,0.88,0.965,0.97
MEL,0.975,1.0,0.995,1.0,0.99,0.81,1.0,0.995,0.93,0.99,0.99,0.94
LEV,0.95,0.935,1.0,0.975,1.0,1.0,1.0,0.955,0.96,0.935,0.535,0.74
FAU,0.995,0.915,0.985,0.985,0.985,0.99,0.77,0.975,0.665,0.84,0.935,0.88
BEC,0.865,1.0,0.71,0.97,1.0,1.0,0.955,0.965,0.95,0.915,0.935,0.67
FER,0.83,0.995,1.0,0.95,0.92,1.0,0.975,1.0,0.985,0.84,0.9,0.715
ATO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.865,0.015
MWW,0.83,1.0,1.0,0.77,1.0,1.0,1.0,0.94,0.995,0.66,1.0,0.905
IMF,0.0,1.0,1.0,1.0,0.01,0.98,0.02,1.0,1.0,1.0,1.0,1.0
AEN,1.0,0.715,0.995,0.995,1.0,1.0,1.0,0.635,0.98,0.945,0.995,0.91
STF,0.56,1.0,1.0,0.93,0.74,1.0,0.835,0.985,0.735,0.895,0.985,0.825
MAZ,0.695,1.0,1.0,1.0,0.245,0.985,0.315,1.0,0.325,0.995,0.535,0.895
AEI,0.315,0.4,0.4,0.43,1.0,1.0,0.995,0.995,0.61,0.575,0.545,0.705
GIS,0.96,0.99,1.0,1.0,0.92,1.0,0.9,0.41,0.405,0.29,0.83,0.895
TON,0.59,1.0,1.0,1.0,0.88,0.885,0.91,1.0,1.0,0.55,0.97,0.71
ITE,0.6,0.66,1.0,0.72,0.985,1.0,0.985,0.89,0.85,0.89,0.94,0.525
NON,0.945,1.0,1.0,1.0,0.98,1.0,0.92,1.0,0.885,0.885,0.91,0.63
MOR,0.605,0.995,1.0,1.0,0.86,0.985,0.955,1.0,0.995,0.895,0.845,0.845
AST,1.0,0.99,0.905,1.0,1.0,1.0,1.0,0.595,0.49,0.69,0.52,0.32
PHI,0.575,1.0,1.0,1.0,0.965,0.235,0.305,0.98,0.96,0.975,0.58,0.735
SAV,0.995,0.895,1.0,1.0,0.995,1.0,1.0,1.0,0.8,1.0,0.74,0.945
UOV,0.74,0.83,0.225,0.79,1.0,1.0,1.0,0.885,0.93,0.845,0.81,0.675
ITT,0.59,0.725,0.315,0.96,1.0,1.0,1.0,0.525,0.92,0.735,0.105,0.105
MTT,0.6,1.0,1.0,1.0,0.935,0.685,1.0,1.0,0.985,0.985,1.0,0.93
ITG,0.645,1.0,0.535,0.97,1.0,1.0,0.175,0.19,0.97,1.0,0.995,0.995
CON,0.995,1.0,1.0,0.265,1.0,0.995,0.41,1.0,0.2,0.255,0.145,0.515
NSI,0.995,1.0,1.0,1.0,0.985,0.99,0.95,0.88,0.62,0.46,0.0,0.915
ERI,0.555,0.875,1.0,1.0,0.75,0.735,0.625,1.0,0.54,0.665,0.775,0.625
MTN,0.81,1.0,1.0,1.0,0.91,0.98,0.97,1.0,0.63,0.145,1.0,0.515
MRE,0.615,1.0,0.96,0.96,0.49,1.0,0.865,1.0,0.935,0.96,0.815,0.615
AFR,1.0,0.765,1.0,1.0,1.0,1.0,1.0,1.0,0.725,0.96,0.505,0.65
SWY,1.0,0.015,0.055,0.06,1.0,1.0,1.0,1.0,0.005,0.06,0.015,0.065
LAU,0.185,0.175,1.0,1.0,0.63,1.0,0.79,0.97,0.045,0.705,0.345,0.245
DDR,0.835,1.0,1.0,0.765,1.0,1.0,1.0,0.725,0.615,0.825,0.68,0.58
AFX,0.16,0.955,1.0,1.0,0.26,1.0,0.245,0.995,0.135,0.095,0.22,0.125
UFI,0.0,0.96,0.96,0.96,0.04,1.0,0.0,1.0,0.0,0.0,0.39,0.955
ISV,1.0,1.0,0.85,1.0,1.0,1.0,1.0,0.985,0.995,1.0,0.715,0.16
ANA,0.615,1.0,1.0,1.0,0.4,0.98,0.84,1.0,0.995,1.0,1.0,0.735
CLO,0.395,0.41,0.395,0.395,0.665,0.865,0.395,0.005,0.425,0.0,0.26,0.285
OFF,0.045,1.0,1.0,1.0,0.99,0.275,0.765,1.0,0.0,0.01,0.0,0.995
STI,0.54,0.54,0.005,0.98,0.755,0.87,0.055,0.04,0.385,0.19,0.275,0.205
CTH,1.0,1.0,0.005,1.0,1.0,1.0,1.0,0.995,1.0,1.0,1.0,0.29
SFS,1.0,1.0,1.0,0.16,1.0,1.0,0.93,0.995,0.995,0.035,0.995,0.92
AWO,1.0,0.76,1.0,1.0,1.0,1.0,1.0,0.98,0.8,0.69,0.75,0.275
DOH,1.0,1.0,0.8571428571428571,0.03428571428571429,0.9942857142857143,1.0,0.9485714285714286,1.0,0.35428571428571426,0.12,0.92,0.0
SOD,0.8971428571428571,1.0,1.0,1.0,0.4057142857142857,0.9885714285714285,0.7428571428571429,0.9828571428571429,0.4114285714285714,0.3028571428571429,0.9942857142857143,0.32571428571428573
STW,0.9257142857142857,1.0,0.8628571428571429,0.9257142857142857,1.0,1.0,1.0,0.9485714285714286,0.9828571428571429,1.0,0.8285714285714286,0.8457142857142858
UOZ,0.31333333333333335,0.9933333333333333,0.0,0.9933333333333333,0.3466666666666667,0.9533333333333334,0.26666666666666666,0.20666666666666667,0.37333333333333335,0.28,0.44,0.9
MEI,1.0,0.3333333333333333,0.96,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.9466666666666667,0.37333333333333335
ETL,0.0,0.9333333333333333,1.0,1.0,0.12666666666666668,0.8466666666666667,0.44666666666666666,1.0,0.07333333333333333,0.37333333333333335,0.78,0.7
AVE,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.0,1.0,0.0,0.0,1.0,0.0
SZR,0.4533333333333333,1.0,1.0,1.0,0.9133333333333333,0.32666666666666666,0.36,1.0,1.0,1.0,0.9866666666666667,0.86
JST,0.128,0.872,0.128,0.12,1.0,1.0,1.0,0.064,0.232,0.504,0.128,0.0
IFR,0.128,0.184,0.512,0.496,0.976,0.992,0.12,0.752,0.12,0.064,0.832,0.352
IFW,1.0,1.0,0.664,0.072,1.0,1.0,0.76,0.528,0.568,1.0,0.656,0.968
CGS,0.648,0.64,1.0,0.912,0.712,0.848,0.896,0.8,0.064,0.136,0.336,0.216
PWN,0.632,1.0,1.0,1.0,0.56,0.52,0.032,1.0,0.56,0.976,0.728,0.992
ATS,1.0,0.0,0.98,0.98,1.0,1.0,1.0,0.99,0.59,0.43,0.25,0.52
RTH,0.93,1.0,1.0,0.12,0.75,0.99,0.99,1.0,0.12,0.76,0.76,0.77
EUO,0.56,0.74,1.0,0.98,0.75,1.0,0.56,0.75,0.77,0.75,0.31,0.1
EMT,0.88,1.0,1.0,1.0,0.3,1.0,0.06,1.0,0.16,0.39,0.0,0.19
BPH,0.5,0.99,1.0,1.0,0.5,1.0,0.05,1.0,0.5,0.08,0.1,0.1
AWW,1.0,0.0,0.8933333333333333,0.8933333333333333,1.0,1.0,1.0,0.9066666666666666,0.0,0.0,0.3333333333333333,0.013333333333333334
ASV,0.84,1.0,0.0,1.0,1.0,1.0,0.0,0.013333333333333334,1.0,0.17333333333333334,1.0,0.8133333333333334
IHW,0.02666666666666667,0.29333333333333333,0.36,0.68,0.9866666666666667,1.0,0.17333333333333334,0.17333333333333334,0.18666666666666668,1.0,1.0,1.0
RWY,0.05333333333333334,0.9066666666666666,0.06666666666666667,0.05333333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06666666666666667
LTJ,0.6266666666666667,0.6266666666666667,1.0,1.0,0.0,0.0,0.0,1.0,0.25333333333333335,1.0,0.48,0.013333333333333334
SFH,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09333333333333334
NES,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.92,1.0,0.18
IRR,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.76,0.0,1.0,1.0
TUN,0.0,1.0,1.0,1.0,0.0,0.86,0.0,1.0,0.0,0.0,0.04,0.0
IWV,0.9,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.38
EON,0.0,0.06,1.0,0.7,0.94,0.6,0.36,1.0,0.04,0.04,0.06,0.0
STO,0.1,0.02,1.0,1.0,0.5,1.0,0.02,1.0,0.5,0.5,0.48,0.0
ITW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.6,0.0,0.18,0.12
SFW,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
IFU,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
VFI,0.8,0.4,0.46,0.46,0.9,0.98,0.96,1.0,0.34,0.54,0.06,0.3
EEI,0.0,0.16,0.56,0.56,1.0,1.0,1.0,1.0,0.04,0.44,0.08,0.2
SFG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04,0.0
LOS,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
SFV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
IFO,0.2,0.2,0.2,0.2,1.0,1.0,1.0,0.2,0.12,0.36,0.44,0.08
RTE,0.0,1.0,0.0,0.04,1.0,1.0,0.96,1.0,0.0,0.0,0.96,0.0
MER,0.0,0.0,0.0,0.0,0.0,0.36,0.0,1.0,0.0,0.0,0.12,0.48
AFN,1.0,0.12,1.0,1.0,1.0,1.0,1.0,0.88,0.04,0.0,0.76,0.88
