zeo,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,0.7928348909657321,0.942367601246106,1.0,0.9922118380062306,0.8566978193146417,0.8800623052959502,0.940809968847352,0.9330218068535826,0.8785046728971962,0.8878504672897196,0.9158878504672897,0.9719626168224299
AEL,1.0,0.9221311475409836,1.0,1.0,0.9959016393442623,1.0,1.0,0.9631147540983607,0.7868852459016393,0.8237704918032787,0.8483606557377049,0.819672131147541
MFI,0.9310344827586207,1.0,0.9827586206896551,0.9698275862068966,0.9913793103448276,0.9956896551724138,0.9741379310344828,0.9827586206896551,0.9827586206896551,0.9525862068965517,0.7672413793103449,0.896551724137931
LTA,1.0,0.5029585798816568,0.9408284023668639,1.0,0.757396449704142,1.0,0.7751479289940828,0.9940828402366864,0.6923076923076923,0.5325443786982249,0.8047337278106509,0.8816568047337278
AFI,0.9915254237288136,0.940677966101695,1.0,0.9661016949152542,1.0,0.9830508474576272,0.9915254237288136,1.0,0.9830508474576272,0.9745762711864406,0.9915254237288136,0.9491525423728814
IWR,0.8660714285714286,1.0,0.8839285714285714,0.4642857142857143,1.0,1.0,0.8571428571428571,1.0,0.9732142857142857,0.9732142857142857,0.9910714285714286,0.9910714285714286
BEA,0.944954128440367,1.0,0.9357798165137615,0.9724770642201835,0.8532110091743119,0.963302752293578,0.944954128440367,1.0,0.963302752293578,0.9541284403669725,0.981651376146789,0.7522935779816514
MTW,0.9423076923076923,1.0,1.0,0.9038461538461539,0.9903846153846154,1.0,0.9903846153846154,0.9134615384615384,0.9711538461538461,1.0,0.9038461538461539,0.7307692307692307
MEL,0.6116504854368932,1.0,1.0,0.9611650485436893,0.912621359223301,1.0,0.970873786407767,1.0,0.9805825242718447,0.9514563106796117,0.8058252427184466,0.912621359223301
LEV,0.651685393258427,0.9662921348314607,0.9887640449438202,0.8764044943820225,0.9662921348314607,1.0,0.8764044943820225,1.0,0.9550561797752809,0.9550561797752809,0.7078651685393258,0.5168539325842697
FAU,0.8513513513513513,0.9864864864864865,1.0,1.0,1.0,0.9864864864864865,0.8108108108108109,1.0,0.9594594594594594,1.0,0.9594594594594594,0.9864864864864865
BEC,0.918918918918919,1.0,0.9054054054054054,0.8108108108108109,1.0,1.0,1.0,0.9864864864864865,1.0,0.9864864864864865,0.9054054054054054,0.9864864864864865
FER,0.8115942028985508,1.0,0.9710144927536232,0.9420289855072463,1.0,0.9420289855072463,1.0,0.9420289855072463,0.927536231884058,0.9130434782608695,0.927536231884058,0.782608695652174
ATO,1.0,0.7936507936507936,1.0,1.0,1.0,1.0,1.0,0.873015873015873,0.06349206349206349,0.1111111111111111,0.31746031746031744,0.015873015873015872
MWW,0.9838709677419355,1.0,1.0,0.9838709677419355,0.9516129032258065,1.0,0.9032258064516129,0.9838709677419355,1.0,0.9193548387096774,0.967741935483871,0.8548387096774194
IMF,0.0,1.0,1.0,1.0,0.07407407407407407,1.0,0.05555555555555555,1.0,0.5185185185185185,0.9814814814814815,0.4444444444444444,0.2037037037037037
AEN,1.0,0.82,1.0,1.0,0.98,1.0,1.0,1.0,0.98,0.72,0.86,0.86
STF,0.6585365853658537,1.0,0.6097560975609756,0.7804878048780488,1.0,0.975609756097561,0.926829268292683,0.975609756097561,0.9024390243902439,0.6829268292682927,0.975609756097561,0.7804878048780488
MAZ,0.75,0.95,1.0,1.0,1.0,0.825,1.0,1.0,0.6,1.0,0.975,0.975
AEI,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.7222222222222222,1.0,0.6944444444444444,1.0,0.9722222222222222
GIS,0.9705882352941176,0.29411764705882354,1.0,1.0,1.0,0.9705882352941176,0.9117647058823529,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.8235294117647058,0.4117647058823529
