zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.6440823263205881
AEL,CCCNCCC,0.8282280385009128
CHA,OSDA-free,1.6122485259749952
MFI,OSDA-free,1.5621963811210797
CHA,CCN(CC)CC,0.7759648476231269
LTA,C[N+](C)(C)C,1.6025083004888123
MEL,CCCC[N+](CCCC)(CCCC)CCCC,1.84532344274427
CHA,C1COCCN1,1.9013764971487532
ATO,CCCNCCC,1.378046431008297
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.3469724633586777
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,2.8120336422518095
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.276882754949125
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,2.4199593827904757
LEV,C[N+]12CCC(CC1)CC2,1.5518712407412072
AFI,CCCN(CCC)CCC,1.7098063488838182
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.2106560593647275
MAZ,OSDA-free,1.5952953157334135
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.7000289650067977
AEN,CC[n+]1ccn(C)c1C,1.8564581367943847
FAU,C1COCCOCCOCCOCCOCCO1,0.561775142646149
FAU,CC[N+](CC)(CC)CC,0.6950380320461835
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.3578066672988953
PHI,OSDA-free,1.6305407646454757
GIS,CCCNCCC,0.8801314764875996
LEV,C[N+]1(C)CCCCC1,1.075082898935137
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.2679531911298376
FER,C[N+]1(Cc2ccccc2)CCCC1,0.42027324791108034
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.394306054343435
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,2.06497632246984
SAV,C1CNCCCNCCNCCNC1,0.5662496294070922
AEI,CC[P+](CC)(CC)CC,1.18080509713189
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.9082268710303704
NSI,c1cc(-c2ccncc2)ccn1,0.6560461421744581
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.966524378593462
FER,C1CNCCN1,1.0790445785487526
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.7497833317079745
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.5580988939205598
MWW,CCCCCCC[N+](C)(C)C,1.0436470598928747
MFI,CCN,1.2258596127350354
TON,NCCCCCCCCN,0.583534438206609
AFR,CCC[N+](CCC)(CCC)CCC,2.281879712422871
AST,c1ccncc1,2.982743196896181
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.5228444091998169
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,1.6423668324120335
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.733445729524914
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.9782564412960943
STF,CCC1CCCC[N+]12CCCCC2,1.054679121814695
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,1.6617151365666802
CHA,CC(C)NC(C)C,0.9234414502784988
MFI,CCCN(CCC)CCCCCN(CCC)CCC,1.1096784021663157
ITE,NCCNCCNCCNCCNCCN,1.1691741519721954
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.7299698921555788
UFI,CC[N+](CC)(CC)CC,0.9613849739103575
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.6903096232548662
CLO,C1CN2CCC1CC2,3.2308360315240385
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.599078468949305
AFI,[CH]1C=CC=C1,2.5379534544158666
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.2958100175949576
LAU,c1c[nH]cn1,2.8265418621299014
LEV,CC[N+](C)(C)CC,1.568621771167114
OFF,C[N+](C)(C)Cc1ccccc1,0.4617858511032711
FER,NCCCCN,0.5174745896097486
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.3685522135641287
STI,CC[N+](CC)(CC)CC,1.8134737422525014
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.619639862862332
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.7444655650484926
MTN,C1CCNC1,1.654108742327098
AFI,CCN(C(C)C)C(C)C,1.6387915887974358
AEN,CC[N+](CC)(CC)CC,1.943349456397543
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.5089561617457211
AST,CC(C)[N+](C)(C)C,2.279391293536392
MTW,C1CN2CCN1CC2,0.9895665017345552
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,2.567375537953419
MTW,C1CCC[N+]2(CC1)CCCCC2,0.3784510052573463
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,2.022200401261242
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.2724822196731118
MFI,C1CCNC1,1.1947221850526897
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.7826864068029646
NON,CC1CCCN1,2.4124788045715047
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.0879205511478027
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.8325898559413321
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.8050913858957973
BEC,CC[N+](CC)(CC)Cc1ccccc1,1.1807972029232214
CHA,CN(CCO)CCO,0.6215555263437473
FAU,Cc1cccc(C)[n+]1C,0.5359038825422997
NON,CC1CCCCN1,2.281044462399906
CHA,CN1CCNCC1,2.0456665180991003
ERI,C[N+]1(C)CCCCC1,0.8664524179918218
AFI,C1CCCNCC1,1.2445157374654312
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,2.4553337244818456
ITE,C[N+]1(C)CCCCC2CCCCC21,0.2608329856469038
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,1.4593894032936023
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,1.2930471213702472
