zeo,MMD
CHA,2.207639694213867
AEL,2.386655807495117
MFI,2.9588088989257812
LTA,3.3441405296325684
AFI,3.8738441467285156
IWR,4.171769142150879
BEA,3.229665756225586
MTW,3.393117904663086
MEL,3.089789390563965
LEV,3.106792449951172
FAU,3.382906913757324
BEC,4.572388172149658
FER,3.067744255065918
ATO,4.082847595214844
MWW,4.37141227722168
IMF,4.348886489868164
AEN,4.925350189208984
STF,3.1319098472595215
MAZ,3.344540596008301
AEI,3.399129867553711
GIS,3.711885452270508
TON,3.301290512084961
ITE,3.233489990234375
NON,4.660097599029541
MOR,3.2169952392578125
AST,4.3553996086120605
PHI,3.431277275085449
SAV,2.0196609497070312
UOV,5.817079544067383
ITT,4.483826637268066
MTT,3.0508804321289062
ITG,4.621267795562744
CON,3.954343318939209
NSI,3.048823356628418
ERI,2.9703474044799805
MTN,4.021008014678955
MRE,4.3430376052856445
AFR,3.05808162689209
SWY,2.076626777648926
LAU,4.546986103057861
DDR,3.2001724243164062
AFX,3.6055655479431152
UFI,5.7846360206604
ISV,4.8687896728515625
ANA,3.325942039489746
CLO,5.879736423492432
OFF,4.688229560852051
STI,6.636600971221924
CTH,6.133159637451172
SFS,5.888213157653809
AWO,4.929253101348877
DOH,5.806139945983887
SOD,3.7598233222961426
STW,5.518694877624512
UOZ,4.473728656768799
MEI,3.5010242462158203
ETL,4.048336982727051
AVE,3.3130064010620117
SZR,3.093594551086426
JST,4.839101314544678
IFR,4.142233848571777
IFW,5.898271560668945
CGS,5.130459785461426
PWN,4.834719657897949
ATS,6.232386589050293
RTH,4.3768086433410645
EUO,2.743109703063965
EMT,3.515026092529297
BPH,3.0170202255249023
AWW,5.854212760925293
ASV,3.509005069732666
IHW,4.604132652282715
RWY,7.2571282386779785
LTJ,5.99849796295166
SFH,4.611483097076416
NES,2.550492286682129
IRR,6.95036506652832
TUN,4.812961578369141
IWV,3.0579051971435547
EON,2.7799177169799805
STO,5.119957447052002
ITW,3.179166316986084
SFW,4.836172103881836
IFU,6.870543956756592
VFI,5.548331260681152
EEI,5.711198806762695
SFG,7.261368274688721
LOS,6.929043769836426
SFV,5.036555290222168
IFO,6.5863423347473145
RTE,7.262478828430176
MER,7.285401344299316
AFN,6.8792724609375
APC,2.2055511474609375
SFN,6.921937942504883
SSY,6.897828578948975
PUN,6.96125602722168
LTL,5.4232072830200195
UOS,6.9644646644592285
CGF,6.4911980628967285
AHT,6.878352642059326
VET,6.497093677520752
ABW,7.021078586578369
PWW,6.019178867340088
