zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.027888446215139442,0.0,0.9681274900398407,0.9681274900398407,0.5378486055776892,0.9840637450199203,0.3426294820717131,0.7211155378486056,0.18725099601593626,0.11553784860557768,0.3466135458167331,0.055776892430278883
AEL,CCCNCCC,0.0,0.8165938864628821,0.47161572052401746,0.47161572052401746,0.9956331877729258,1.0,1.0,0.8995633187772926,0.4017467248908297,0.519650655021834,0.039301310043668124,0.07860262008733625
CHA,OSDA-free,0.0,0.0,0.9748427672955975,0.9433962264150944,0.5094339622641509,0.20754716981132076,0.33962264150943394,0.6918238993710691,0.14465408805031446,0.0,0.2641509433962264,0.06289308176100629
MFI,OSDA-free,0.08130081300813008,0.0,0.983739837398374,0.9512195121951219,0.04878048780487805,1.0,0.12195121951219512,1.0,0.08130081300813008,0.0,0.14634146341463414,0.06504065040650407
CHA,CCN(CC)CC,0.0,0.5660377358490566,0.8962264150943396,0.8962264150943396,1.0,1.0,1.0,0.9622641509433962,0.6981132075471698,0.018867924528301886,0.03773584905660377,0.02830188679245283
LTA,C[N+](C)(C)C,0.0,0.010869565217391304,0.9456521739130435,0.9456521739130435,0.16304347826086957,1.0,0.42391304347826086,0.967391304347826,0.08695652173913043,0.010869565217391304,0.03260869565217391,0.043478260869565216
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.0963855421686747,0.0,0.891566265060241,0.8433734939759037,0.4939759036144578,0.9879518072289156,0.21686746987951808,1.0,0.3614457831325301,0.1686746987951807,0.04819277108433735,0.03614457831325301
CHA,C1COCCN1,0.0,0.6463414634146342,0.7804878048780488,0.7804878048780488,1.0,1.0,1.0,0.7682926829268293,0.5609756097560976,0.036585365853658534,0.0,0.17073170731707318
ATO,CCCNCCC,0.0,0.7777777777777778,0.25396825396825395,0.25396825396825395,1.0,1.0,1.0,0.873015873015873,0.19047619047619047,0.19047619047619047,0.0,0.015873015873015872
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.016129032258064516,0.0,0.06451612903225806,0.12903225806451613,1.0,1.0,0.5645161290322581,0.532258064516129,0.0967741935483871,0.9838709677419355,0.0,0.06451612903225806
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.0,0.7333333333333333,0.016666666666666666,0.11666666666666667,1.0,1.0,1.0,0.15,0.3333333333333333,0.21666666666666667,0.0,0.25
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.1111111111111111,0.0,1.0,1.0,0.07407407407407407,1.0,0.09259259259259259,1.0,0.0,0.0,0.4444444444444444,0.0
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.0,0.0,0.04,0.74,1.0,1.0,0.82,0.18,0.42,0.96,0.0,0.0
LEV,C[N+]12CCC(CC1)CC2,0.0,0.0,1.0,0.78,0.04,1.0,0.2,1.0,0.84,0.0,0.02,0.08
AFI,CCCN(CCC)CCC,0.0,0.40425531914893614,0.02127659574468085,0.02127659574468085,1.0,1.0,1.0,0.9574468085106383,0.2127659574468085,0.1702127659574468,0.0,0.0
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.0,0.0,0.022222222222222223,0.8,1.0,1.0,0.9777777777777777,0.06666666666666667,0.0,0.9333333333333333,0.0,0.28888888888888886
MAZ,OSDA-free,0.0,0.0,1.0,1.0,0.07692307692307693,0.8205128205128205,0.0,1.0,0.20512820512820512,0.0,0.0,0.0
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.0,0.0,0.9166666666666666,0.9166666666666666,0.7222222222222222,0.8888888888888888,0.08333333333333333,1.0,0.027777777777777776,0.8055555555555556,0.0,0.16666666666666666
AEN,CC[n+]1ccn(C)c1C,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.36363636363636365,0.06060606060606061,0.030303030303030304,0.0
FAU,C1COCCOCCOCCOCCOCCO1,0.0,0.0,1.0,1.0,0.0,1.0,0.5517241379310345,1.0,0.6206896551724138,0.0,0.0,0.034482758620689655
FAU,CC[N+](CC)(CC)CC,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.15384615384615385,0.38461538461538464,0.0,0.0
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.0,0.0,0.0,1.0,1.0,1.0,0.4583333333333333,1.0,0.20833333333333334,0.875,0.0,0.0
PHI,OSDA-free,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,0.8333333333333334,0.0,0.0,0.041666666666666664
GIS,CCCNCCC,0.0,0.875,0.875,0.875,1.0,1.0,1.0,0.125,0.125,0.041666666666666664,0.0,0.0
LEV,C[N+]1(C)CCCCC1,0.043478260869565216,0.0,1.0,1.0,0.043478260869565216,1.0,0.043478260869565216,1.0,0.43478260869565216,0.391304347826087,0.043478260869565216,0.043478260869565216
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.0,0.0,0.0,0.4090909090909091,1.0,1.0,0.18181818181818182,0.8181818181818182,0.0,1.0,0.0,0.045454545454545456
FER,C[N+]1(Cc2ccccc2)CCCC1,0.0,0.0,0.9523809523809523,0.9523809523809523,0.8571428571428571,1.0,1.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.0,0.0,0.0,0.38095238095238093,1.0,1.0,0.0,1.0,0.2857142857142857,1.0,0.0,0.0
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3,1.0,0.0,0.0
SAV,C1CNCCCNCCNCCNC1,0.0,0.3,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0
AEI,CC[P+](CC)(CC)CC,0.35,0.0,1.0,1.0,0.05,1.0,0.55,0.55,0.0,0.55,0.0,0.0
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.0,0.0,0.8421052631578947,0.5789473684210527,0.5789473684210527,1.0,0.47368421052631576,0.6842105263157895,0.0,0.2631578947368421,0.10526315789473684,0.15789473684210525
NSI,c1cc(-c2ccncc2)ccn1,0.05263157894736842,0.0,0.8947368421052632,0.8947368421052632,0.9473684210526315,1.0,1.0,1.0,0.0,0.0,0.0,0.0
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555,1.0,0.4444444444444444,1.0,0.05555555555555555,0.1111111111111111,0.0,0.0
FER,C1CNCCN1,0.0,0.0,1.0,1.0,0.058823529411764705,1.0,0.17647058823529413,0.9411764705882353,0.47058823529411764,0.0,0.47058823529411764,0.23529411764705882
