zeo,osda,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,5.994060516357422,24.999788284301758,30.99384880065918,1.0,1.0,0.0,,,0.0,,,0.0,0.10430555045604706,0.0,0.10430555045604706,0.005053690169006586,0.0,0.005053690169006586,0.29002339858561754,0.012161660008132458,0.30218505859375,0.21619127690792084,0.0,0.21619127690792084,7.469049453735352,17.330522537231445,24.799571990966797,0.2661914825439453,0.25,0.5161914825439453,6.0209503173828125,160.0,153.9790496826172,1.1167373657226562,120.0,118.88326263427734
AEL,CCCNCCC,24.907375134527683,24.9996337890625,0.09225865453481674,0.03951388597488403,1.0,0.960486114025116,,,0.0,,,0.0,0.000580966065172106,0.0,0.000580966065172106,0.0,0.0,0.0,0.012574095278978348,0.012574095278978348,0.0,0.030970240011811256,0.0,0.030970240011811256,12.18606948852539,17.333595275878906,29.519664764404297,0.08748531341552734,0.25,0.33748531341552734,25.721954345703125,160.0,185.72195434570312,45.000579833984375,120.0,74.99942016601562
CHA,OSDA-free,16.066550254821777,24.999948501586914,8.933398246765137,1.0,1.0,0.0,,,0.0,,,2.136754274368286,0.24888619780540466,0.0,0.24888619780540466,0.41152292490005493,0.0,0.41152292490005493,0.32827188447117805,0.01205788180232048,0.34032976627349854,0.063485287129879,0.0,0.063485287129879,40.5031795501709,17.329206466674805,57.8323860168457,0.25,0.25,0.0,7.3961334228515625,160.0,152.60386657714844,59.55821228027344,120.0,60.44178771972656
MFI,OSDA-free,18.916900634765625,25.0,43.916900634765625,1.0,1.0,0.0,,,0.0,,,30.04460906982422,0.3205014765262604,0.0,0.3205014765262604,0.0,0.0,0.0,0.26818794943392277,0.013017704710364342,0.2812056541442871,0.0,0.0,0.0,19.800678253173828,17.32977294921875,37.13045120239258,0.2421183856204152,0.25,0.00788161437958479,12.3516845703125,160.0,172.3516845703125,68.1205940246582,120.0,51.8794059753418
CHA,CCN(CC)CC,24.78539127111435,24.999876022338867,0.21448475122451782,0.06504511833190918,1.0,0.9349548816680908,,,0.0,,,0.0,0.0009186623501591384,0.0,0.0009186623501591384,0.0,0.0,0.0,0.011659088544547558,0.011659088544547558,0.0,0.016505226492881775,0.0,0.016505226492881775,0.473907470703125,17.332181930541992,17.806089401245117,0.4024279713630676,0.25,0.6524279713630676,23.377059936523438,160.0,183.37705993652344,78.36178970336914,120.0,41.63821029663086
LTA,C[N+](C)(C)C,22.33803105354309,25.0,2.661968946456909,0.7687166631221771,1.0,0.23128333687782288,,,0.0,,,0.0,0.4490281939506531,0.0,0.4490281939506531,0.0,0.0,0.0,0.9528176905587316,0.009258258156478405,0.96207594871521,0.01195652224123478,0.0,0.01195652224123478,47.45453643798828,17.33045196533203,64.78498840332031,1.5926084518432617,0.25,1.8426084518432617,52.17101287841797,160.0,107.82898712158203,36.258209228515625,120.0,156.25820922851562
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.962554931640625,24.999801635742188,25.962356567382812,1.0,1.0,0.0,,,0.0,,,7.783884048461914,0.12365226447582245,0.0,0.12365226447582245,0.0014918949455022812,0.0,0.0014918949455022812,0.26580209843814373,0.012333439663052559,0.2781355381011963,0.0,0.0,0.0,25.189672470092773,17.331193923950195,42.52086639404297,0.048506543040275574,0.25,0.20149345695972443,13.259796142578125,160.0,146.74020385742188,52.18414306640625,120.0,67.81585693359375
CHA,C1COCCN1,24.775899589061737,24.99991798400879,0.224018394947052,0.02497708797454834,1.0,0.9750229120254517,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011074659414589405,0.011074659414589405,0.0,0.05011861026287079,0.0,0.05011861026287079,1.3649826049804688,17.332103729248047,18.697086334228516,0.5658224821090698,0.25,0.8158224821090698,20.230148315429688,160.0,180.2301483154297,16.585052490234375,120.0,103.41494750976562
ATO,CCCNCCC,24.952975526452065,24.99995231628418,0.04697678983211517,0.001799941062927246,1.0,1.0017999410629272,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014467239379882812,0.014467239379882812,0.0,0.02904067002236843,0.0,0.02904067002236843,30.405925750732422,17.334232330322266,47.74015808105469,0.1366766095161438,0.25,0.3866766095161438,31.747955322265625,160.0,191.74795532226562,66.81473541259766,120.0,53.185264587402344
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.327003479003906,24.999675750732422,20.672672271728516,1.0,1.0,0.0,,,9.185290336608887,,,22.299463272094727,0.0,0.0,0.0,0.0,0.0,0.0,0.17211888264864683,0.013386224396526814,0.18550510704517365,0.20021332800388336,0.0,0.20021332800388336,12.105297088623047,17.33148765563965,5.226190567016602,0.009161844849586487,0.25,0.2408381551504135,14.919357299804688,160.0,174.9193572998047,205.16128540039062,120.0,325.1612854003906
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,24.99972152709961,24.99972152709961,0.0,0.1925000548362732,1.0,0.8074999451637268,,,0.3564455807209015,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010673712007701397,0.010673712007701397,0.0,0.15680554509162903,0.0,0.15680554509162903,37.252702713012695,17.33064842224121,54.583351135253906,0.09712962806224823,0.25,0.15287037193775177,15.25,160.0,175.25,65.11032485961914,120.0,54.88967514038086
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,3.3832550048828125,25.0,21.616744995117188,,1.0,,,,,,,,0.6368065476417542,0.0,0.6368065476417542,0.0,0.0,0.0,0.3217463167384267,0.014648380689322948,0.33639469742774963,0.00031306780874729156,0.0,0.00031306780874729156,19.30860710144043,17.330991744995117,36.63959884643555,0.09241180121898651,0.25,0.1575881987810135,5.9259185791015625,160.0,165.92591857910156,151.5555419921875,120.0,271.5555419921875
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,1.008270263671875,24.999826431274414,26.00809669494629,1.0,1.0,0.0,,,8.401630401611328,,,41.14653778076172,0.0,0.0,0.0,0.0,0.0,0.0,0.07028331700712442,0.01400239672511816,0.08428571373224258,0.40281304717063904,0.0,0.40281304717063904,7.057872772216797,17.330486297607422,10.272613525390625,0.006450653076171875,0.25,0.24354934692382812,15.0,160.0,175.0,216.0,120.0,336.0
