zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.961698532104492
AEL,CCCNCCC,2.394097328186035
CHA,OSDA-free,3.0863037109375
MFI,OSDA-free,3.161971092224121
CHA,CCN(CC)CC,1.5675325393676758
LTA,C[N+](C)(C)C,3.4141416549682617
MEL,CCCC[N+](CCCC)(CCCC)CCCC,3.1252803802490234
CHA,C1COCCN1,1.688140869140625
ATO,CCCNCCC,4.079791069030762
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.71950101852417
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,4.7931809425354
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,4.343242645263672
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,4.012417316436768
LEV,C[N+]12CCC(CC1)CC2,3.8436574935913086
AFI,CCCN(CCC)CCC,4.852860450744629
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.631923675537109
MAZ,OSDA-free,3.3588552474975586
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,5.087697505950928
AEN,CC[n+]1ccn(C)c1C,5.368915557861328
FAU,C1COCCOCCOCCOCCOCCO1,3.454038619995117
FAU,CC[N+](CC)(CC)CC,3.9632186889648438
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,5.816711902618408
PHI,OSDA-free,3.5510292053222656
GIS,CCCNCCC,4.636451721191406
LEV,C[N+]1(C)CCCCC1,3.511524200439453
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.484477519989014
FER,C[N+]1(Cc2ccccc2)CCCC1,4.616971015930176
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,4.621733665466309
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,6.132301330566406
SAV,C1CNCCCNCCNCCNC1,1.9972505569458008
AEI,CC[P+](CC)(CC)CC,3.703704833984375
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,4.010703086853027
NSI,c1cc(-c2ccncc2)ccn1,3.067877769470215
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,4.09057092666626
FER,C1CNCCN1,3.489419937133789
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,5.667841911315918
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,3.1843433380126953
MWW,CCCCCCC[N+](C)(C)C,6.863938808441162
MFI,CCN,3.625288486480713
TON,NCCCCCCCCN,3.2369508743286133
AFR,CCC[N+](CCC)(CCC)CCC,3.032803535461426
AST,c1ccncc1,6.0489349365234375
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,4.475958824157715
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,3.1060667037963867
