zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.3921179452540676
AEL,CCCNCCC,0.5627751932381613
CHA,OSDA-free,0.23943638592223182
MFI,OSDA-free,0.19530311243904921
CHA,CCN(CC)CC,0.12252179035803669
LTA,C[N+](C)(C)C,0.47160424644625076
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.48692383120428756
CHA,C1COCCN1,0.2469696341607412
ATO,CCCNCCC,0.780954943280551
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.3554765546113043
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.0653845994211566
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.1949515648751889
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.9929941944601757
LEV,C[N+]12CCC(CC1)CC2,0.31179875475845165
AFI,CCCN(CCC)CCC,1.0720004494825233
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1348735771937113
MAZ,OSDA-free,0.19672263243394145
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.6925668475793301
AEN,CC[n+]1ccn(C)c1C,1.1039816432767229
FAU,C1COCCOCCOCCOCCOCCO1,0.16403272775098676
FAU,CC[N+](CC)(CC)CC,0.15568387710750797
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.1041868847010228
PHI,OSDA-free,0.14841724764007397
GIS,CCCNCCC,0.3256753688670083
LEV,C[N+]1(C)CCCCC1,0.18318766362132588
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.119663415692666
FER,C[N+]1(Cc2ccccc2)CCCC1,0.2329869744279416
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.0972279403492946
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.6899854400180272
SAV,C1CNCCCNCCNCCNC1,0.04563647279456437
AEI,CC[P+](CC)(CC)CC,0.0956326182413568
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.8475849663024219
NSI,c1cc(-c2ccncc2)ccn1,0.3885432016541951
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.0178746461920767
FER,C1CNCCN1,0.15359102537910085
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.6285919695203002
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.3418310618823147
MWW,CCCCCCC[N+](C)(C)C,1.0710186030785325
MFI,CCN,0.41480130103530244
TON,NCCCCCCCCN,0.39092964550243126
AFR,CCC[N+](CCC)(CCC)CCC,0.6873626141411044
AST,c1ccncc1,1.0728470771526473
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.12863234842045368
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.6394636502399432
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.6429647214962065
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.009404524562570302
STF,CCC1CCCC[N+]12CCCCC2,1.0474060858018088
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.2855883827230969
CHA,CC(C)NC(C)C,0.32923547040501916
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.42646107997409377
ITE,NCCNCCNCCNCCNCCN,0.1633089859642246
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.7358944894739619
UFI,CC[N+](CC)(CC)CC,0.35840973389167263
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.6727139858099566
CLO,C1CN2CCC1CC2,1.229318615977697
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.5178245579777911
AFI,[CH]1C=CC=C1,1.01362104849765
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.16269119626504852
LAU,c1c[nH]cn1,1.005270875565809
LEV,CC[N+](C)(C)CC,0.2257934520368584
OFF,C[N+](C)(C)Cc1ccccc1,0.10505222702701396
FER,NCCCCN,0.1481830023664077
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.24896691064461016
STI,CC[N+](CC)(CC)CC,1.1933563312315638
