zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,3.7242183685302734
AEL,CCCNCCC,4.4508209228515625
CHA,OSDA-free,4.15255880355835
MFI,OSDA-free,4.156374454498291
CHA,CCN(CC)CC,4.859087944030762
LTA,C[N+](C)(C)C,4.1337103843688965
MEL,CCCC[N+](CCCC)(CCCC)CCCC,3.688889503479004
CHA,C1COCCN1,4.453399658203125
ATO,CCCNCCC,5.180708885192871
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.712835311889648
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,5.122018814086914
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,5.0862321853637695
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,4.111368179321289
LEV,C[N+]12CCC(CC1)CC2,4.953967094421387
AFI,CCCN(CCC)CCC,5.275494575500488
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.597014427185059
MAZ,OSDA-free,4.422891139984131
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,5.026851654052734
AEN,CC[n+]1ccn(C)c1C,5.7996416091918945
FAU,C1COCCOCCOCCOCCOCCO1,4.715966701507568
FAU,CC[N+](CC)(CC)CC,5.190415859222412
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,5.743093490600586
PHI,OSDA-free,4.819121360778809
GIS,CCCNCCC,5.665402889251709
LEV,C[N+]1(C)CCCCC1,4.496516704559326
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.585968971252441
FER,C[N+]1(Cc2ccccc2)CCCC1,5.68670654296875
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,4.730327129364014
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,6.003608703613281
SAV,C1CNCCCNCCNCCNC1,4.604134559631348
AEI,CC[P+](CC)(CC)CC,5.031597137451172
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,3.973602771759033
NSI,c1cc(-c2ccncc2)ccn1,3.884443759918213
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,4.063589096069336
FER,C1CNCCN1,4.614588260650635
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,5.5042524337768555
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,4.023685455322266
MWW,CCCCCCC[N+](C)(C)C,6.786411285400391
MFI,CCN,2.982010841369629
TON,NCCCCCCCCN,3.9127182960510254
AFR,CCC[N+](CCC)(CCC)CCC,4.913486003875732
AST,c1ccncc1,6.492738246917725
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,5.710846424102783
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,3.598097324371338
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,4.0449934005737305
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,5.737157344818115
STF,CCC1CCCC[N+]12CCCCC2,4.758020401000977
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,3.942253589630127
CHA,CC(C)NC(C)C,5.16044807434082
MFI,CCCN(CCC)CCCCCN(CCC)CCC,2.9606828689575195
ITE,NCCNCCNCCNCCNCCN,6.1594014167785645
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,4.7799906730651855
UFI,CC[N+](CC)(CC)CC,6.4054131507873535
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,5.372790813446045
CLO,C1CN2CCC1CC2,6.344244480133057
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,3.5692644119262695
AFI,[CH]1C=CC=C1,7.217984676361084
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,4.807038307189941
LAU,c1c[nH]cn1,5.260315895080566
LEV,CC[N+](C)(C)CC,4.248912811279297
OFF,C[N+](C)(C)Cc1ccccc1,4.649134635925293
FER,NCCCCN,5.134316444396973
DDR,C[N+]1(C)C2CCC1CC(O)C2,3.1491527557373047
STI,CC[N+](CC)(CC)CC,6.5698347091674805
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,5.077598571777344
STF,CC1(C)C2CCC[N+](C)(C)C1C2,3.718505859375
MTN,C1CCNC1,3.2017602920532227
AFI,CCN(C(C)C)C(C)C,6.789662837982178
AEN,CC[N+](CC)(CC)CC,5.467125415802002
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,4.426026821136475
AST,CC(C)[N+](C)(C)C,4.998440265655518
MTW,C1CN2CCN1CC2,3.3001108169555664
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,4.250955104827881
MTW,C1CCC[N+]2(CC1)CCCCC2,4.199479579925537
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,6.560585021972656
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,5.389647960662842
MFI,C1CCNC1,2.6308069229125977
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,5.334784030914307
NON,CC1CCCN1,7.40810489654541
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,6.5978102684021
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,4.24361515045166
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,3.1183013916015625
BEC,CC[N+](CC)(CC)Cc1ccccc1,4.274214267730713
CHA,CN(CCO)CCO,5.580608367919922
FAU,Cc1cccc(C)[n+]1C,5.136272430419922
NON,CC1CCCCN1,6.814526557922363
CHA,CN1CCNCC1,6.337454795837402
ERI,C[N+]1(C)CCCCC1,5.970012187957764
AFI,C1CCCNCC1,4.32418155670166
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,4.633324146270752
ITE,C[N+]1(C)CCCCC2CCCCC21,4.085272789001465
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,4.1905717849731445
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,3.504836082458496
AVE,C1CC[N+]2(CC1)CCCC2,4.977457046508789
MWW,CCCCCC[N+](C)(C)C,6.820740222930908
STW,CCc1n(C)cc(C)[n+]1C,6.1748528480529785
FER,CCCCN,3.857326030731201
TON,CC(N)CN,1.659902572631836
ETL,C[N+](C)(C)CCO,5.345104217529297
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,4.550581455230713
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.8088250160217285
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,4.06008243560791
MEI,CN(CCO)CCO,6.318379878997803
AEL,CCNCC,4.94223690032959
CHA,NCCNCCN,4.08273458480835
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,4.799981594085693
AEL,CCCCNCCCC,4.494077682495117
MFI,CCCNCCC,1.6153688430786133
GIS,C[N+](C)(C)C,4.035373687744141
FER,NC1CCCCC1,5.12240743637085
SOD,C1CCC2(C1)CCC[NH2+]2,4.946085453033447
DOH,CC1CNCCN1,7.076452732086182
TON,CCC(C)N,2.504171371459961
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,4.574665069580078
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,5.217431545257568
AFI,Fc1cccc(CN2CCCC2)c1,4.512110710144043
AFI,CN1C2CCC1CC(O)C2,6.191792964935303
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,3.206080913543701
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,5.820648670196533
AWO,CNC,5.942020893096924
JST,NCCN,5.117398262023926
MFI,CN(C)CC(C)(C)CN(C)C,6.084544658660889
STF,CC[N+]1(C)C2CCCC1CCC2,3.2369260787963867
PWN,C[N+]12CC[N+](C)(CC1)CC2,6.307164669036865
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,4.685518741607666
AEN,C[N+](C)(C)C,7.351215839385986
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,6.004906177520752
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,6.491343975067139
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,4.726422309875488
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,2.7890777587890625
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,3.403365135192871
MOR,CN(C)CCCN(C)C,6.071208477020264
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,6.055688858032227
CGS,C1CN2CCC1CC2,6.309180736541748
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,3.511427402496338
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,6.354567527770996
LAU,Cn1ccnc1,4.764516353607178
EMT,CC[N+](CC)(CC)CC,4.093827724456787
TON,CCn1cc[n+](CC)c1,5.123411655426025
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,6.01472806930542
SAV,C1CNCCNCCCNCCNC1,4.412978172302246
DDR,C1CN2CCC1CC2,6.365359783172607
BEA,C[N+](C)(C)Cc1ccccc1,5.306533336639404
MEL,CCCN,4.9631500244140625
MTW,N[C@H]1CC[C@H](N)CC1,2.2893505096435547
ATS,CCCNCCC,6.645108699798584
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,5.293694972991943
AFI,C1CN2CCN1CC2,4.315821170806885
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,5.667042255401611
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,3.1237759590148926
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,6.191000938415527
MTW,NCC1CCNCC1,1.983698844909668
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,6.16718053817749
FER,Cn1cc[n+](C)c1,4.6000590324401855
AEL,CCN1C=CN(C)C1C(=O)[O-],5.734767913818359
AEN,OSDA-free,5.4990153312683105
MTW,C[N+]1(C2CCCCC2)CCCC1,4.150016784667969
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,6.326790809631348
GIS,NCCN,5.461678504943848
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,4.606879234313965
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,2.6173095703125
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,5.820775508880615
BEA,CCC[N+]1(C)CCCC1,6.220556735992432
LTJ,OSDA-free,6.26614236831665
MFI,CN(C)CCCCCCN(C)C,3.731536865234375
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,2.3730897903442383
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,3.4372406005859375
