zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9239563941955566
AEL,CCCNCCC,0.8530893325805664
CHA,OSDA-free,1.0894899368286133
MFI,OSDA-free,1.3292694091796875
CHA,CCN(CC)CC,1.558079719543457
LTA,C[N+](C)(C)C,0.8614459037780762
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.6828203201293945
CHA,C1COCCN1,1.0469622611999512
ATO,CCCNCCC,1.2711224555969238
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9870071411132812
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.3964056968688965
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.6273746490478516
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.6129984855651855
LEV,C[N+]12CCC(CC1)CC2,1.9886045455932617
AFI,CCCN(CCC)CCC,1.157966136932373
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9669814109802246
MAZ,OSDA-free,1.420177936553955
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.1559653282165527
AEN,CC[n+]1ccn(C)c1C,1.282548427581787
FAU,C1COCCOCCOCCOCCOCCO1,1.7788071632385254
FAU,CC[N+](CC)(CC)CC,2.227875232696533
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.2178773880004883
PHI,OSDA-free,1.789994716644287
GIS,CCCNCCC,2.3629708290100098
LEV,C[N+]1(C)CCCCC1,1.6852545738220215
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1216421127319336
FER,C[N+]1(Cc2ccccc2)CCCC1,2.724370002746582
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.2710185050964355
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,3.1206703186035156
SAV,C1CNCCCNCCNCCNC1,1.5757312774658203
AEI,CC[P+](CC)(CC)CC,2.2589311599731445
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.4998431205749512
NSI,c1cc(-c2ccncc2)ccn1,1.3383855819702148
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.7234516143798828
FER,C1CNCCN1,2.2207698822021484
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,2.4828295707702637
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.5505781173706055
MWW,CCCCCCC[N+](C)(C)C,3.4119505882263184
MFI,CCN,1.0590229034423828
TON,NCCCCCCCCN,1.3823089599609375
AFR,CCC[N+](CCC)(CCC)CCC,1.206009864807129
AST,c1ccncc1,2.2119035720825195
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,2.8394689559936523
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.6521306037902832
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.054429054260254
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.845057964324951
STF,CCC1CCCC[N+]12CCCCC2,1.3292546272277832
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,1.490755558013916
CHA,CC(C)NC(C)C,1.9449005126953125
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.906639575958252
ITE,NCCNCCNCCNCCNCCN,3.2300825119018555
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.9242830276489258
UFI,CC[N+](CC)(CC)CC,3.507005214691162
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,2.46169376373291
CLO,C1CN2CCC1CC2,1.993699550628662
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.7611126899719238
AFI,[CH]1C=CC=C1,3.031707763671875
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.9509520530700684
LAU,c1c[nH]cn1,1.1087093353271484
LEV,CC[N+](C)(C)CC,0.9929332733154297
OFF,C[N+](C)(C)Cc1ccccc1,3.1821236610412598
FER,NCCCCN,2.6126551628112793
DDR,C[N+]1(C)C2CCC1CC(O)C2,1.1486244201660156
STI,CC[N+](CC)(CC)CC,3.1863789558410645
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.5931148529052734
STF,CC1(C)C2CCC[N+](C)(C)C1C2,1.1750798225402832
MTN,C1CCNC1,2.933073043823242
AFI,CCN(C(C)C)C(C)C,2.524502754211426
AEN,CC[N+](CC)(CC)CC,1.2834458351135254
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,2.01627254486084
AST,CC(C)[N+](C)(C)C,1.719003677368164
MTW,C1CN2CCN1CC2,2.8521275520324707
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.5960993766784668
MTW,C1CCC[N+]2(CC1)CCCCC2,1.539022445678711
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,2.807880401611328
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,2.793964385986328
MFI,C1CCNC1,1.2388091087341309
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,2.3859195709228516
NON,CC1CCCN1,3.1208748817443848
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,3.0481653213500977
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,2.299361228942871
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.4391498565673828
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.7251996994018555
CHA,CN(CCO)CCO,2.4709057807922363
FAU,Cc1cccc(C)[n+]1C,2.2234816551208496
NON,CC1CCCCN1,2.464142322540283
CHA,CN1CCNCC1,2.0282373428344727
ERI,C[N+]1(C)CCCCC1,3.164783477783203
AFI,C1CCCNCC1,1.2179465293884277
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.3144645690917969
ITE,C[N+]1(C)CCCCC2CCCCC21,2.089779853820801
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,1.3080658912658691
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.9471468925476074
AVE,C1CC[N+]2(CC1)CCCC2,1.5353913307189941
MWW,CCCCCC[N+](C)(C)C,3.425001621246338
STW,CCc1n(C)cc(C)[n+]1C,3.480708122253418
FER,CCCCN,0.6759147644042969
TON,CC(N)CN,3.334563732147217
ETL,C[N+](C)(C)CCO,2.7443337440490723
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.7700839042663574
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.371795654296875
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.9917192459106445
MEI,CN(CCO)CCO,3.3075952529907227
AEL,CCNCC,1.9114680290222168
CHA,NCCNCCN,0.7376422882080078
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.4558954238891602
AEL,CCCCNCCCC,0.6387205123901367
MFI,CCCNCCC,1.9330453872680664
GIS,C[N+](C)(C)C,0.573549747467041
FER,NC1CCCCC1,2.659299850463867
SOD,C1CCC2(C1)CCC[NH2+]2,1.471287727355957
DOH,CC1CNCCN1,3.0027551651000977
TON,CCC(C)N,2.9948935508728027
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.1120853424072266
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,2.201241970062256
AFI,Fc1cccc(CN2CCCC2)c1,1.57647705078125
AFI,CN1C2CCC1CC(O)C2,1.9767389297485352
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.6383333206176758
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,2.271045207977295
AWO,CNC,1.340909481048584
JST,NCCN,1.2039804458618164
MFI,CN(C)CC(C)(C)CN(C)C,3.233421802520752
STF,CC[N+]1(C)C2CCCC1CCC2,0.9710054397583008
PWN,C[N+]12CC[N+](C)(CC1)CC2,3.492609977722168
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,1.847905158996582
AEN,C[N+](C)(C)C,2.84738826751709
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,3.0389719009399414
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,3.454214572906494
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,1.9233264923095703
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,1.3564786911010742
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,1.2553415298461914
MOR,CN(C)CCCN(C)C,3.156907558441162
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,2.714725971221924
CGS,C1CN2CCC1CC2,3.703746795654297
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,1.0502524375915527
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,3.4381885528564453
LAU,Cn1ccnc1,1.7026891708374023
EMT,CC[N+](CC)(CC)CC,0.6551251411437988
TON,CCn1cc[n+](CC)c1,2.6740503311157227
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,2.6743855476379395
SAV,C1CNCCNCCCNCCNC1,0.8423480987548828
DDR,C1CN2CCC1CC2,2.6312255859375
BEA,C[N+](C)(C)Cc1ccccc1,3.1474928855895996
MEL,CCCN,1.8615894317626953
MTW,N[C@H]1CC[C@H](N)CC1,2.9826765060424805
ATS,CCCNCCC,2.6679983139038086
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,2.5763983726501465
AFI,C1CN2CCN1CC2,1.1774182319641113
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,2.8610267639160156
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.057671546936035156
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,3.390076160430908
MTW,NCC1CCNCC1,1.2535581588745117
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,3.181692600250244
FER,Cn1cc[n+](C)c1,1.942187786102295
AEL,CCN1C=CN(C)C1C(=O)[O-],1.425191879272461
AEN,OSDA-free,1.1329522132873535
MTW,C[N+]1(C2CCCCC2)CCCC1,0.8355975151062012
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,3.5875144004821777
GIS,NCCN,1.0361709594726562
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,1.7733736038208008
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,0.6533694267272949
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,3.122157573699951
BEA,CCC[N+]1(C)CCCC1,3.666802406311035
LTJ,OSDA-free,2.412202835083008
MFI,CN(C)CCCCCCN(C)C,0.768129825592041
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.3741745948791504
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,0.30162620544433594
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,3.023759365081787
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,2.9471592903137207
BEC,C[N+]12CCN(CC1)CC2,3.6482901573181152
MFI,CCCC[N+]1(C)CCCC1,2.3493661880493164
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,1.4386467933654785
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,1.1953973770141602
RTH,CN1CCCCC1,0.9148149490356445
ASV,CC[P+](CC)(c1ccccc1)c1ccccc1,0.10422468185424805
RWY,NCCN(CCN)CCN,3.9006247520446777
MFI,CCCCC[N+]12CCC(CC1)CC2,3.055525302886963
NON,C[N+](C)(C)C1CCCC1,0.8639640808105469
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,2.4739418029785156
MOR,C1CCC[N+]2(CC1)CCCCC2,2.7005934715270996
ANA,C[N+](C)(C)CCCC[N+](C)(C)C,0.9814906120300293
NON,CC1CC[N+](C)(C)CC1,3.4664316177368164
LEV,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,3.1169633865356445
ANA,CCCC[N+](CCCC)(CCCC)CCCC,0.6191520690917969
TON,CCC(N)CCCN,1.111332893371582
MOR,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,2.152409076690674
LEV,CC1CCCCC1N,1.5086288452148438
MFI,C1CCNCC1,3.38006591796875
MTT,CC(C)CNCCCCCCCNCC(C)C,-0.12535333633422852
MFI,CCCCO,3.1594653129577637
MFI,CC(C)N(C(C)C)C(C)C,3.302478790283203
MEL,NCCCCCCCN,1.552605152130127
MTT,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,2.465092658996582
IWV,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,2.2378830909729004
MEL,CCCC[N+]1(C)CC[N+](CCC)(CCC)CC1,3.392941474914551
MEL,CCCCCCCCN,3.2972326278686523
MFI,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,1.3985962867736816
MOR,C[N+]1(CCCC[N+]2(C)CCCC2)CCCC1,0.6728782653808594
MTW,CC1CC(C)C[N+](C)(C)C1,3.3621206283569336
MRE,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C,2.599371910095215
MTW,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)Cc1ccc([N+](C)(C)CCCCCC[N+](C)(C)Cc2ccc([N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCCCCC)cc2)cc1,3.4904112815856934
MOR,CCC[N+](C)(C)CCC,3.386460304260254
MOR,CC(C)CN(CCCCCN(CC(C)C)CC(C)C)CC(C)C,2.547943592071533
FAU,C1CCC2(C1)CCC[NH2+]2,2.508871078491211
IRR,Cc1ccc(Cn2cc[n+](C)c2)cc1,3.283997058868408
CON,CC[N+]1(CC)CCCC(C)(C)C1,3.270512104034424
PHI,C[N+](C)(C)CCO,1.8824472427368164
AST,C[N+](C)(C)C,0.24367237091064453
STF,CC[N+]1(CC)C[C@H](C)CC[C@@H]1C,1.0778579711914062
IFU,c1ccc2c(c1)C[N+](C1CCCCC1)(C1CCCCC1)C2,3.1125760078430176
SAV,CN1CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1,3.5481619834899902
MRE,CCCCCCCCC[N+](C)(C)C,0.46660375595092773
AWW,C1N2CN3CN1CN(C2)C3,2.6663718223571777
SFH,C[N+](C)(C)CC1(c2ccc(F)cc2)CCCC1,0.002498626708984375
BEA,C(CCC[N+]12CCN(CC1)CC2)CC[N+]12CCN(CC1)CC2,2.087913990020752
BEA,C(CC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,3.14424991607666
BEA,C1CC[N+]2(CC1)CCCC2,3.4936470985412598
BEA,CC(C)Cn1cc[n+](CC(C)C)c1,0.4348130226135254
BEA,C[N+]1(CC2CCCCC2)CCC(CCCC2CC[N+](C)(CC3CCCCC3)CC2)CC1,3.1503348350524902
BEA,c1ccc(C[N+]23CCN(CC2)CC3)cc1,4.098659038543701
SFW,CC[N+]1(C2CC(C)CC(C)(C)C2)CCCC1,3.331766128540039
CHA,C1CCCNCC1,3.564054489135742
BEC,c1ccc(C[N+]23CCC(CC2)CC3)cc1,2.059246063232422
BPH,CC[N+](C)(C)C,0.386136531829834
IFR,C1CC[N+]23CCCCC2(C1)CCCC3,3.002553939819336
FER,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,3.06411075592041
FER,C[N+](C)(C)CCC[N+](C)(C)C,0.4146232604980469
FER,CCCCCCCCCCCCCCCC[N+](C)(C)C,-0.036192893981933594
MTW,c1c[n+]2cn1CCCCCCn1cc[n+](c1)CCCCCC2,3.399080276489258
FAU,C[N+]1(C)CCCCC1,1.71962308883667
FAU,C[N+](C)(CCO)CCO,0.23122835159301758
AFI,C1COCCOCCOCCOCCOCCO1,2.410130500793457
ERI,CC[N+](C)(C)CCCC[N+](C)(C)CC,2.391685962677002
