zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.975,0.915,0.925,0.96,0.945,0.92,0.985,0.99,0.995,0.965,0.865,0.93
AEL,CCCNCCC,0.775,0.97,0.935,0.975,0.91,0.905,0.91,0.955,0.985,0.76,0.715,0.95
CHA,OSDA-free,0.945,0.915,0.94,0.96,0.99,0.575,0.99,0.95,0.985,0.995,0.21,0.915
MFI,OSDA-free,0.945,0.875,0.93,0.965,0.41,0.525,0.98,0.97,1.0,1.0,0.185,0.925
CHA,CCN(CC)CC,0.93,0.995,0.91,0.985,0.91,0.86,0.775,0.945,0.99,0.74,0.68,0.935
LTA,C[N+](C)(C)C,0.95,0.95,0.915,0.945,0.995,0.905,0.91,0.95,0.94,0.72,0.91,0.95
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.89,0.94,0.95,0.965,0.85,0.845,0.785,0.94,0.945,0.89,0.26,0.88
CHA,C1COCCN1,0.895,0.61,0.945,0.955,0.905,0.905,0.825,0.975,0.985,0.775,0.815,0.925
ATO,CCCNCCC,0.82,0.72,0.96,0.97,0.875,0.935,0.875,0.905,0.87,0.655,0.26,0.16
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.56,0.97,0.15,0.535,0.97,0.945,0.965,0.305,0.985,0.255,0.085,0.075
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.755,0.95,0.975,0.935,0.955,0.975,0.965,0.325,0.04,0.275,0.21,0.605
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.34,0.24,0.37,0.315,0.86,0.89,0.86,0.825,0.08,0.14,0.155,0.2
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.67,0.975,0.12,0.56,0.96,0.965,0.97,0.26,0.985,0.165,0.06,0.05
LEV,C[N+]12CCC(CC1)CC2,0.075,0.885,0.475,0.38,0.915,0.9,0.865,0.905,0.275,0.215,0.27,0.13
AFI,CCCN(CCC)CCC,0.965,0.84,0.99,0.995,0.98,0.895,0.985,0.92,0.43,0.78,0.5,0.96
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.605,0.975,0.215,0.565,0.965,0.93,0.975,0.35,0.97,0.175,0.1,0.49
MAZ,OSDA-free,0.09,0.92,0.625,0.65,0.4,0.565,0.24,0.955,0.65,1.0,0.07,0.915
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.845,0.915,0.925,0.985,0.875,0.94,0.85,0.855,0.235,0.665,0.09,0.18
AEN,CC[n+]1ccn(C)c1C,0.78,0.015,0.76,0.785,0.85,0.895,0.885,0.93,0.76,0.43,0.255,0.815
FAU,C1COCCOCCOCCOCCOCCO1,0.05,0.88,0.595,0.595,0.07,0.96,0.405,0.95,0.295,0.965,0.0,0.135
FAU,CC[N+](CC)(CC)CC,0.035,0.875,0.575,0.6,0.095,0.93,0.145,0.94,0.19,0.03,0.01,0.07
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.565,0.935,0.025,0.485,0.965,0.94,0.97,0.25,0.98,0.26,0.09,0.135
PHI,OSDA-free,0.07,0.915,0.6,0.6,0.14,0.495,0.12,0.925,0.26,1.0,0.02,0.235
GIS,CCCNCCC,0.875,0.02,0.945,0.975,0.915,0.925,0.825,0.92,0.085,0.27,0.14,0.155
LEV,C[N+]1(C)CCCCC1,0.1,0.88,0.425,0.405,0.96,0.89,0.91,0.905,0.89,0.72,0.24,0.8
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.65,0.97,0.01,0.46,0.925,0.94,0.965,0.245,0.97,0.135,0.08,0.095
FER,C[N+]1(Cc2ccccc2)CCCC1,0.54,0.905,0.925,0.965,0.76,0.93,0.645,0.88,0.635,0.765,0.185,0.025
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.615,0.97,0.01,0.485,0.98,0.94,0.02,0.24,0.07,0.125,0.04,0.015
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.625,0.925,0.125,0.55,0.95,0.97,0.975,0.04,0.975,0.12,0.16,0.15
SAV,C1CNCCCNCCNCCNC1,0.92,0.425,0.455,0.43,0.865,0.885,0.855,0.935,0.04,0.04,0.01,0.01
AEI,CC[P+](CC)(CC)CC,0.015,0.325,0.365,0.42,0.89,0.905,0.855,0.935,0.78,0.215,0.105,0.025
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.975,0.8,0.995,1.0,0.985,0.96,0.97,0.96,0.905,0.75,0.24,0.12
NSI,c1cc(-c2ccncc2)ccn1,0.935,0.895,0.95,0.99,0.88,0.91,0.91,0.88,0.72,0.48,0.045,0.095
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.82,0.93,0.96,0.385,0.845,0.91,0.7,0.745,0.32,0.75,0.595,0.69
FER,C1CNCCN1,0.055,0.28,0.185,0.2,0.93,0.91,0.915,0.92,0.25,0.105,0.14,0.09
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.465,0.815,0.67,0.6,0.715,0.97,0.17,0.945,0.02,0.905,0.03,0.11
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.655,0.98,0.175,0.535,0.955,0.925,0.99,0.225,0.095,0.65,0.32,0.535
MWW,CCCCCCC[N+](C)(C)C,0.19,0.73,0.34,0.005,0.84,0.905,0.815,0.86,0.065,0.11,0.015,0.045
MFI,CCN,0.545,0.925,0.64,0.565,0.845,0.86,0.56,0.91,0.1,0.04,0.105,0.125
TON,NCCCCCCCCN,0.9,0.875,0.925,0.97,0.825,0.905,0.92,0.915,0.675,0.435,0.17,0.155
AFR,CCC[N+](CCC)(CCC)CCC,0.54,0.7,0.92,0.94,0.82,0.92,0.745,0.895,0.23,0.575,0.18,0.125
AST,c1ccncc1,0.565,0.025,0.955,0.83,0.995,0.96,0.97,0.305,0.955,0.61,0.275,0.6
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.015,0.39,0.44,0.365,0.01,0.93,0.09,0.95,0.065,0.36,0.025,0.06
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.79,0.925,0.925,0.955,0.82,0.955,0.825,0.85,0.285,0.88,0.065,0.22
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.775,0.965,0.125,0.44,0.95,0.935,0.95,0.2,0.96,0.545,0.09,0.125
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.26,0.005,0.695,0.565,0.715,0.94,0.455,0.975,0.065,0.04,0.015,0.17
STF,CCC1CCCC[N+]12CCCCC2,0.35,0.935,0.02,0.44,0.685,0.945,0.085,0.845,0.09,0.015,0.045,0.22
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.6,0.965,0.135,0.54,0.96,0.91,0.99,0.23,0.965,0.255,0.175,0.185
CHA,CC(C)NC(C)C,0.895,0.005,0.45,0.505,0.895,0.895,0.885,0.93,0.835,0.25,0.01,0.655
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.51,0.9,0.59,0.545,0.04,0.885,0.08,0.935,0.07,0.05,0.055,0.035
ITE,NCCNCCNCCNCCNCCN,0.03,0.275,0.53,0.395,0.01,0.92,0.02,0.82,0.11,0.09,0.01,0.01
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.805,0.94,0.97,0.955,0.975,0.95,0.96,0.3,0.985,0.45,0.625,0.395
UFI,CC[N+](CC)(CC)CC,0.01,0.235,0.27,0.265,0.85,0.915,0.0,0.865,0.05,0.01,0.105,0.19
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.25,0.665,0.515,0.43,0.735,0.91,0.66,0.885,0.24,0.845,0.16,0.155
CLO,C1CN2CCC1CC2,0.335,0.905,0.96,0.695,0.92,0.815,0.95,0.045,0.015,0.005,0.14,0.17
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.29,0.925,0.575,0.455,0.825,0.905,0.74,0.88,0.8,0.835,0.085,0.16
AFI,[CH]1C=CC=C1,0.975,0.04,0.98,0.99,0.97,0.955,0.97,0.915,0.015,0.63,0.08,0.035
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.01,0.21,0.645,0.57,0.765,0.915,0.045,0.92,0.105,0.06,0.08,0.045
LAU,c1c[nH]cn1,0.875,0.615,0.95,0.97,0.86,0.935,0.88,0.875,0.54,0.03,0.155,0.055
LEV,CC[N+](C)(C)CC,0.9,0.375,0.97,0.96,0.89,0.89,0.845,0.955,0.85,0.18,0.165,0.11
OFF,C[N+](C)(C)Cc1ccccc1,0.015,0.34,0.375,0.39,0.915,0.91,0.03,0.94,0.17,0.065,0.005,0.1
FER,NCCCCN,0.02,0.235,0.155,0.18,0.005,0.92,0.935,0.895,0.05,0.185,0.075,0.015
