zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.0272883865197386
AEL,CCCNCCC,0.6430477043804951
CHA,OSDA-free,0.9544228604027423
MFI,OSDA-free,1.053436475322231
CHA,CCN(CC)CC,0.7557888724113317
LTA,C[N+](C)(C)C,0.8997834419845399
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.7830295488211307
CHA,C1COCCN1,0.6503226131888588
ATO,CCCNCCC,0.6074782967869637
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7750975751625702
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.0471122395034762
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.4263693714069872
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.6826579739680113
LEV,C[N+]12CCC(CC1)CC2,0.9910593457372715
AFI,CCCN(CCC)CCC,0.3409541116485451
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6899890031564928
MAZ,OSDA-free,1.068353167626371
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.293454602150517
AEN,CC[n+]1ccn(C)c1C,0.5579819455485069
FAU,C1COCCOCCOCCOCCOCCO1,1.0187403669874886
FAU,CC[N+](CC)(CC)CC,1.0581452887783307
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.1066079912198772
PHI,OSDA-free,1.1406972270415485
GIS,CCCNCCC,0.9957114228745645
LEV,C[N+]1(C)CCCCC1,1.1820556315838016
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9917679862293469
FER,C[N+]1(Cc2ccccc2)CCCC1,1.3070161003893421
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.005004456464595
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,1.243125309220631
SAV,C1CNCCCNCCNCCNC1,1.0140722854359663
AEI,CC[P+](CC)(CC)CC,1.1681109174184543
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.3501134877435446
NSI,c1cc(-c2ccncc2)ccn1,1.328088751265684
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.0088972414776256
FER,C1CNCCN1,1.4663160866926512
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.1326874313581046
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.5414693879576131
MWW,CCCCCCC[N+](C)(C)C,1.3196135076948114
MFI,CCN,1.106973203912644
TON,NCCCCCCCCN,1.3044416811777777
AFR,CCC[N+](CCC)(CCC)CCC,0.7766767565445705
AST,c1ccncc1,0.7275287685294889
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,1.1674300600874508
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.9167791169660051
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.0948942569196718
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.402238654176693
STF,CCC1CCCC[N+]12CCCCC2,1.0393985907732755
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,1.5329024688491053
CHA,CC(C)NC(C)C,1.071226900315875
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.9938896625054655
ITE,NCCNCCNCCNCCNCCN,1.3563996646094727
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.2695547703965504
UFI,CC[N+](CC)(CC)CC,1.6886917783414543
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.4218059391671005
CLO,C1CN2CCC1CC2,0.8145122779107811
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,1.0052517375208445
AFI,[CH]1C=CC=C1,0.43982267051941176
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.274383557612576
LAU,c1c[nH]cn1,0.7140506236498878
LEV,CC[N+](C)(C)CC,0.7067313233759928
OFF,C[N+](C)(C)Cc1ccccc1,1.1922297271603761
FER,NCCCCN,1.5844373024755003
DDR,C[N+]1(C)C2CCC1CC(O)C2,1.120451761007391
STI,CC[N+](CC)(CC)CC,1.4566197182925957
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.2640506474296478
STF,CC1(C)C2CCC[N+](C)(C)C1C2,1.0152019671529005
MTN,C1CCNC1,2.6896293104064255
AFI,CCN(C(C)C)C(C)C,0.38559034887527277
AEN,CC[N+](CC)(CC)CC,0.6635566030615812
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.695137197054593
AST,CC(C)[N+](C)(C)C,1.0011049608992368
MTW,C1CN2CCN1CC2,1.5953612834266944
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.6629343681313432
MTW,C1CCC[N+]2(CC1)CCCCC2,1.1419988631966254
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.8988119689786656
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.4790682163424882
MFI,C1CCNC1,1.2056801268275668
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,1.321683483453282
NON,CC1CCCN1,1.153239772697132
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.1788342180857234
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,2.027493962744681
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.9085361008013567
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.8261900107898781
CHA,CN(CCO)CCO,0.9765805227448262
FAU,Cc1cccc(C)[n+]1C,1.1505604707605233
NON,CC1CCCCN1,1.1026478569467593
CHA,CN1CCNCC1,0.8623681779227461
ERI,C[N+]1(C)CCCCC1,1.2325995429156607
AFI,C1CCCNCC1,0.883967860783145
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.1155020568473382
ITE,C[N+]1(C)CCCCC2CCCCC21,1.4011400994227905
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,1.1190842149202807
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,1.0214159857973901
AVE,C1CC[N+]2(CC1)CCCC2,1.0791332152873867
MWW,CCCCCC[N+](C)(C)C,1.2634025903339694
STW,CCc1n(C)cc(C)[n+]1C,1.6041049547096073
FER,CCCCN,1.3873977116965794
TON,CC(N)CN,1.9948251116960631
ETL,C[N+](C)(C)CCO,1.517626159583084
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.7695086252659051
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.129446617844315
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,1.1305569481811184
MEI,CN(CCO)CCO,1.0475571747313956
AEL,CCNCC,1.0856612086273918
CHA,NCCNCCN,0.7884232315883791
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.1510965907798987
AEL,CCCCNCCCC,0.6353907482756742
MFI,CCCNCCC,1.337716115856554
GIS,C[N+](C)(C)C,0.8403253302669389
FER,NC1CCCCC1,1.5540004727523427
SOD,C1CCC2(C1)CCC[NH2+]2,1.5663090297025812
DOH,CC1CNCCN1,1.6224048007632759
TON,CCC(C)N,1.932316605578332
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.1078411501412682
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.3817192203536806
AFI,Fc1cccc(CN2CCCC2)c1,0.9434916072696771
AFI,CN1C2CCC1CC(O)C2,0.4318887678227324
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,1.0960356216674056
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,1.2148137792116733
AWO,CNC,0.6208933797534217
JST,NCCN,1.398448197860385
MFI,CN(C)CC(C)(C)CN(C)C,1.3982048424382858
STF,CC[N+]1(C)C2CCCC1CCC2,1.0959726862102892
PWN,C[N+]12CC[N+](C)(CC1)CC2,1.418173617003744
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,1.3147834969886198
AEN,C[N+](C)(C)C,0.6594562116595225
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,1.272777121304404
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,1.5339688672980938
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,1.2417146742232372
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,1.323682558155593
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,1.152850133535491
MOR,CN(C)CCCN(C)C,1.3053158634396855
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,1.3400980715969641
CGS,C1CN2CCC1CC2,1.5192433432964636
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,1.6119428289351339
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,1.4416100683061557
LAU,Cn1ccnc1,1.3660414192735515
EMT,CC[N+](CC)(CC)CC,1.1688397025578712
TON,CCn1cc[n+](CC)c1,1.7374847960030118
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,1.3864808733599872
SAV,C1CNCCNCCCNCCNC1,0.9147931217138596
DDR,C1CN2CCC1CC2,0.9142905493881386
BEA,C[N+](C)(C)Cc1ccccc1,1.9716360844948992
MEL,CCCN,1.1689078919052482
MTW,N[C@H]1CC[C@H](N)CC1,1.473124928946485
ATS,CCCNCCC,1.1004616952785855
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.4939488997066572
AFI,C1CN2CCN1CC2,1.294295342299904
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,1.3443368834516631
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.9511223471142276
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,1.277898735921181
MTW,NCC1CCNCC1,1.2070878774790559
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,1.1286357890117422
FER,Cn1cc[n+](C)c1,1.6503779481316672
AEL,CCN1C=CN(C)C1C(=O)[O-],1.1118754370921364
AEN,OSDA-free,0.6586766666293757
MTW,C[N+]1(C2CCCCC2)CCCC1,1.1744568205572186
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,1.5278159054827616
GIS,NCCN,1.0101399403571
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,1.3330549582030176
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,1.1277191430664137
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,1.2840476882182728
BEA,CCC[N+]1(C)CCCC1,1.6893240983488023
LTJ,OSDA-free,1.3806647700470958
MFI,CN(C)CCCCCCN(C)C,1.2736079829324982
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,1.1978940594800302
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,1.1534824871651406
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,1.2745163684408327
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,1.2496826512256103
BEC,C[N+]12CCN(CC1)CC2,1.5369847478950676
MFI,CCCC[N+]1(C)CCCC1,1.452316785570802
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,1.2582575330650374
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,1.6049853106204162
RTH,CN1CCCCC1,1.1346937371359451
ASV,CC[P+](CC)(c1ccccc1)c1ccccc1,0.9599238786047317
RWY,NCCN(CCN)CCN,1.6661320473255863
MFI,CCCCC[N+]12CCC(CC1)CC2,1.2317072432396556
NON,C[N+](C)(C)C1CCCC1,0.9930974237779082
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,1.3677633089347794
MOR,C1CCC[N+]2(CC1)CCCCC2,1.2868996763380758
ANA,C[N+](C)(C)CCCC[N+](C)(C)C,1.1521039464311529
NON,CC1CC[N+](C)(C)CC1,1.70325194501988
LEV,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,1.2738243920653665
ANA,CCCC[N+](CCCC)(CCCC)CCCC,1.0762083904525475
TON,CCC(N)CCCN,1.4910697689631727
MOR,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,1.3815185747318446
LEV,CC1CCCCC1N,0.8756925014341816
MFI,C1CCNCC1,1.3692930729137358
MTT,CC(C)CNCCCCCCCNCC(C)C,1.0199297860826695
MFI,CCCCO,1.2505743390906345
MFI,CC(C)N(C(C)C)C(C)C,1.377362413183
MEL,NCCCCCCCN,1.4415129542127239
MTT,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,1.3272975182197688
IWV,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,1.9372519536602553
MEL,CCCC[N+]1(C)CC[N+](CCC)(CCC)CC1,1.3391180087039496
MEL,CCCCCCCCN,1.4251775063671954
MFI,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,1.081093844415511
MOR,C[N+]1(CCCC[N+]2(C)CCCC2)CCCC1,1.2969547254070413
MTW,CC1CC(C)C[N+](C)(C)C1,1.3731423384425268
MRE,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C,1.2790507071542017
MTW,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)Cc1ccc([N+](C)(C)CCCCCC[N+](C)(C)Cc2ccc([N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCCCCC)cc2)cc1,1.1684756760381019
MOR,CCC[N+](C)(C)CCC,1.3337958335609894
MOR,CC(C)CN(CCCCCN(CC(C)C)CC(C)C)CC(C)C,1.372532517005236
FAU,C1CCC2(C1)CCC[NH2+]2,1.0339990398848706
IRR,Cc1ccc(Cn2cc[n+](C)c2)cc1,1.2177196084651718
CON,CC[N+]1(CC)CCCC(C)(C)C1,1.1059502288624288
PHI,C[N+](C)(C)CCO,1.0934725926797992
AST,C[N+](C)(C)C,1.2256474442718956
STF,CC[N+]1(CC)C[C@H](C)CC[C@@H]1C,1.4413210663744571
IFU,c1ccc2c(c1)C[N+](C1CCCCC1)(C1CCCCC1)C2,0.9233853442643329
SAV,CN1CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1,1.545038595961847
MRE,CCCCCCCCC[N+](C)(C)C,1.1493064301755338
AWW,C1N2CN3CN1CN(C2)C3,1.1582246719766567
SFH,C[N+](C)(C)CC1(c2ccc(F)cc2)CCCC1,1.318632458643459
BEA,C(CCC[N+]12CCN(CC1)CC2)CC[N+]12CCN(CC1)CC2,1.26024750939355
BEA,C(CC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,1.5234057688059046
BEA,C1CC[N+]2(CC1)CCCC2,1.5990830044597084
BEA,CC(C)Cn1cc[n+](CC(C)C)c1,1.50719973991445
BEA,C[N+]1(CC2CCCCC2)CCC(CCCC2CC[N+](C)(CC3CCCCC3)CC2)CC1,1.1487763649958027
BEA,c1ccc(C[N+]23CCN(CC2)CC3)cc1,2.110174980239098
