zeo,MMD
CHA,0.6726889610290527
AEL,0.8422422409057617
MFI,0.8980441093444824
LTA,0.41788434982299805
AFI,0.7974729537963867
IWR,0.5930051803588867
BEA,0.9747905731201172
MTW,0.6471548080444336
MEL,0.5739750862121582
LEV,1.2290339469909668
FAU,1.690035343170166
BEC,0.9210224151611328
FER,1.2630715370178223
ATO,1.27016019821167
MWW,1.3257136344909668
IMF,2.598510265350342
AEN,0.894561767578125
STF,0.47233057022094727
MAZ,1.3936820030212402
AEI,1.850205898284912
GIS,1.237898349761963
TON,1.1364669799804688
ITE,1.5509204864501953
NON,1.1147279739379883
MOR,1.4144134521484375
AST,0.8159933090209961
PHI,1.6077828407287598
SAV,1.127690315246582
UOV,2.243985652923584
ITT,1.1037788391113281
MTT,0.7606844902038574
ITG,1.2749228477478027
CON,0.5991706848144531
NSI,1.192307949066162
ERI,0.781102180480957
MTN,2.203726291656494
MRE,1.4405298233032227
AFR,1.2049927711486816
SWY,2.804366111755371
LAU,0.9529857635498047
DDR,0.6780915260314941
AFX,1.1144232749938965
UFI,3.496969699859619
ISV,1.9476938247680664
ANA,0.8188896179199219
CLO,2.043712615966797
OFF,3.1684112548828125
STI,3.175807476043701
CTH,2.725654125213623
SFS,2.1657261848449707
AWO,0.9332437515258789
DOH,2.1429591178894043
SOD,0.7502541542053223
STW,2.6032958030700684
UOZ,1.363764762878418
MEI,3.2762813568115234
ETL,2.742967128753662
AVE,1.5206336975097656
SZR,1.0282769203186035
JST,1.158322811126709
IFR,2.674622058868408
IFW,2.270813465118408
CGS,2.1119256019592285
PWN,3.5813474655151367
ATS,2.6268043518066406
RTH,1.0880951881408691
EUO,0.8043098449707031
EMT,0.6175985336303711
BPH,0.4753913879394531
AWW,2.1860733032226562
ASV,0.10182714462280273
IHW,2.8805341720581055
RWY,3.838144302368164
LTJ,2.537485122680664
SFH,1.0528039932250977
NES,0.22510814666748047
IRR,3.347818374633789
TUN,3.478335380554199
IWV,2.2033028602600098
EON,1.1723809242248535
STO,1.889608383178711
ITW,-0.16804075241088867
SFW,3.293539047241211
IFU,3.1995081901550293
VFI,1.8192825317382812
EEI,3.5244359970092773
SFG,3.6714258193969727
LOS,3.786661148071289
SFV,4.065123081207275
IFO,3.4870119094848633
RTE,3.5782642364501953
MER,3.588131904602051
AFN,2.919499397277832
APC,4.361929893493652
SFN,3.3752903938293457
SSY,3.4597935676574707
PUN,3.1515746116638184
LTL,4.453200340270996
UOS,3.379457473754883
CGF,3.9287753105163574
AHT,2.8930187225341797
VET,4.504335880279541
ABW,2.8629279136657715
PWW,3.620269775390625
