zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9186391830444336
AEL,CCCNCCC,0.8548173904418945
CHA,OSDA-free,1.0829672813415527
MFI,OSDA-free,1.3238458633422852
CHA,CCN(CC)CC,1.5528364181518555
LTA,C[N+](C)(C)C,0.8623871803283691
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.669975757598877
CHA,C1COCCN1,1.0671453475952148
ATO,CCCNCCC,1.27016019821167
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.001600742340088
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.4022798538208008
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.598510265350342
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.6074643135070801
LEV,C[N+]12CCC(CC1)CC2,1.9630231857299805
AFI,CCCN(CCC)CCC,1.1459341049194336
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9668583869934082
MAZ,OSDA-free,1.4238710403442383
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.176025867462158
AEN,CC[n+]1ccn(C)c1C,1.3063554763793945
FAU,C1COCCOCCOCCOCCOCCO1,1.804746150970459
FAU,CC[N+](CC)(CC)CC,2.2360892295837402
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.243985652923584
PHI,OSDA-free,1.7981982231140137
GIS,CCCNCCC,2.35172700881958
LEV,C[N+]1(C)CCCCC1,1.6839804649353027
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1037788391113281
FER,C[N+]1(Cc2ccccc2)CCCC1,2.7068839073181152
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.2749228477478027
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,3.1201095581054688
SAV,C1CNCCCNCCNCCNC1,1.5784335136413574
AEI,CC[P+](CC)(CC)CC,2.2557945251464844
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.5003266334533691
NSI,c1cc(-c2ccncc2)ccn1,1.3181018829345703
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.7306280136108398
FER,C1CNCCN1,2.2069945335388184
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,2.428986072540283
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.5647149085998535
MWW,CCCCCCC[N+](C)(C)C,3.409748077392578
MFI,CCN,1.0369081497192383
TON,NCCCCCCCCN,1.3613519668579102
AFR,CCC[N+](CCC)(CCC)CCC,1.2049927711486816
AST,c1ccncc1,2.2262144088745117
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,2.8122377395629883
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.6571717262268066
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.0292716026306152
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,2.804366111755371
STF,CCC1CCCC[N+]12CCCCC2,1.3044676780700684
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,1.473452091217041
CHA,CC(C)NC(C)C,1.9316682815551758
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.8782448768615723
ITE,NCCNCCNCCNCCNCCN,3.169771194458008
