zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.985,0.91,0.92,0.96,0.885,0.915,0.995,0.985,0.985,0.98,0.84,0.955
AEL,CCCNCCC,0.805,0.995,0.96,0.995,0.895,0.885,0.88,0.935,0.98,0.805,0.735,0.955
CHA,OSDA-free,0.96,0.91,0.94,0.975,0.98,0.61,0.995,0.955,0.985,1.0,0.12,0.945
MFI,OSDA-free,0.975,0.9,0.955,0.975,0.505,0.575,0.965,0.965,0.98,0.995,0.175,0.935
CHA,CCN(CC)CC,0.9,1.0,0.96,0.935,0.865,0.875,0.84,0.93,0.995,0.825,0.64,0.83
LTA,C[N+](C)(C)C,0.98,0.94,0.935,0.97,1.0,0.91,0.89,0.97,0.955,0.615,0.9,0.935
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.885,0.88,0.945,0.97,0.83,0.885,0.775,0.92,0.95,0.89,0.345,0.91
CHA,C1COCCN1,0.86,0.63,0.935,0.96,0.845,0.915,0.82,0.955,0.97,0.725,0.725,0.935
ATO,CCCNCCC,0.86,0.7,0.97,0.97,0.925,0.9,0.905,0.895,0.84,0.675,0.23,0.165
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.65,0.99,0.135,0.495,0.945,0.945,0.98,0.285,0.985,0.205,0.085,0.06
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.81,0.94,0.97,0.95,0.99,0.91,0.945,0.31,0.02,0.26,0.2,0.645
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.355,0.21,0.33,0.29,0.875,0.905,0.81,0.875,0.075,0.13,0.185,0.115
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.69,0.95,0.13,0.575,0.945,0.95,0.98,0.305,0.995,0.155,0.025,0.04
LEV,C[N+]12CCC(CC1)CC2,0.06,0.865,0.495,0.49,0.91,0.905,0.84,0.93,0.225,0.195,0.28,0.18
AFI,CCCN(CCC)CCC,0.975,0.93,0.99,1.0,0.975,0.97,0.95,0.94,0.355,0.815,0.43,0.965
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.495,0.98,0.155,0.565,0.96,0.98,0.975,0.29,0.975,0.235,0.07,0.45
MAZ,OSDA-free,0.13,0.89,0.615,0.595,0.49,0.555,0.2,0.965,0.655,1.0,0.065,0.92
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.79,0.905,0.945,0.975,0.87,0.95,0.855,0.785,0.315,0.66,0.085,0.135
AEN,CC[n+]1ccn(C)c1C,0.77,0.02,0.705,0.755,0.845,0.915,0.88,0.935,0.7,0.38,0.235,0.845
FAU,C1COCCOCCOCCOCCOCCO1,0.06,0.935,0.61,0.61,0.07,0.965,0.44,0.965,0.27,0.975,0.005,0.17
FAU,CC[N+](CC)(CC)CC,0.035,0.91,0.625,0.585,0.045,0.965,0.155,0.95,0.26,0.035,0.02,0.055
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.64,0.93,0.02,0.575,0.945,0.935,0.98,0.215,0.985,0.18,0.13,0.135
PHI,OSDA-free,0.11,0.905,0.6,0.6,0.1,0.515,0.16,0.96,0.25,0.99,0.02,0.16
GIS,CCCNCCC,0.89,0.06,0.96,0.985,0.885,0.875,0.785,0.94,0.115,0.2,0.17,0.17
LEV,C[N+]1(C)CCCCC1,0.08,0.875,0.405,0.375,0.935,0.93,0.88,0.915,0.84,0.675,0.22,0.78
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.565,0.965,0.025,0.47,0.94,0.95,0.975,0.2,0.95,0.11,0.075,0.11
FER,C[N+]1(Cc2ccccc2)CCCC1,0.54,0.915,0.94,0.95,0.745,0.925,0.715,0.91,0.745,0.79,0.175,0.05
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.56,0.99,0.015,0.51,0.955,0.955,0.0,0.255,0.04,0.15,0.06,0.045
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.585,0.885,0.085,0.545,0.955,0.955,0.955,0.015,0.97,0.12,0.14,0.16
SAV,C1CNCCCNCCNCCNC1,0.885,0.46,0.425,0.38,0.875,0.93,0.81,0.935,0.045,0.095,0.0,0.03
AEI,CC[P+](CC)(CC)CC,0.04,0.36,0.45,0.38,0.885,0.895,0.895,0.935,0.83,0.155,0.065,0.02
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.98,0.855,0.99,1.0,0.985,0.945,0.98,0.93,0.94,0.69,0.22,0.1
NSI,c1cc(-c2ccncc2)ccn1,0.9,0.92,0.96,0.985,0.94,0.91,0.875,0.89,0.685,0.515,0.045,0.105
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.76,0.915,0.965,0.385,0.785,0.86,0.735,0.76,0.315,0.73,0.61,0.705
FER,C1CNCCN1,0.05,0.265,0.195,0.15,0.955,0.94,0.905,0.92,0.29,0.075,0.185,0.115
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.48,0.84,0.585,0.61,0.705,0.96,0.16,0.955,0.005,0.93,0.045,0.105
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.685,0.95,0.105,0.44,0.985,0.97,0.975,0.255,0.06,0.635,0.365,0.665
MWW,CCCCCCC[N+](C)(C)C,0.245,0.635,0.39,0.0,0.815,0.935,0.805,0.83,0.06,0.11,0.06,0.06
MFI,CCN,0.45,0.9,0.67,0.5,0.82,0.9,0.585,0.935,0.15,0.065,0.105,0.1
TON,NCCCCCCCCN,0.845,0.93,0.98,0.975,0.84,0.91,0.905,0.9,0.75,0.53,0.15,0.155
