zeo,WSD
CHA,0.7641486962557982
AEL,0.6294830065494154
MFI,0.9443115265575628
LTA,0.7553538196924287
AFI,0.4689565679644108
IWR,0.6239633795788864
BEA,1.1787911935048003
MTW,0.8981869564835777
MEL,0.7553378780574338
LEV,0.8380872497561667
FAU,0.9992943473097463
BEC,0.7101347330071035
FER,1.2023068058310808
ATO,0.6130401810686361
MWW,1.0680154032689537
IMF,1.4077229674904528
AEN,0.51302019734332
STF,0.738789910294438
MAZ,1.075866385096167
AEI,1.1313297634025212
GIS,0.7830800797522876
TON,1.3936606335142767
ITE,1.2234590863721522
NON,0.918815968433828
MOR,1.2886175808161275
AST,0.6277974930067671
PHI,1.076172564648817
SAV,0.8940984612455207
UOV,1.1286807907365506
ITT,0.971191698950999
MTT,0.9067750163538196
ITG,1.0072936797313958
CON,0.9525694736992315
NSI,1.2482522023996296
ERI,0.9179735957637636
MTN,2.286724018099174
MRE,1.133693967278962
AFR,0.8060257339112712
SWY,1.3810126077770861
LAU,0.8126059694009938
DDR,0.7777026787178072
AFX,1.2779340886202852
UFI,1.6688498596167523
ISV,1.212351597641123
ANA,0.9982934506250802
CLO,0.8228374849613587
OFF,1.1993185419613257
STI,1.3713511327485293
CTH,1.3817287736573274
SFS,1.02150658119653
AWO,0.602526180914762
DOH,1.4258415518728453
SOD,1.2690814213877384
STW,1.5119325301789757
UOZ,1.1745837331914597
MEI,1.0844027496569049
ETL,1.5062173244886887
AVE,1.0846154969061934
SZR,1.1566445727472474
JST,1.3647756046462136
IFR,1.2986460717996398
IFW,1.1975573541956201
CGS,1.190209515771334
PWN,1.4898600693678512
ATS,1.160233233013666
RTH,1.1796635835125322
EUO,1.1519214493911942
EMT,1.1763485815939614
BPH,0.8714888099931719
AWW,1.19959532114442
ASV,0.9883042908838968
IHW,1.4785659750802818
RWY,1.7191846047197652
LTJ,1.469900130786085
SFH,1.4755939536516092
NES,1.304193576160346
IRR,1.1262053412412256
TUN,1.4261967248010277
IWV,1.9605880673248584
EON,1.1996620602841368
STO,1.2050178576237958
ITW,1.149403187192498
SFW,1.4281111759189185
IFU,0.9808958454264164
VFI,1.0311710542689618
EEI,1.473002701143574
SFG,1.6377146579222828
LOS,1.8867552796347393
SFV,2.0177974089613326
IFO,1.474569360130125
RTE,1.5696154122561585
MER,1.3853042140506981
AFN,0.7101541569321883
APC,1.432208726308758
SFN,1.355616386438598
SSY,1.2581885810941817
PUN,1.0500588255626968
LTL,1.687173537157276
UOS,1.3956568140402035
CGF,1.8045432061218554
AHT,0.7738240828400125
VET,1.7864486992084787
ABW,0.7174525847801676
PWW,1.653681290615879
