zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.0219349205280097
AEL,CCCNCCC,0.6569561508829085
CHA,OSDA-free,0.962543254813859
MFI,OSDA-free,1.048621683065491
CHA,CCN(CC)CC,0.7634655694153671
LTA,C[N+](C)(C)C,0.9156582223206042
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.7734949932447259
CHA,C1COCCN1,0.6707196976455994
ATO,CCCNCCC,0.6130401810686361
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7865813095547609
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.0481269904676478
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.4077229674904528
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.6819007713703343
LEV,C[N+]12CCC(CC1)CC2,0.9834685583945173
AFI,CCCN(CCC)CCC,0.3349310413324789
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.715594078843846
MAZ,OSDA-free,1.086043569760153
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.2842377779199472
AEN,CC[n+]1ccn(C)c1C,0.5762434902386973
FAU,C1COCCOCCOCCOCCOCCO1,1.0178653069846662
FAU,CC[N+](CC)(CC)CC,1.0646688477514235
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.1286807907365506
PHI,OSDA-free,1.1573500650656703
GIS,CCCNCCC,0.9885000688472393
LEV,C[N+]1(C)CCCCC1,1.1427825711071549
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.971191698950999
FER,C[N+]1(Cc2ccccc2)CCCC1,1.3063892783410935
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.0072936797313958
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,1.2906664847782752
SAV,C1CNCCCNCCNCCNC1,1.0416359828452102
AEI,CC[P+](CC)(CC)CC,1.1491404431498675
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.3655935285117662
NSI,c1cc(-c2ccncc2)ccn1,1.3145554043014003
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.0445792299020207
FER,C1CNCCN1,1.4537461746791052
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,1.1191581169372031
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.5572011402993642
MWW,CCCCCCC[N+](C)(C)C,1.3038402176380948
MFI,CCN,1.0851073677501293
TON,NCCCCCCCCN,1.2996213234413347
AFR,CCC[N+](CCC)(CCC)CCC,0.8060257339112712
AST,c1ccncc1,0.7324458967801459
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,1.171134009768219
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.9523622319352087
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,1.0590584589297112
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.3810126077770861
STF,CCC1CCCC[N+]12CCCCC2,1.052798138873494
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,1.5443794587081365
CHA,CC(C)NC(C)C,1.1180738900173646
MFI,CCCN(CCC)CCCCCN(CCC)CCC,1.0437352416450651
ITE,NCCNCCNCCNCCNCCN,1.313415518654478
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.212351597641123
UFI,CC[N+](CC)(CC)CC,1.6688498596167523
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.362800878760961
CLO,C1CN2CCC1CC2,0.8228374849613587
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,1.0334779478037353
AFI,[CH]1C=CC=C1,0.42558414074057804
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.2659586513736292
LAU,c1c[nH]cn1,0.7268870566010084
LEV,CC[N+](C)(C)CC,0.7444025212354916
OFF,C[N+](C)(C)Cc1ccccc1,1.1993185419613257
FER,NCCCCN,1.5124857019181364
DDR,C[N+]1(C)C2CCC1CC(O)C2,1.0467881091910316
STI,CC[N+](CC)(CC)CC,1.3713511327485293
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.2281875304053944
STF,CC1(C)C2CCC[N+](C)(C)C1C2,1.0742865500797953
MTN,C1CCNC1,2.6968870794523436
AFI,CCN(C(C)C)C(C)C,0.42279645886486306
AEN,CC[N+](CC)(CC)CC,0.6723330495626008
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.7188564267713429
AST,CC(C)[N+](C)(C)C,1.0049223172458033
MTW,C1CN2CCN1CC2,1.500628924645663
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.66233181272075
MTW,C1CCC[N+]2(CC1)CCCCC2,1.1346194020688338
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.8872391779353301
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,1.4683631349606425
MFI,C1CCNC1,1.1925950410635593
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,1.380807780257778
NON,CC1CCCN1,1.1194732331073172
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.1582157303665799
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,2.027408357604677
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.9154363443204594
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.7911595334402481
CHA,CN(CCO)CCO,0.9660577985126779
FAU,Cc1cccc(C)[n+]1C,1.1542129024827794
NON,CC1CCCCN1,1.101571386577691
CHA,CN1CCNCC1,0.8600331117334066
ERI,C[N+]1(C)CCCCC1,1.200700032817668
AFI,C1CCCNCC1,0.87009043659441
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,1.16478680398452
ITE,C[N+]1(C)CCCCC2CCCCC21,1.4034156361919192
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,1.148724518191591
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.9957070723270549
AVE,C1CC[N+]2(CC1)CCCC2,1.0846154969061934
MWW,CCCCCC[N+](C)(C)C,1.2516648404118813
STW,CCc1n(C)cc(C)[n+]1C,1.5704662550194688
FER,CCCCN,1.3734897378362945
TON,CC(N)CN,1.9225624082663515
ETL,C[N+](C)(C)CCO,1.5062173244886887
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.7176187251035913
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1745837331914597
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,1.1566445727472474
MEI,CN(CCO)CCO,1.0844027496569049
AEL,CCNCC,1.0830675525132014
CHA,NCCNCCN,0.7637515215678219
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.1934877106865236
AEL,CCCCNCCCC,0.6075356447129165
MFI,CCCNCCC,1.4351927435019967
GIS,C[N+](C)(C)C,0.8357864909651965
FER,NC1CCCCC1,1.4970073457198596
SOD,C1CCC2(C1)CCC[NH2+]2,1.529830424749198
DOH,CC1CNCCN1,1.5504346899295651
TON,CCC(C)N,1.91015376505643
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.1284957834852105
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,1.4461915846674218
AFI,Fc1cccc(CN2CCCC2)c1,0.943025730098805
AFI,CN1C2CCC1CC(O)C2,0.4170671987613016
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,1.068061939911417
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,1.1975573541956201
AWO,CNC,0.6289453686109304
JST,NCCN,1.3647756046462136
MFI,CN(C)CC(C)(C)CN(C)C,1.3637711238196772
STF,CC[N+]1(C)C2CCCC1CCC2,1.1021995911928142
PWN,C[N+]12CC[N+](C)(CC1)CC2,1.4898600693678512
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,1.3078343187339188
AEN,C[N+](C)(C)C,0.6497098864168629
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,1.249224023477357
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,1.5794656173580486
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,1.259177578792904
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,1.258106865015515
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,1.1855155141755067
MOR,CN(C)CCCN(C)C,1.3812204367222884
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,1.3884551921844255
CGS,C1CN2CCC1CC2,1.561955352300303
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,1.6483401746907704
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,1.385524086808784
LAU,Cn1ccnc1,1.266139115525231
EMT,CC[N+](CC)(CC)CC,1.1763485815939614
TON,CCn1cc[n+](CC)c1,1.7507132658759876
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,1.405960080623173
SAV,C1CNCCNCCCNCCNC1,0.8779383632267732
DDR,C1CN2CCC1CC2,0.964608505518177
BEA,C[N+](C)(C)Cc1ccccc1,1.9668182213464238
MEL,CCCN,1.0876781118568144
MTW,N[C@H]1CC[C@H](N)CC1,1.5263071077542576
ATS,CCCNCCC,1.160233233013666
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,1.4615220511062719
AFI,C1CN2CCN1CC2,1.2157155485745834
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,1.4785659750802818
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.9422902611157351
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,1.2958710248186818
