zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.2997446060180664
AEL,CCCNCCC,0.5391988754272461
CHA,OSDA-free,0.5553407669067383
MFI,OSDA-free,0.3549633026123047
CHA,CCN(CC)CC,1.1581745147705078
LTA,C[N+](C)(C)C,0.5743370056152344
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.17388343811035156
CHA,C1COCCN1,0.5429887771606445
ATO,CCCNCCC,1.1763782501220703
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.1791729927062988
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.8749151229858398
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.220123291015625
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.5398516654968262
LEV,C[N+]12CCC(CC1)CC2,0.8225240707397461
AFI,CCCN(CCC)CCC,0.17107105255126953
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.33698081970214844
MAZ,OSDA-free,0.5561990737915039
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.4959630966186523
AEN,CC[n+]1ccn(C)c1C,1.0317802429199219
FAU,C1COCCOCCOCCOCCOCCO1,0.3762702941894531
FAU,CC[N+](CC)(CC)CC,0.8549594879150391
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,3.3421292304992676
PHI,OSDA-free,0.6821966171264648
GIS,CCCNCCC,2.7174720764160156
LEV,C[N+]1(C)CCCCC1,0.6780824661254883
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.2467665672302246
FER,C[N+]1(Cc2ccccc2)CCCC1,0.5941858291625977
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.6333065032958984
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,1.6032495498657227
SAV,C1CNCCCNCCNCCNC1,1.803868293762207
AEI,CC[P+](CC)(CC)CC,2.385531425476074
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.25487756729125977
NSI,c1cc(-c2ccncc2)ccn1,2.2516446113586426
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.7335457801818848
FER,C1CNCCN1,0.4778423309326172
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.7784481048583984
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.3586845397949219
MWW,CCCCCCC[N+](C)(C)C,3.1256895065307617
MFI,CCN,0.5166587829589844
TON,NCCCCCCCCN,0.5799732208251953
AFR,CCC[N+](CCC)(CCC)CCC,0.7916049957275391
AST,c1ccncc1,1.5699071884155273
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.9094409942626953
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.24155616760253906
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.32195472717285156
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,1.1893682479858398
STF,CCC1CCCC[N+]12CCCCC2,1.7660579681396484
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.08267879486083984
CHA,CC(C)NC(C)C,1.8692893981933594
MFI,CCCN(CCC)CCCCCN(CCC)CCC,-0.021806716918945312
ITE,NCCNCCNCCNCCNCCN,2.268047332763672
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,1.1202306747436523
UFI,CC[N+](CC)(CC)CC,3.41245698928833
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,1.4160795211791992
CLO,C1CN2CCC1CC2,1.6550788879394531
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.22043895721435547
AFI,[CH]1C=CC=C1,2.4322166442871094
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.9552850723266602
LAU,c1c[nH]cn1,0.8616342544555664
LEV,CC[N+](C)(C)CC,0.726844310760498
OFF,C[N+](C)(C)Cc1ccccc1,1.5889549255371094
FER,NCCCCN,1.5270271301269531
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.7375059127807617
