zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.9,0.98,1.0,0.995,0.985,0.985,1.0,0.995,0.965,1.0,0.925,0.875
AEL,CCCNCCC,0.96,0.91,1.0,0.995,1.0,0.99,0.995,0.995,0.99,0.99,0.93,0.975
CHA,OSDA-free,0.67,0.975,0.99,0.995,0.955,0.975,1.0,1.0,1.0,1.0,0.62,0.925
MFI,OSDA-free,0.925,0.975,0.985,0.99,0.91,0.925,0.995,0.945,0.955,1.0,0.585,0.785
CHA,CCN(CC)CC,0.975,0.975,1.0,1.0,0.99,1.0,0.995,0.875,0.965,0.895,0.545,0.935
LTA,C[N+](C)(C)C,0.93,1.0,1.0,1.0,1.0,1.0,0.72,1.0,0.61,0.575,0.985,0.895
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.875,0.99,1.0,0.995,0.92,0.99,0.985,0.93,0.97,0.975,0.69,0.9
CHA,C1COCCN1,0.955,0.585,1.0,1.0,0.99,1.0,1.0,0.915,0.97,0.63,0.86,0.91
ATO,CCCNCCC,1.0,0.905,0.995,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.83,0.69
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.68,0.965,0.535,0.76,0.955,0.965,0.95,0.93,0.895,0.71,0.59,0.215
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.93,0.825,0.99,0.99,0.995,1.0,1.0,0.78,0.465,0.965,0.65,0.745
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.57,0.885,1.0,0.95,0.41,0.995,0.515,0.91,0.53,0.795,0.86,0.565
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.76,0.99,0.74,0.78,0.93,0.975,0.845,0.79,0.96,0.735,0.42,0.145
LEV,C[N+]12CCC(CC1)CC2,0.585,0.945,0.875,0.835,0.845,0.99,0.8,0.955,0.545,0.545,0.435,0.585
AFI,CCCN(CCC)CCC,0.98,0.89,1.0,1.0,1.0,1.0,0.995,0.99,0.96,0.94,0.475,0.725
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7,0.97,0.63,0.95,0.96,0.985,0.935,0.725,0.84,0.92,0.405,0.295
MAZ,OSDA-free,0.675,0.995,1.0,1.0,0.575,0.99,0.88,1.0,0.6,1.0,0.7,0.73
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.645,0.995,0.995,0.985,1.0,0.97,0.98,0.505,0.235,0.605,0.145,0.465
AEN,CC[n+]1ccn(C)c1C,0.79,0.085,0.815,0.725,0.995,1.0,0.995,0.545,0.79,0.515,0.49,0.675
FAU,C1COCCOCCOCCOCCOCCO1,0.74,0.975,0.995,0.995,0.735,1.0,0.95,0.98,0.955,0.98,0.445,0.405
FAU,CC[N+](CC)(CC)CC,0.335,0.975,0.96,0.96,0.405,1.0,0.38,0.995,0.36,0.58,0.465,0.345
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,0.04,0.32,0.0,0.73,0.795,0.985,0.635,0.955,0.67,0.715,0.435,0.085
PHI,OSDA-free,0.55,0.98,0.95,0.965,0.575,0.88,0.52,0.99,0.82,1.0,0.475,0.605
GIS,CCCNCCC,0.91,0.135,0.995,0.995,0.995,0.97,0.965,0.855,0.3,0.555,0.3,0.42
LEV,C[N+]1(C)CCCCC1,0.375,0.935,0.965,0.955,0.865,1.0,0.835,0.975,0.715,0.985,0.615,0.495
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.61,0.95,0.245,0.86,0.99,1.0,0.99,0.52,0.86,0.68,0.28,0.25
FER,C[N+]1(Cc2ccccc2)CCCC1,0.265,0.99,1.0,1.0,0.895,0.98,0.835,0.74,0.81,0.5,0.715,0.11
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.76,0.98,0.075,0.935,0.96,0.995,0.06,0.19,0.565,0.835,0.405,0.135
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.64,0.64,0.935,0.955,0.97,0.99,0.88,0.375,0.875,0.51,0.395,0.335
SAV,C1CNCCCNCCNCCNC1,0.915,0.28,0.21,0.19,0.985,0.995,0.99,0.935,0.1,0.11,0.045,0.035
AEI,CC[P+](CC)(CC)CC,0.02,0.06,0.34,0.34,1.0,1.0,0.99,0.955,0.485,0.33,0.155,0.035
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.855,0.725,0.995,0.985,0.98,0.98,0.99,0.945,0.73,0.65,0.55,0.625
NSI,c1cc(-c2ccncc2)ccn1,0.985,0.665,1.0,1.0,0.995,1.0,1.0,0.93,0.275,0.405,0.13,0.405
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.855,0.98,0.99,0.175,0.86,0.99,0.77,0.77,0.365,0.475,0.49,0.385
FER,C1CNCCN1,0.375,0.845,0.97,0.96,0.875,0.98,0.89,0.915,0.67,0.345,0.415,0.48
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.98,0.945,0.99,0.995,0.86,1.0,0.69,1.0,0.115,0.93,0.575,0.37
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.515,0.975,0.945,0.965,0.83,0.96,0.865,0.85,0.71,0.955,0.885,0.54
MWW,CCCCCCC[N+](C)(C)C,0.505,0.44,0.96,0.0,0.685,0.835,0.62,0.92,0.14,0.21,0.17,0.23
MFI,CCN,0.515,0.99,0.97,0.94,0.84,0.985,0.86,0.91,0.77,0.545,0.675,0.475
TON,NCCCCCCCCN,0.425,1.0,0.995,1.0,0.435,0.925,0.555,0.99,0.74,0.565,0.3,0.635
AFR,CCC[N+](CCC)(CCC)CCC,0.75,0.595,0.995,0.985,0.99,1.0,0.925,0.99,0.755,0.36,0.52,0.24
AST,c1ccncc1,0.75,0.12,0.765,0.705,0.99,1.0,0.99,0.555,0.63,0.795,0.58,0.265
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.265,0.935,0.99,0.98,0.165,1.0,0.775,0.98,0.365,0.775,0.34,0.225
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.595,0.99,1.0,0.995,0.82,0.915,0.855,0.94,0.635,0.95,0.305,0.495
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.835,0.985,0.56,0.975,0.955,0.995,0.935,0.69,0.825,0.4,0.405,0.28
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.93,0.04,0.755,0.775,1.0,0.995,0.995,1.0,0.415,0.585,0.22,0.225
STF,CCC1CCCC[N+]12CCCCC2,0.615,0.995,0.0,0.815,0.95,1.0,0.025,0.69,0.065,0.095,0.11,0.495
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.44,0.995,0.975,0.965,0.735,0.985,0.85,0.915,0.69,0.65,0.555,0.445
CHA,CC(C)NC(C)C,0.955,0.015,0.54,0.545,0.99,0.995,0.99,0.95,0.675,0.135,0.06,0.24
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.695,1.0,1.0,1.0,0.575,1.0,0.585,0.98,0.87,0.895,0.795,0.56
ITE,NCCNCCNCCNCCNCCN,0.325,0.955,0.97,0.97,0.095,1.0,0.015,1.0,0.42,0.82,0.0,0.02
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.965,0.95,0.87,0.995,0.975,0.995,0.985,0.815,0.975,0.785,0.48,0.29
UFI,CC[N+](CC)(CC)CC,0.015,0.62,0.795,0.75,0.99,1.0,0.0,0.93,0.125,0.0,0.33,0.375
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.63,0.58,0.96,0.925,0.64,0.99,0.46,0.945,0.34,0.57,0.26,0.34
CLO,C1CN2CCC1CC2,0.875,0.795,0.91,0.88,0.98,1.0,0.99,0.03,0.67,0.12,0.35,0.34
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.635,0.985,0.99,0.985,0.73,1.0,0.765,0.775,0.775,0.48,0.305,0.485
AFI,[CH]1C=CC=C1,0.925,0.325,0.85,0.835,0.995,0.995,0.99,0.865,0.01,0.79,0.28,0.27
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.075,0.675,0.99,0.98,0.775,0.925,0.19,0.85,0.32,0.405,0.325,0.22
LAU,c1c[nH]cn1,0.84,0.7,0.985,1.0,0.965,0.995,0.965,0.875,0.45,0.035,0.255,0.095
LEV,CC[N+](C)(C)CC,0.88,0.235,0.995,0.995,0.98,0.985,0.985,0.825,0.83,0.38,0.36,0.435
OFF,C[N+](C)(C)Cc1ccccc1,0.18,0.785,0.865,0.88,0.96,0.825,0.08,0.69,0.415,0.085,0.005,0.135
FER,NCCCCN,0.165,0.61,0.82,0.805,0.0,0.99,0.715,0.85,0.125,0.29,0.145,0.165
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.735,0.98,0.995,0.995,0.845,1.0,0.905,0.83,0.29,0.55,0.235,0.515
STI,CC[N+](CC)(CC)CC,0.21,0.155,0.01,0.995,0.29,0.985,0.18,0.015,0.255,0.115,0.185,0.255
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.135,0.065,1.0,1.0,0.47,0.955,0.345,0.975,0.16,0.23,0.005,0.33
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.715,0.975,0.975,0.785,0.99,1.0,0.94,0.755,0.515,0.38,0.45,0.195
MTN,C1CCNC1,0.775,0.98,0.995,0.995,0.91,1.0,0.8,1.0,0.76,0.36,0.635,0.425
