zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.1664915070275534
AEL,CCCNCCC,0.20989214150144866
CHA,OSDA-free,0.1188736707425956
MFI,OSDA-free,0.23130573839302324
CHA,CCN(CC)CC,0.5795284716857396
LTA,C[N+](C)(C)C,0.2978530781172829
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.17367685524492954
CHA,C1COCCN1,0.24605505702030162
ATO,CCCNCCC,0.0727251034718252
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5359445589348169
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.30929177483990444
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.23123742267546715
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.38609539013294564
LEV,C[N+]12CCC(CC1)CC2,0.2345697562018925
AFI,CCCN(CCC)CCC,0.09703967834850713
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.2894036807160785
MAZ,OSDA-free,0.07983126729651334
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.44180619901514095
AEN,CC[n+]1ccn(C)c1C,0.4883154341297141
FAU,C1COCCOCCOCCOCCOCCO1,0.13957521425908107
FAU,CC[N+](CC)(CC)CC,0.1444995053287927
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.2828277871234932
PHI,OSDA-free,0.17534146464815648
GIS,CCCNCCC,1.1603832555197369
LEV,C[N+]1(C)CCCCC1,0.13201198071976256
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4654294018160043
FER,C[N+]1(Cc2ccccc2)CCCC1,0.278136435037795
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.8062268333803142
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.45003295520719616
SAV,C1CNCCCNCCNCCNC1,0.9620294454064069
AEI,CC[P+](CC)(CC)CC,0.8848881194323658
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.2909045772687925
NSI,c1cc(-c2ccncc2)ccn1,1.1763170088577986
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.4871866263800777
FER,C1CNCCN1,0.21972519139197005
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.12471117653273338
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.18178894533609827
MWW,CCCCCCC[N+](C)(C)C,0.9583156604846064
MFI,CCN,0.15567815318728628
TON,NCCCCCCCCN,0.22891060817828823
AFR,CCC[N+](CCC)(CCC)CCC,0.17616413944489226
AST,c1ccncc1,0.47971715177033125
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.08963120074910816
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.36540309277286787
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.19256448097227158
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.30104121912668214
STF,CCC1CCCC[N+]12CCCCC2,0.6281651112978455
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.11721086888477583
CHA,CC(C)NC(C)C,0.8488914575282074
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.055577225298883266
ITE,NCCNCCNCCNCCNCCN,0.10329770997682641
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.2711412165440195
UFI,CC[N+](CC)(CC)CC,0.8694711003299865
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.5088729043903273
CLO,C1CN2CCC1CC2,0.3585970995944875
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.16395267689451298
AFI,[CH]1C=CC=C1,0.3010581727032918
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.42428209210502726
LAU,c1c[nH]cn1,0.3895890512758639
LEV,CC[N+](C)(C)CC,0.4585912174101185
OFF,C[N+](C)(C)Cc1ccccc1,0.3165600667362357
FER,NCCCCN,0.6742802862050394
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.2917756052404423
STI,CC[N+](CC)(CC)CC,1.4269571779819525
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.8721542288079087
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.43305619162706843
MTN,C1CCNC1,0.41361265514717677
AFI,CCN(C(C)C)C(C)C,0.3438876549908285
AEN,CC[N+](CC)(CC)CC,0.38731594182823076
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.33603225920504287
AST,CC(C)[N+](C)(C)C,0.42551516842892617
MTW,C1CN2CCN1CC2,0.944694328327178
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.2844444315100174
MTW,C1CCC[N+]2(CC1)CCCCC2,0.45374687493191823
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.4603461920569417
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.8041136240539938
MFI,C1CCNC1,0.3279066420138088
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.7189467203644084
NON,CC1CCCN1,0.9240158641210675
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.7233760491868224
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.4871379990782979
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.513009999672949
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.3561279283041265
CHA,CN(CCO)CCO,0.6356436250037644
FAU,Cc1cccc(C)[n+]1C,0.07805521016015993
NON,CC1CCCCN1,0.8676030585821451
CHA,CN1CCNCC1,0.5583053587907921
ERI,C[N+]1(C)CCCCC1,0.3530504944790962
AFI,C1CCCNCC1,0.1441783862625593
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.6776591476688947
ITE,C[N+]1(C)CCCCC2CCCCC21,0.6119670921402747
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.29052664628196473
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.23602299735451251
AVE,C1CC[N+]2(CC1)CCCC2,1.139674083550681
MWW,CCCCCC[N+](C)(C)C,0.985784618975446
STW,CCc1n(C)cc(C)[n+]1C,0.19283344692790536
FER,CCCCN,0.8723711871314338
TON,CC(N)CN,0.47023683641361813
ETL,C[N+](C)(C)CCO,0.40218930375216844
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.5351104689935409
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.4815980528678234
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.2112384441447307
MEI,CN(CCO)CCO,0.8940796430328114
AEL,CCNCC,0.41039752046666467
CHA,NCCNCCN,0.25017828594297975
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,0.6850616242854068
AEL,CCCCNCCCC,0.13837356643411158
MFI,CCCNCCC,0.5635859951926816
GIS,C[N+](C)(C)C,0.35946867215098766
FER,NC1CCCCC1,0.17939596392137624
SOD,C1CCC2(C1)CCC[NH2+]2,0.6417613806136273
DOH,CC1CNCCN1,1.7011557898579786
TON,CCC(C)N,0.4420284127401642
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.1140345061698236
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.07521055494997914
AFI,Fc1cccc(CN2CCCC2)c1,0.4112263616885431
AFI,CN1C2CCC1CC(O)C2,0.6606636962967887
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.1977123897192735
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,0.9613249677658167
AWO,CNC,0.16779043421472178
JST,NCCN,1.3888395444304544
MFI,CN(C)CC(C)(C)CN(C)C,0.29574489311253505
STF,CC[N+]1(C)C2CCCC1CCC2,0.49190847863810655
PWN,C[N+]12CC[N+](C)(CC1)CC2,0.2704430589482457
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.12248604548184941
AEN,C[N+](C)(C)C,0.2614154607784751
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,0.5579549446433243
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,0.9494320684265678
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,0.19066391141428313
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,0.600910870304572
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,0.23305481096797812
MOR,CN(C)CCCN(C)C,0.09706670948449535
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,0.6461202312214249
CGS,C1CN2CCC1CC2,1.2101548363840127
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.24610451288944052
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,0.6690877421225256
LAU,Cn1ccnc1,0.4675748133430966
EMT,CC[N+](CC)(CC)CC,0.9815862313643838
TON,CCn1cc[n+](CC)c1,0.49421120393007856
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,0.5698663245458994
SAV,C1CNCCNCCCNCCNC1,0.26262860288887124
DDR,C1CN2CCC1CC2,0.8241990010570805
BEA,C[N+](C)(C)Cc1ccccc1,0.46680313651374594
MEL,CCCN,0.7385427115592031
MTW,N[C@H]1CC[C@H](N)CC1,0.3821851758019773
ATS,CCCNCCC,0.26350556591858454
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.49977672597516337
AFI,C1CN2CCN1CC2,0.7939217685833659
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,0.7259871634465023
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.23339542882017794
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,0.8481496954394905
MTW,NCC1CCNCC1,0.38348077472568126
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,0.010272291907072689
FER,Cn1cc[n+](C)c1,0.3976248862761804
AEL,CCN1C=CN(C)C1C(=O)[O-],1.0038948448066298
AEN,OSDA-free,0.7302001275722242
MTW,C[N+]1(C2CCCCC2)CCCC1,0.6916855582293728
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,0.40453722579767637
GIS,NCCN,0.5606542029439001
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,0.5268150333353583
