zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,0.6353622012456785,13.080172114880932,12.444809913635254,0.16898757406321263,0.502643642939656,0.6716312170028687,0.298397521151657,0.298397521151657,0.0,1.0578375458425682,1.3783507048792045,0.32051315903663635,0.03021203138390842,0.07568047038754162,0.10589250177145004,0.08553833387587087,0.18969298772308843,0.10415465384721756,0.03625077936440785,0.1674955990573756,0.20374637842178345,0.09757833282739473,0.013025163604909656,0.11060349643230438,14.269876674459944,16.52401713962697,30.793893814086914,0.15046641787313264,0.38933357039667327,0.5397999882698059,3.3030260646226566,160.3801404392836,163.68316650390625,435.557172509102,522.6286523064653,87.07147979736328
AEL,0.15071657103558025,0.24550028693933926,0.094783715903759,0.2990132195489543,0.6491740124685628,0.9481872320175171,0.15416991602976518,0.15416991602976518,0.0,0.40583481792576354,0.40583481792576354,0.0,0.0003127495005368731,0.0008580004509180329,0.0005452509503811598,0.000849504123770492,0.000849504123770492,0.0,0.00012692600079508196,0.00012692600079508196,0.0,0.03165716509658073,0.00417145882409836,0.03582862392067909,4.043823703193297,24.331353680229554,28.37517738342285,0.12148220637613916,0.5289390216189065,0.40745681524276733,124.28963475177818,309.39344029377037,185.1038055419922,46.17283052350939,122.69278139020861,76.51995086669922
MFI,10.342202722059987,40.320097387803294,50.66230010986328,0.1803718304350283,0.1803718304350283,0.0,1.6972077423592435,2.3972080284615385,0.7000002861022949,16.17961480332622,4.106535175311475,20.286149978637695,0.018855680958431542,0.23876170323689622,0.25761738419532776,0.03408915733993838,0.052968207728870606,0.018879050388932228,0.01677106339394957,0.26648478191435426,0.28325584530830383,0.020645591209811402,0.013104410131293103,0.03375000134110451,1.11557541681384,35.684599296320926,36.800174713134766,0.03693178803807751,0.28372665732019886,0.32065844535827637,23.89940242026026,144.62022038247412,168.51962280273438,199.19253402479558,310.19707351454167,111.0045394897461
LTA,1.7835004792340707,3.37072257853827,1.5872220993041992,0.4181330991627545,0.11189256182891423,0.5300256609916687,0.6459589773057215,0.62842814389484,1.2743871212005615,0.8387559090677619,0.8387559090677619,0.0,0.21695841898656357,0.027482956149811857,0.24444137513637543,0.0,0.0,0.0,0.06895303818691956,0.5926867136668085,0.5237336754798889,0.07806241926687273,0.015822778968639054,0.09388519823551178,6.009215508067719,61.00856700953256,54.999351501464844,0.03437868746409656,1.1122698387276149,1.1466485261917114,34.74820035157428,100.57884127440228,135.32704162597656,301.2965836630216,424.6905808554044,123.39399719238281
AFI,2.2523553943471346,2.980514523966733,0.7281591296195984,0.1788313841391842,0.5345338726471622,0.7133652567863464,0.08907102963463465,0.08907102963463465,0.0,1.8201575125303608,0.2543101464662212,2.074467658996582,0.002513869015336889,0.003921683596610171,0.00643555261194706,0.007205956968905226,0.011866978723050849,0.004661021754145622,0.007332820727487546,0.014227157176474589,0.021559977903962135,0.03283069267040494,0.011519581236779661,0.0443502739071846,16.845784633788252,21.51576855835042,38.36155319213867,0.037949483565390685,0.4003059457024926,0.4382554292678833,18.66942310294033,187.82623767813564,169.1568145751953,291.92073247506914,393.29622075631914,101.37548828125
IWR,5.652181379423361,19.14331842221238,24.795499801635742,0.0366965572804164,0.0366965572804164,0.0,5.708037879789557,3.1223854753129823,8.830423355102539,22.97293246000831,2.983425495924309,25.956357955932617,0.0017923422877321434,0.0017923422877321434,0.0,0.000717188625,0.000717188625,0.0,0.05963404249288343,0.08068382967375018,0.1403178721666336,0.08656255842041924,0.20409710764098213,0.29065966606140137,0.9432483112999881,6.535808047037414,7.479056358337402,0.016474675827094526,0.22557369203083852,0.24204836785793304,10.834178595274665,164.12117418792846,174.95535278320312,517.2008863325891,847.2008863325891,330.0
BEA,14.459285808178372,34.698410106274075,20.239124298095703,0.07544957375898591,0.07544957375898591,0.0,2.1007797356187883,3.426335132545274,5.5271148681640625,17.347300435922985,3.39828786668932,20.745588302612305,0.033826461424173566,0.04450585098093584,0.0783323124051094,0.018483213177598254,0.035174026182568804,0.01669081300497055,0.04731958212698245,0.14548321960126614,0.1928028017282486,0.0061464655696115145,0.18167845425022033,0.18782491981983185,0.515484340810195,14.936736575937852,15.452220916748047,0.01607164616874368,0.25006967906662314,0.2661413252353668,7.165156358013178,149.47437000917432,156.6395263671875,404.62794162985335,700.7136044716502,296.0856628417969
MTW,9.678720338968134,52.8082143228971,62.486934661865234,0.07168828213437395,0.07168828213437395,0.0,1.8020530611464969,1.8020530611464969,0.0,44.752618690525196,3.4360676803244146,48.18868637084961,0.03637463773260807,0.07968461339701916,0.11605925112962723,0.009561547558076923,0.009561547558076923,0.0,0.06518338666967952,0.19497652398161494,0.12979313731193542,0.0332695041314921,0.05089066731769232,0.08416017144918442,0.19618891491327872,41.21506785168086,41.01887893676758,0.03952929182037379,0.291842164564285,0.3313714563846588,4.985710199101646,150.44411462999992,155.42982482910156,403.1216534013688,842.073862874025,438.95220947265625
MEL,15.54016862802547,46.052718982029376,30.512550354003906,0.09552881808254107,0.09552881808254107,0.0,2.0905551625,2.0905551625,0.0,0.8078288303383863,6.976055218123528,7.783884048461914,0.08445686707889197,0.2095963270465052,0.12513945996761322,0.05697935396602227,0.05818156055902912,0.0012022065930068493,0.06922891165340095,0.16888687585270257,0.23811578750610352,0.044001193864174115,0.07798177577359222,0.033980581909418106,8.66338947250803,33.65602275893728,42.31941223144531,0.03505696141668807,0.26550908172079574,0.23045212030410767,9.848429926051693,137.0393111628155,146.8877410888672,182.7508846031439,366.4677730308783,183.71688842773438
LEV,2.702382242200187,13.139367902758309,15.841750144958496,0.10804883066176918,0.384359274539943,0.27631044387817383,0.13081126341904586,0.46414460668648666,0.3333333432674408,1.3190081390208797,1.3084001270466252,2.627408266067505,0.0779101233491507,0.16559510123638244,0.24350522458553314,0.0007701106210786517,0.0007701106210786517,0.0,0.12873933774706903,0.1326693488908094,0.2614086866378784,0.006791742433323762,0.009388031523213484,0.016179773956537247,4.496206364340171,19.524003109640464,15.027796745300293,0.07110170849242897,0.31694799490848274,0.24584628641605377,13.630494750585854,147.83018335000008,161.46067810058594,458.3863707546118,687.2120390895727,228.82566833496094
FAU,0.14278244080271207,6.375785121300559,6.5185675621032715,0.13136774541502383,0.21470108123188403,0.0833333358168602,,1.2196755411447966,,,3.0842201332710277,,0.04096448410330922,0.23380625259102672,0.27477073669433594,0.006291299965586269,0.007744067837837839,0.0014527678722515702,0.15582106645761634,0.4607946687525382,0.3049736022949219,0.0038355618032432435,0.0038355618032432435,0.0,7.630092393068217,19.510870705751323,11.880778312683105,0.19656437264394255,0.35111505912255736,0.1545506864786148,4.170200506600921,109.16106780394595,113.33126831054688,1015.4683146868776,1222.7141337786745,207.24581909179688
BEC,17.586397075646758,40.61433210372293,23.027935028076172,0.02887239503732504,0.02887239503732504,0.0,1.214045095791366,3.6654653068880774,4.879510402679443,17.610509122771344,2.8057258473214284,20.416234970092773,0.002451448628918919,0.002451448628918919,0.0,0.0018862186637837836,0.0018862186637837836,0.0,0.007914434005678393,0.019139643008648656,0.02705407701432705,0.1330555726436604,0.473859017029189,0.34080344438552856,1.6374871812020935,5.553831823841254,3.91634464263916,0.019210736664640515,0.27744485011945924,0.2582341134548187,2.740395110876392,168.54338784810798,171.28378295898438,484.8285062319313,716.0312039858376,231.20269775390625
FER,0.8706088178193454,24.985108863595713,24.114500045776367,0.1408806397739535,0.1408806397739535,0.0,1.1364373985557594,1.1364373985557594,0.0,0.3209083022391448,1.9290907440865388,2.2499990463256836,0.03912554887864274,0.1123483458366664,0.15147389471530914,0.0023276616020382205,0.005575479367536231,0.007903140969574451,0.051133800683228814,0.10275684335610136,0.05162304267287254,0.13758436645545302,0.16950755511246385,0.30709192156791687,4.0959590728664566,21.718141192636473,25.81410026550293,0.02984109529286061,0.8790687025430742,0.8492276072502136,14.434004050006791,168.18748305391304,153.75347900390625,193.92239790062547,749.297275830313,555.3748779296875
ATO,0.023850258129575475,0.0231265317025397,0.04697678983211517,0.12994451965461606,0.8718554214083112,1.0017999410629272,0.13512690633491997,0.13512690633491997,0.0,0.302927722392028,0.302927722392028,0.0,2.001955873015873e-05,2.001955873015873e-05,0.0,6.159414285714286e-05,6.159414285714286e-05,0.0,0.0,0.0,0.0,0.02904067002236843,0.0,0.02904067002236843,40.81118921074456,6.928968870310132,47.74015808105469,0.03195437340281165,0.35472223611333215,0.3866766095161438,122.83880663646443,314.58676195873005,191.74795532226562,62.93780093418495,116.12306552158729,53.185264587402344
