zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.58563232421875
AEL,CCCNCCC,0.5074567794799805
CHA,OSDA-free,0.4347858428955078
MFI,OSDA-free,0.1684103012084961
CHA,CCN(CC)CC,0.4579181671142578
LTA,C[N+](C)(C)C,0.6272096633911133
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.17240238189697266
CHA,C1COCCN1,0.6788091659545898
ATO,CCCNCCC,0.9964990615844727
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.3554396629333496
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.3357648849487305
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,1.9135351181030273
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.7856578826904297
LEV,C[N+]12CCC(CC1)CC2,0.7394437789916992
AFI,CCCN(CCC)CCC,0.1980581283569336
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5274734497070312
MAZ,OSDA-free,0.42368221282958984
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.4198904037475586
AEN,CC[n+]1ccn(C)c1C,1.245406150817871
FAU,C1COCCOCCOCCOCCOCCO1,0.34006214141845703
FAU,CC[N+](CC)(CC)CC,1.1658849716186523
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.932313919067383
PHI,OSDA-free,0.5583620071411133
GIS,CCCNCCC,2.903229236602783
LEV,C[N+]1(C)CCCCC1,0.5461759567260742
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.8950161933898926
FER,C[N+]1(Cc2ccccc2)CCCC1,1.8148174285888672
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.4671216011047363
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,1.4335651397705078
SAV,C1CNCCCNCCNCCNC1,2.183626174926758
AEI,CC[P+](CC)(CC)CC,1.6195554733276367
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.4230642318725586
NSI,c1cc(-c2ccncc2)ccn1,1.924267292022705
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.9647994041442871
FER,C1CNCCN1,0.5259122848510742
