zeo,osda,Si/Al_prec,Al/P_prec,Si/Ge_prec,Si/B_prec,Na/T_prec,K/T_prec,OH/T_prec,F/T_prec,H2O/T_prec,sda1/T_prec,cryst_temp_prec,cryst_time_prec
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.87,0.925,1.0,0.995,1.0,0.99,1.0,0.995,1.0,1.0,0.9,0.86
AEL,CCCNCCC,0.99,0.87,0.97,0.985,1.0,0.995,1.0,1.0,0.995,0.935,0.745,0.995
CHA,OSDA-free,0.79,1.0,1.0,1.0,0.945,0.885,0.965,1.0,0.995,0.995,0.43,0.84
MFI,OSDA-free,0.895,0.97,0.995,1.0,0.99,0.995,1.0,0.99,0.985,0.975,0.825,0.935
CHA,CCN(CC)CC,0.98,0.95,0.98,0.985,1.0,1.0,1.0,0.995,0.995,0.945,0.5,0.955
LTA,C[N+](C)(C)C,0.92,1.0,1.0,1.0,1.0,1.0,0.695,0.995,0.63,0.605,0.99,0.965
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.86,0.92,1.0,0.995,0.82,1.0,0.98,0.9,0.955,0.985,0.795,0.795
CHA,C1COCCN1,0.915,0.64,0.99,0.995,0.955,1.0,0.975,0.98,0.935,0.72,0.66,0.91
ATO,CCCNCCC,1.0,0.585,0.99,0.995,1.0,1.0,1.0,1.0,1.0,0.98,0.455,0.6
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.77,0.96,0.665,0.845,1.0,0.995,0.955,0.915,0.97,0.84,0.42,0.24
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.985,0.7,0.99,0.965,0.99,1.0,0.99,1.0,0.715,0.86,0.45,0.9
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.57,0.8,0.995,0.975,0.53,1.0,0.495,0.925,0.645,0.855,0.595,0.655
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.86,0.97,0.805,0.845,0.98,0.995,0.895,0.795,0.99,0.805,0.24,0.14
