zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.2317287655838523
AEL,CCCNCCC,0.19775929615426294
CHA,OSDA-free,0.14246385178808146
MFI,OSDA-free,0.07244778434109024
CHA,CCN(CC)CC,0.14377074012143015
LTA,C[N+](C)(C)C,0.2872943747711133
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.18609904618641127
CHA,C1COCCN1,0.3071700900341223
ATO,CCCNCCC,0.13243809794238748
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6041282295267463
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.33163945401158534
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.41313604925526637
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.43529846206550865
LEV,C[N+]12CCC(CC1)CC2,0.21492956625729304
AFI,CCCN(CCC)CCC,0.10730762067313443
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.29502137343681967
MAZ,OSDA-free,0.07616996968836365
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.37504461629683167
AEN,CC[n+]1ccn(C)c1C,0.5084893971148422
FAU,C1COCCOCCOCCOCCOCCO1,0.16424431630057346
FAU,CC[N+](CC)(CC)CC,0.2901164937810717
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.1558021211885428
PHI,OSDA-free,0.16111052477884563
GIS,CCCNCCC,1.139964462121418
LEV,C[N+]1(C)CCCCC1,0.225564604141411
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.7782045155615914
FER,C[N+]1(Cc2ccccc2)CCCC1,0.4501565566950362
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.6637226842106506
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.33188064100573694
SAV,C1CNCCCNCCNCCNC1,1.0100014000294597
AEI,CC[P+](CC)(CC)CC,0.4130910070381104
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.44111863244623517
NSI,c1cc(-c2ccncc2)ccn1,1.1000091911942858
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.5699784790286284
FER,C1CNCCN1,0.23576332161130256
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.13338940611224093
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.20597164631640874
MWW,CCCCCCC[N+](C)(C)C,1.0245265936703216
MFI,CCN,0.20263729150412307
TON,NCCCCCCCCN,0.3064199725688491
AFR,CCC[N+](CCC)(CCC)CCC,0.16067141994874412
AST,c1ccncc1,0.6990866237433785
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.18529489821099626
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.44995659823775275
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.2736050871243072
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.2406759377769573
STF,CCC1CCCC[N+]12CCCCC2,0.6343183988085543
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.13460878277979652
CHA,CC(C)NC(C)C,0.744640358406462
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.07280612033093731
ITE,NCCNCCNCCNCCNCCN,0.2279085946802768
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.3425824154024396
UFI,CC[N+](CC)(CC)CC,0.8300655261089346
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.5007562763430526
CLO,C1CN2CCC1CC2,0.5577139393965644
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.09044315530272892
AFI,[CH]1C=CC=C1,0.29285877134543864
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.39847416895993765
LAU,c1c[nH]cn1,0.3756171275832698
LEV,CC[N+](C)(C)CC,0.19408257948982438
OFF,C[N+](C)(C)Cc1ccccc1,0.3598689867843008
FER,NCCCCN,0.8560697739596421
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.10278350576435083
STI,CC[N+](CC)(CC)CC,1.2780997076503624
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.8262884234245909
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.25468417209817246
MTN,C1CCNC1,0.3492525017459522
AFI,CCN(C(C)C)C(C)C,0.30696522128601245
AEN,CC[N+](CC)(CC)CC,0.42463797434058065
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.2571429295316172
AST,CC(C)[N+](C)(C)C,0.5263104560192138
MTW,C1CN2CCN1CC2,0.36027099123441053
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.4196731142846726
MTW,C1CCC[N+]2(CC1)CCCCC2,0.3865788905001625
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,0.3594541995943521
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.6743245964750595
MFI,C1CCNC1,0.2188009123175867
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.7725138699513235
NON,CC1CCCN1,0.7244255748612406
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,0.6648411703993231
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,0.52042812390495
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.31839240931070445
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.486798448801555
CHA,CN(CCO)CCO,0.523672149209492
FAU,Cc1cccc(C)[n+]1C,0.13489939063785839
NON,CC1CCCCN1,0.6937725453639578
CHA,CN1CCNCC1,0.722688677803053
ERI,C[N+]1(C)CCCCC1,0.23911509528714503
AFI,C1CCCNCC1,0.3740582788824316
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.7482003183259988
ITE,C[N+]1(C)CCCCC2CCCCC21,0.6200323145464397
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.3507891072955572
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.17694673388180282
AVE,C1CC[N+]2(CC1)CCCC2,0.7937641057266511
MWW,CCCCCC[N+](C)(C)C,1.017300810311175
STW,CCc1n(C)cc(C)[n+]1C,0.24778485734084493
FER,CCCCN,0.8941374985823158
TON,CC(N)CN,0.2561180898259635
ETL,C[N+](C)(C)CCO,0.5142972214174493
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.6219877088960742
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6212589792913101
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.37432559603807514
MEI,CN(CCO)CCO,0.9735088367017886
AEL,CCNCC,0.4746037583232405
CHA,NCCNCCN,0.20028838712248925
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,0.5782193173125953
AEL,CCCCNCCCC,0.1675889036365245
MFI,CCCNCCC,0.44391137200645336
GIS,C[N+](C)(C)C,0.5097549567149663
FER,NC1CCCCC1,0.28567610343223915
SOD,C1CCC2(C1)CCC[NH2+]2,0.6689005261542151
DOH,CC1CNCCN1,1.9602629558225182
TON,CCC(C)N,0.26026915157908626
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,1.1370976292504302
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.11675659489122503
AFI,Fc1cccc(CN2CCCC2)c1,0.331420572257845
AFI,CN1C2CCC1CC(O)C2,1.0524167546485854
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.231230953184348
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,0.9845653986789096
AWO,CNC,0.1334013774458762
JST,NCCN,1.192930783369535
MFI,CN(C)CC(C)(C)CN(C)C,0.23603105941367333
STF,CC[N+]1(C)C2CCCC1CCC2,0.3876182342665442
PWN,C[N+]12CC[N+](C)(CC1)CC2,0.14414827887127815
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.132162071870217
AEN,C[N+](C)(C)C,0.452258251431494
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,0.39916592561420405
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,1.036289998776113
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,0.17709409102822207
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,0.5740757198379838
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,0.22329605539016098
MOR,CN(C)CCCN(C)C,0.12119357823448473
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,0.5084940216597083
CGS,C1CN2CCC1CC2,1.2349238436415197
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.24247307818948613
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,0.6451907270587156
LAU,Cn1ccnc1,0.7896343915483952
EMT,CC[N+](CC)(CC)CC,1.1653321764839042
TON,CCn1cc[n+](CC)c1,0.4946769670219907
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,0.4620205854033739
SAV,C1CNCCNCCCNCCNC1,0.3999435050093181
DDR,C1CN2CCC1CC2,0.7687510251886155
BEA,C[N+](C)(C)Cc1ccccc1,0.576945250755384
MEL,CCCN,0.8056476052282626
MTW,N[C@H]1CC[C@H](N)CC1,0.20280871740219505
ATS,CCCNCCC,0.24308685744798292
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.4094772134522504
AFI,C1CN2CCN1CC2,0.980394925162489
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,0.6893524137854077
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.21749993936720693
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,0.639407261774107
MTW,NCC1CCNCC1,0.31909074524813213
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,0.02591059916074063
FER,Cn1cc[n+](C)c1,0.6485438617812973
AEL,CCN1C=CN(C)C1C(=O)[O-],1.0099831895476605
AEN,OSDA-free,0.9849226148721641
MTW,C[N+]1(C2CCCCC2)CCCC1,0.6566759935048212
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,0.538709008344783
GIS,NCCN,0.5964495779522927
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,0.38643737731955974
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,0.2514165234865338
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,0.4728890608587052
BEA,CCC[N+]1(C)CCCC1,0.4735350840984349
LTJ,OSDA-free,1.0065790209736816
MFI,CN(C)CCCCCCN(C)C,0.7581867579598012
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.15032220410917538
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,0.508629883459211
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,0.2908302803079828
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,0.45404386338311536
BEC,C[N+]12CCN(CC1)CC2,0.7487911123869533
MFI,CCCC[N+]1(C)CCCC1,0.29200561354719345
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.4529516393031436
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,0.4798672318291092
RTH,CN1CCCCC1,0.7145544539993987
ASV,CC[P+](CC)(c1ccccc1)c1ccccc1,0.659082883609571
RWY,NCCN(CCN)CCN,1.5367352509634977
MFI,CCCCC[N+]12CCC(CC1)CC2,1.0419064430589893
NON,C[N+](C)(C)C1CCCC1,1.051092533696522
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.26644989477276326
MOR,C1CCC[N+]2(CC1)CCCCC2,0.6438395467560674
ANA,C[N+](C)(C)CCCC[N+](C)(C)C,0.2091181128027308
NON,CC1CC[N+](C)(C)CC1,0.7204689598821316
LEV,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,0.5320679054589853
ANA,CCCC[N+](CCCC)(CCCC)CCCC,0.2515680090047965
TON,CCC(N)CCCN,0.42328763345399456
MOR,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.2674297878248645
LEV,CC1CCCCC1N,0.8097858472806095
MFI,C1CCNCC1,0.3585873269597585
MTT,CC(C)CNCCCCCCCNCC(C)C,0.4688911367382388
MFI,CCCCO,0.836094429083355
MFI,CC(C)N(C(C)C)C(C)C,0.5269134190115891
MEL,NCCCCCCCN,0.6120920670619419
MTT,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.20322166010184323
IWV,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,0.6393184218150667
MEL,CCCC[N+]1(C)CC[N+](CCC)(CCC)CC1,0.5400801692529599
MEL,CCCCCCCCN,0.3950853315785881
MFI,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.4437696369449793
