zeo,MMD
CHA,0.6369876861572266
AEL,2.141554832458496
MFI,0.8069267272949219
LTA,1.5301742553710938
AFI,0.800114631652832
IWR,2.133162021636963
BEA,1.0652809143066406
MTW,0.7330074310302734
MEL,2.2206640243530273
LEV,0.8413867950439453
FAU,1.0768194198608398
BEC,1.1175928115844727
FER,0.9233293533325195
ATO,3.162851333618164
MWW,2.150587558746338
IMF,5.57846212387085
AEN,1.574936866760254
STF,1.163839340209961
MAZ,3.7434072494506836
AEI,1.342137336730957
GIS,2.7728543281555176
TON,0.47840118408203125
ITE,2.2916159629821777
NON,0.6340398788452148
MOR,0.7166862487792969
AST,1.5120739936828613
PHI,1.954488754272461
SAV,1.2735261917114258
UOV,5.7548699378967285
ITT,2.47287654876709
MTT,2.1233882904052734
ITG,4.730099678039551
CON,1.82452392578125
NSI,4.133141040802002
ERI,1.0546064376831055
MTN,2.0989341735839844
MRE,1.1021595001220703
AFR,3.6374292373657227
SWY,3.678408622741699
LAU,1.2014436721801758
DDR,1.7845778465270996
AFX,3.3746275901794434
UFI,7.170103073120117
ISV,2.4873170852661133
ANA,1.4788427352905273
CLO,4.734314918518066
OFF,3.0210113525390625
STI,6.808185577392578
CTH,2.374354362487793
SFS,2.0144805908203125
AWO,1.7915229797363281
DOH,3.8677616119384766
SOD,2.4171643257141113
STW,1.1960697174072266
UOZ,4.906017780303955
MEI,5.815667152404785
ETL,3.3022022247314453
AVE,5.53761100769043
SZR,3.1485729217529297
JST,4.85318660736084
IFR,2.3902082443237305
IFW,5.351060390472412
CGS,2.5746278762817383
PWN,1.448014259338379
ATS,4.530908584594727
RTH,1.6969823837280273
EUO,1.5028619766235352
EMT,3.224520683288574
BPH,1.9558391571044922
AWW,4.0853753089904785
ASV,2.220271110534668
IHW,3.9941892623901367
RWY,6.8283867835998535
LTJ,6.0995869636535645
SFH,2.817948341369629
NES,0.2155628204345703
IRR,1.4108915328979492
TUN,4.457302093505859
IWV,0.9604635238647461
EON,2.8052287101745605
STO,3.6515679359436035
ITW,0.9086651802062988
SFW,6.9126505851745605
IFU,6.6327691078186035
VFI,2.875887393951416
EEI,5.479349136352539
SFG,6.091360092163086
LOS,6.513864517211914
SFV,7.236232280731201
IFO,6.286270618438721
RTE,7.374073505401611
MER,7.538261890411377
AFN,4.789597511291504
APC,7.0092573165893555
SFN,6.255959510803223
SSY,2.563950538635254
PUN,7.272611141204834
LTL,6.478964805603027
UOS,6.718005180358887
CGF,7.485874652862549
AHT,5.351105690002441
VET,1.4884681701660156
ABW,6.412820816040039
PWW,4.214491844177246
