zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.2034311294555664
AEL,CCCNCCC,2.234868049621582
CHA,OSDA-free,2.124471664428711
MFI,OSDA-free,2.6929759979248047
CHA,CCN(CC)CC,3.750345230102539
LTA,C[N+](C)(C)C,3.060885429382324
MEL,CCCC[N+](CCCC)(CCCC)CCCC,3.083711624145508
CHA,C1COCCN1,4.339216232299805
ATO,CCCNCCC,3.162851333618164
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,4.119368076324463
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,4.629551887512207
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,5.57846212387085
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,3.8971056938171387
LEV,C[N+]12CCC(CC1)CC2,1.661428451538086
AFI,CCCN(CCC)CCC,3.4313526153564453
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.28955078125
MAZ,OSDA-free,3.945773124694824
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,5.3469390869140625
AEN,CC[n+]1ccn(C)c1C,3.130862236022949
FAU,C1COCCOCCOCCOCCOCCO1,3.2722911834716797
FAU,CC[N+](CC)(CC)CC,2.703118324279785
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,5.7548699378967285
PHI,OSDA-free,2.472513198852539
GIS,CCCNCCC,5.73404598236084
LEV,C[N+]1(C)CCCCC1,3.2717275619506836
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,2.47287654876709
FER,C[N+]1(Cc2ccccc2)CCCC1,4.769068717956543
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,4.730099678039551
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,5.878547191619873
SAV,C1CNCCCNCCNCCNC1,1.8511896133422852
AEI,CC[P+](CC)(CC)CC,2.143374443054199
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,2.103083610534668
NSI,c1cc(-c2ccncc2)ccn1,4.6221723556518555
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,2.228221893310547
FER,C1CNCCN1,1.920365333557129
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.9763078689575195
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,3.950080394744873
MWW,CCCCCCC[N+](C)(C)C,4.486631393432617
MFI,CCN,2.8780746459960938
TON,NCCCCCCCCN,3.9035372734069824
AFR,CCC[N+](CCC)(CCC)CCC,3.6374292373657227
AST,c1ccncc1,5.505873680114746
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,3.1694955825805664
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,3.553708553314209
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,3.3283281326293945
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,3.678408622741699
STF,CCC1CCCC[N+]12CCCCC2,4.61301851272583
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,3.9495930671691895
CHA,CC(C)NC(C)C,3.980762481689453
MFI,CCCN(CCC)CCCCCN(CCC)CCC,3.7198004722595215
ITE,NCCNCCNCCNCCNCCN,6.691200256347656
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,2.4873170852661133
UFI,CC[N+](CC)(CC)CC,7.170103073120117
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,2.857900619506836
CLO,C1CN2CCC1CC2,4.734314918518066
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,2.1717023849487305
AFI,[CH]1C=CC=C1,3.7632551193237305
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,5.36978006362915
LAU,c1c[nH]cn1,2.449350357055664
LEV,CC[N+](C)(C)CC,1.5462722778320312
OFF,C[N+](C)(C)Cc1ccccc1,3.0210113525390625
FER,NCCCCN,4.697517395019531
DDR,C[N+]1(C)C2CCC1CC(O)C2,2.7035531997680664
STI,CC[N+](CC)(CC)CC,6.808185577392578
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,4.384687900543213
STF,CC1(C)C2CCC[N+](C)(C)C1C2,4.311031818389893
MTN,C1CCNC1,2.2899932861328125
AFI,CCN(C(C)C)C(C)C,6.504904270172119
AEN,CC[N+](CC)(CC)CC,2.294321060180664
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,4.374668121337891
AST,CC(C)[N+](C)(C)C,1.505889892578125
