zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.4490215696532419
AEL,CCCNCCC,0.5046228144325692
CHA,OSDA-free,0.14663517263414894
MFI,OSDA-free,0.17205313114174337
CHA,CCN(CC)CC,0.27013701817793206
LTA,C[N+](C)(C)C,0.5754601460924839
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.7122363250211192
CHA,C1COCCN1,0.8911249869650683
ATO,CCCNCCC,0.31640727084409837
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6274929676256598
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.8638864335825092
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.7304104758940692
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.8803947567470529
LEV,C[N+]12CCC(CC1)CC2,0.311104908596899
AFI,CCCN(CCC)CCC,0.21557205282933156
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.22585284369137168
MAZ,OSDA-free,0.3795987317624944
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.0252038025435286
AEN,CC[n+]1ccn(C)c1C,0.10113614172753602
FAU,C1COCCOCCOCCOCCOCCO1,0.18402754172610014
FAU,CC[N+](CC)(CC)CC,0.09638086738916687
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.0117301260551066
PHI,OSDA-free,0.07086330184791903
GIS,CCCNCCC,1.1744931860966006
LEV,C[N+]1(C)CCCCC1,0.1593686230751445
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.5638532074272502
FER,C[N+]1(Cc2ccccc2)CCCC1,0.3002330755962871
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.1577744302981987
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.5009609438787959
SAV,C1CNCCCNCCNCCNC1,0.04377983084469765
AEI,CC[P+](CC)(CC)CC,0.015372011959257787
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.3850769905695144
NSI,c1cc(-c2ccncc2)ccn1,1.3923123918384626
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.4101164457069577
