zeo,Si/Al_ae,Si/Al_pred_mean,Si/Al_true_mean,Al/P_ae,Al/P_pred_mean,Al/P_true_mean,Si/Ge_ae,Si/Ge_pred_mean,Si/Ge_true_mean,Si/B_ae,Si/B_pred_mean,Si/B_true_mean,Na/T_ae,Na/T_pred_mean,Na/T_true_mean,K/T_ae,K/T_pred_mean,K/T_true_mean,OH/T_ae,OH/T_pred_mean,OH/T_true_mean,F/T_ae,F/T_pred_mean,F/T_true_mean,H2O/T_ae,H2O/T_pred_mean,H2O/T_true_mean,sda1/T_ae,sda1/T_pred_mean,sda1/T_true_mean,cryst_temp_ae,cryst_temp_pred_mean,cryst_temp_true_mean,cryst_time_ae,cryst_time_pred_mean,cryst_time_true_mean
CHA,9.577364921569824,22.022174835205078,12.444809913635254,0.38586220145225525,0.2857690155506134,0.6716312170028687,3.122504711151123,3.122504711151123,0.0,6.650456041097641,6.970969200134277,0.32051315903663635,0.059386514127254486,0.16527901589870453,0.10589250177145004,0.06342741847038269,0.04072723537683487,0.10415465384721756,0.0401419997215271,0.24388837814331055,0.20374637842178345,0.0004931837320327759,0.11109668016433716,0.11060349643230438,1.901998519897461,28.891895294189453,30.793893814086914,0.031740784645080566,0.5080592036247253,0.5397999882698059,5.9394989013671875,157.74366760253906,163.68316650390625,97.34307098388672,184.41455078125,87.07147979736328
AEL,22.01175696402788,22.10654067993164,0.094783715903759,0.664911687374115,0.2832755446434021,0.9481872320175171,2.9846343994140625,2.9846343994140625,0.0,7.892934799194336,7.892934799194336,0.0,0.16715578478761017,0.16770103573799133,0.0005452509503811598,0.03835170343518257,0.03835170343518257,0.0,0.24371011555194855,0.24371011555194855,0.0,0.07232121750712395,0.10814984142780304,0.03582862392067909,0.7254810333251953,29.100658416748047,28.37517738342285,0.11039102077484131,0.5178478360176086,0.40745681524276733,27.093780517578125,158.01002502441406,185.1038055419922,105.89704132080078,182.4169921875,76.51995086669922
MFI,29.062284469604492,21.60001564025879,50.66230010986328,0.28356418013572693,0.28356418013572693,0.0,2.2007670402526855,2.9007673263549805,0.7000002861022949,13.799364566802979,6.486785411834717,20.286149978637695,0.08962959051132202,0.16798779368400574,0.25761738419532776,0.02017870359122753,0.03905775398015976,0.018879050388932228,0.028170883655548096,0.25508496165275574,0.28325584530830383,0.07597904279828072,0.10972904413938522,0.03375000134110451,7.8119659423828125,28.988208770751953,36.800174713134766,0.17389383912086487,0.49455228447914124,0.32065844535827637,10.541763305664062,157.9778594970703,168.51962280273438,72.26119232177734,183.26573181152344,111.0045394897461
LTA,20.35246753692627,21.93968963623047,1.5872220993041992,0.23619306087493896,0.29383260011672974,0.5300256609916687,1.9527242183685303,3.227111339569092,1.2743871212005615,6.9165215492248535,6.9165215492248535,0.0,0.07633815705776215,0.16810321807861328,0.24444137513637543,0.03877924010157585,0.03877924010157585,0.0,0.2785511016845703,0.2451825737953186,0.5237336754798889,0.017221085727214813,0.11110628396272659,0.09388519823551178,25.295764923095703,29.70358657836914,54.999351501464844,0.6228061318397522,0.5238423943519592,1.1466485261917114,22.32061767578125,157.6476593017578,135.32704162597656,58.49200439453125,181.88600158691406,123.39399719238281
AFI,20.69576245546341,21.423921585083008,0.7281591296195984,0.42098772525787354,0.2923775315284729,0.7133652567863464,3.255415916442871,3.255415916442871,0.0,4.098217487335205,6.172685146331787,2.074467658996582,0.15757172368466854,0.1640072762966156,0.00643555261194706,0.03832926042377949,0.04299028217792511,0.004661021754145622,0.22392571531236172,0.24548569321632385,0.021559977903962135,0.06872257590293884,0.11307284981012344,0.0443502739071846,9.19489860534668,29.166654586791992,38.36155319213867,0.07365739345550537,0.5119128227233887,0.4382554292678833,11.740875244140625,157.4159393310547,169.1568145751953,76.96592712402344,178.34141540527344,101.37548828125
IWR,2.4119911193847656,22.383508682250977,24.795499801635742,0.2919384241104126,0.2919384241104126,0.0,6.006241321563721,2.8241820335388184,8.830423355102539,18.72837734222412,7.227980613708496,25.956357955932617,0.160004660487175,0.160004660487175,0.0,0.041574686765670776,0.041574686765670776,0.0,0.10445387661457062,0.24477174878120422,0.1403178721666336,0.18027692288160324,0.11038274317979813,0.29065966606140137,20.557665824890137,28.03672218322754,7.479056358337402,0.2790115028619766,0.5210598707199097,0.24204836785793304,16.615524291992188,158.33982849121094,174.95535278320312,153.67044067382812,176.32955932617188,330.0
BEA,1.9823436737060547,22.221467971801758,20.239124298095703,0.287174791097641,0.287174791097641,0.0,2.589871406555176,2.9372434616088867,5.5271148681640625,12.961214065551758,7.784374237060547,20.745588302612305,0.08475258201360703,0.16308489441871643,0.0783323124051094,0.02587445080280304,0.04256526380777359,0.01669081300497055,0.054270848631858826,0.24707365036010742,0.1928028017282486,0.07526345551013947,0.11256146430969238,0.18782491981983185,13.676996231079102,29.12921714782715,15.452220916748047,0.2419019639492035,0.5080432891845703,0.2661413252353668,0.55706787109375,157.19659423828125,156.6395263671875,102.09994506835938,193.9857177734375,296.0856628417969
MTW,40.4205265045166,22.066408157348633,62.486934661865234,0.2852668762207031,0.2852668762207031,0.0,3.0175249576568604,3.0175249576568604,0.0,41.0618782043457,7.126808166503906,48.18868637084961,0.05382373183965683,0.16988298296928406,0.11605925112962723,0.038308605551719666,0.038308605551719666,0.0,0.11149968206882477,0.2412928193807602,0.12979313731193542,0.02916085720062256,0.11332102864980698,0.08416017144918442,12.485666275024414,28.533212661743164,41.01887893676758,0.17098578810691833,0.5023572444915771,0.3313714563846588,2.3459625244140625,157.77578735351562,155.42982482910156,261.49851989746094,177.4536895751953,438.95220947265625
MEL,8.325069427490234,22.187480926513672,30.512550354003906,0.2860816419124603,0.2860816419124603,0.0,3.0534403324127197,3.0534403324127197,0.0,1.3380675315856934,6.445816516876221,7.783884048461914,0.03021317720413208,0.1553526371717453,0.12513945996761322,0.04199278028681874,0.04319498687982559,0.0012022065930068493,0.009191155433654785,0.2473069429397583,0.23811578750610352,0.07847761735320091,0.11245819926261902,0.033980581909418106,11.876302719116211,30.4431095123291,42.31941223144531,0.2669026851654053,0.49735480546951294,0.23045212030410767,11.418014526367188,158.30575561523438,146.8877410888672,0.371490478515625,183.34539794921875,183.71688842773438
LEV,6.8527936935424805,22.694543838500977,15.841750144958496,0.018680304288864136,0.29499074816703796,0.27631044387817383,2.742061048746109,3.07539439201355,0.3333333432674408,5.79526686668396,8.422675132751465,2.627408266067505,0.0895707756280899,0.15393444895744324,0.24350522458553314,0.03755310922861099,0.03755310922861099,0.0,0.02089865505695343,0.240510031580925,0.2614086866378784,0.09340417757630348,0.10958395153284073,0.016179773956537247,13.435952186584473,28.463748931884766,15.027796745300293,0.28842274844646454,0.5342690348625183,0.24584628641605377,3.5777587890625,157.88291931152344,161.46067810058594,49.40576171875,179.41990661621094,228.82566833496094
