zeo,MMD
CHA,0.37201690673828125
AEL,0.8028755187988281
MFI,0.548370361328125
LTA,0.3828115463256836
AFI,0.9279570579528809
IWR,0.8095426559448242
BEA,0.43419694900512695
MTW,0.42149829864501953
MEL,0.37375974655151367
LEV,0.8783159255981445
FAU,1.2656364440917969
BEC,1.189725399017334
FER,0.7423453330993652
ATO,1.527745246887207
MWW,1.14933443069458
IMF,1.9966096878051758
AEN,1.6338520050048828
STF,0.30765819549560547
MAZ,1.0719342231750488
AEI,1.355696201324463
GIS,1.1373848915100098
TON,0.4304361343383789
ITE,1.0328078269958496
NON,1.4017462730407715
MOR,0.9629569053649902
AST,1.032515525817871
PHI,1.2559313774108887
SAV,0.7731661796569824
UOV,2.407059669494629
ITT,1.1512727737426758
MTT,0.4909043312072754
ITG,1.2810492515563965
CON,0.7045135498046875
NSI,0.5764889717102051
ERI,0.5857911109924316
MTN,0.8271121978759766
MRE,1.1495075225830078
AFR,1.2762527465820312
SWY,2.1912336349487305
LAU,1.2722859382629395
DDR,0.44672107696533203
AFX,0.8983192443847656
UFI,3.0881314277648926
ISV,1.6019535064697266
ANA,0.7134637832641602
CLO,2.6065502166748047
OFF,2.7762041091918945
STI,3.188110828399658
CTH,2.7842636108398438
SFS,2.5495476722717285
AWO,1.6344575881958008
DOH,2.480767250061035
SOD,0.7884435653686523
STW,2.216391086578369
UOZ,1.2466979026794434
MEI,2.787045955657959
ETL,1.8981194496154785
AVE,1.2240452766418457
SZR,0.6724557876586914
JST,1.4934463500976562
IFR,2.0290756225585938
IFW,2.500006675720215
CGS,1.8627686500549316
PWN,2.8739566802978516
ATS,2.9799633026123047
RTH,1.1363859176635742
EUO,0.35938453674316406
EMT,0.5826444625854492
BPH,0.4030013084411621
AWW,2.565540313720703
ASV,0.11671257019042969
IHW,2.385819435119629
RWY,4.037494659423828
LTJ,2.9836721420288086
SFH,1.343277931213379
NES,-0.26982545852661133
IRR,3.5591883659362793
TUN,2.720431327819824
IWV,1.141798973083496
EON,0.7668066024780273
STO,1.714707851409912
ITW,-0.12340545654296875
SFW,2.7649030685424805
IFU,3.565654754638672
VFI,2.184800624847412
EEI,3.0786328315734863
SFG,3.95859956741333
LOS,3.910752296447754
SFV,2.752505302429199
IFO,3.403120994567871
RTE,3.9298720359802246
MER,4.006190776824951
AFN,3.5514559745788574
APC,2.800097942352295
SFN,3.6108016967773438
SSY,3.629593849182129
PUN,3.5527448654174805
LTL,3.178145408630371
UOS,3.5479650497436523
CGF,3.077786922454834
AHT,3.675856590270996
VET,3.299190044403076
ABW,3.5556459426879883
PWW,3.4720969200134277
