zeo,osda,MMD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,1.2545595169067383
AEL,CCCNCCC,1.4263038635253906
CHA,OSDA-free,1.5591330528259277
MFI,OSDA-free,1.8085012435913086
CHA,CCN(CC)CC,2.161257266998291
LTA,C[N+](C)(C)C,1.1255874633789062
MEL,CCCC[N+](CCCC)(CCCC)CCCC,1.1973161697387695
CHA,C1COCCN1,1.6549253463745117
ATO,CCCNCCC,1.9657258987426758
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.5270462036132812
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,1.7378129959106445
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,2.7944278717041016
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,1.0869030952453613
LEV,C[N+]12CCC(CC1)CC2,2.4315848350524902
AFI,CCCN(CCC)CCC,1.9010157585144043
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.5814404487609863
MAZ,OSDA-free,1.9675073623657227
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,2.463751792907715
AEN,CC[n+]1ccn(C)c1C,2.3199992179870605
FAU,C1COCCOCCOCCOCCOCCO1,2.296022891998291
FAU,CC[N+](CC)(CC)CC,2.7538719177246094
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,2.795919895172119
PHI,OSDA-free,2.3365721702575684
GIS,CCCNCCC,2.71840238571167
LEV,C[N+]1(C)CCCCC1,2.076136589050293
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,1.4808554649353027
FER,C[N+]1(Cc2ccccc2)CCCC1,3.1286511421203613
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,1.632192611694336
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,3.4566774368286133
SAV,C1CNCCCNCCNCCNC1,2.110891342163086
AEI,CC[P+](CC)(CC)CC,2.7639079093933105
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,1.1912474632263184
NSI,c1cc(-c2ccncc2)ccn1,1.4952964782714844
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,1.1160306930541992
FER,C1CNCCN1,2.2964277267456055
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,3.071958541870117
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,1.532552719116211
MWW,CCCCCCC[N+](C)(C)C,3.8695335388183594
MFI,CCN,1.4756946563720703
