zeo,osda,WSD
CHA,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.4544636678341892
AEL,CCCNCCC,0.5615046772950203
CHA,OSDA-free,0.5397291328957742
MFI,OSDA-free,0.473037070086928
CHA,CCN(CC)CC,0.5078130690550335
LTA,C[N+](C)(C)C,0.5751004212896136
MEL,CCCC[N+](CCCC)(CCCC)CCCC,0.3931854431555347
CHA,C1COCCN1,0.5133801515410575
ATO,CCCNCCC,0.7602859404978748
IWR,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.9908025237452516
LTA,C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2,0.9214729766596336
IMF,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.6103425141519084
IWR,CC[N+]1(CC)CC2C3C(C)=CC(C)(C2C1)C1C[N+](CC)(CC)CC31,0.6481931848174718
LEV,C[N+]12CCC(CC1)CC2,0.523913985938635
AFI,CCCN(CCC)CCC,1.0466032436469324
BEC,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.8176624834316303
MAZ,OSDA-free,0.5949621999442183
MWW,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,0.7206195958601778
AEN,CC[n+]1ccn(C)c1C,1.150411874248155
FAU,C1COCCOCCOCCOCCOCCO1,0.5478924537336818
FAU,CC[N+](CC)(CC)CC,0.6152017291784369
UOV,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,1.0953770679657806
PHI,OSDA-free,0.6094681410171532
GIS,CCCNCCC,0.7096810751176745
LEV,C[N+]1(C)CCCCC1,0.5816461216077121
ITT,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.8361353283114656
FER,C[N+]1(Cc2ccccc2)CCCC1,0.6871676169813645
ITG,C[N+]1(C)CCC([N+]2(C)CCCC2)CC1,0.8355790201682498
BEA,C(CCCC[N+]12CCC(CC1)CC2)CCC[N+]12CCC(CC1)CC2,0.9341306901056894
SAV,C1CNCCCNCCNCCNC1,0.5560212975162964
AEI,CC[P+](CC)(CC)CC,0.6640976207438939
AFI,C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1,0.6861171747464495
NSI,c1cc(-c2ccncc2)ccn1,0.48648356397478876
CON,CC1(C)[C@H]2CC[C@@H](C[N+](C)(C)C)[C@@H]1C2,0.7846172683529398
FER,C1CNCCN1,0.6453645109109439
MTW,C[N+]1(Cc2ccccc2)CCC(CCCCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1,0.9000289919906843
BEA,C(CC[N+]12CCN(CC1)CC2)C[N+]12CCN(CC1)CC2,0.4693837185572665
MWW,CCCCCCC[N+](C)(C)C,1.1233298601209207
MFI,CCN,0.5299486898801041
TON,NCCCCCCCCN,0.4656193258077881
AFR,CCC[N+](CCC)(CCC)CCC,0.6820309617966829
AST,c1ccncc1,1.1386090093378716
AEI,C[C@H]1C[C@@H](C)C[N+](C)(C)C1,0.6931740220915874
MTT,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.5238961634848766
LTA,Cc1ccc(C[n+]2ccn(C)c2C)cc1,0.5384350668888017
SWY,C1CCCC(CCCCCCC2(N3CCCCCCN3)CCCCCCC2)(N2CCCCCCN2)CCC1,0.6078818020937976
STF,CCC1CCCC[N+]12CCCCC2,0.7539953333559788
BEA,CC[N+]1(CC)CC2C3C=CC(C2C1)C1C[N+](CC)(CC)CC31,0.4769903607234092
CHA,CC(C)NC(C)C,0.8901563433032131
MFI,CCCN(CCC)CCCCCN(CCC)CCC,0.5067189799979361
ITE,NCCNCCNCCNCCNCCN,0.7532629184784047
ISV,CC1(C)CC2CC(C)(C1)C[N+]21CCCCC1,0.7993816575725282
UFI,CC[N+](CC)(CC)CC,0.8750551909879241
MTW,C(CC[N+]12CCC(CC1)CC2)C[N+]12CCC(CC1)CC2,0.9140252103980128
CLO,C1CN2CCC1CC2,1.2957779417601012
MTW,CCC(CC)n1cc[n+](C(CC)CC)c1,0.5182875601206359
AFI,[CH]1C=CC=C1,1.117083257111315
MFI,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.6541161973692322
LAU,c1c[nH]cn1,0.8969265994676119
LEV,CC[N+](C)(C)CC,0.42473022777512537
OFF,C[N+](C)(C)Cc1ccccc1,0.7428753394517863
FER,NCCCCN,0.7608760736538174
DDR,C[N+]1(C)C2CCC1CC(O)C2,0.4872509616157924
STI,CC[N+](CC)(CC)CC,1.122620543272236
AFX,C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0.8111870368213292
STF,CC1(C)C2CCC[N+](C)(C)C1C2,0.47536419730106433
MTN,C1CCNC1,0.8931466220898406
AFI,CCN(C(C)C)C(C)C,1.10785958209091
AEN,CC[N+](CC)(CC)CC,1.0769038235571011
BEA,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.5569629517897979
AST,CC(C)[N+](C)(C)C,0.9601527895437717
MTW,C1CN2CCN1CC2,0.8398409753603417
BEC,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.7726444391202131
MTW,C1CCC[N+]2(CC1)CCCCC2,0.5255851230946333
BEC,OCC1CCCN1Cc1cccc(CN2CCCC2CO)c1,1.1322930949271015
ITE,C1CC[N+]23CCCCC2(C1)CCCC3,0.6711222144293224
MFI,C1CCNC1,0.5653916838929103
MTW,CC(C)(C)c1cccc(C(C)(C)C)n1,0.905503876887511
NON,CC1CCCN1,1.6216923636565403
SFS,CC[N+]1(CC)C(C)CC[C@H]2CCCCC21,1.162329518936339
MTN,N[C@@H]1C[C@H]2CC[C@@H]1C2,1.0362716782404737
STF,CC12CCC(C[N+](C)(C)C1)C2(C)C,0.4809301288459844
BEC,CC[N+](CC)(CC)Cc1ccccc1,0.7737131314746197
CHA,CN(CCO)CCO,0.6027586147576284
FAU,Cc1cccc(C)[n+]1C,0.6514472080548318
NON,CC1CCCCN1,1.6402572911020423
CHA,CN1CCNCC1,1.1781285958848646
ERI,C[N+]1(C)CCCCC1,0.6992593417840878
AFI,C1CCCNCC1,0.5453363588750203
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.7826184455626143
ITE,C[N+]1(C)CCCCC2CCCCC21,0.6173833264907234
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.6607573962346309
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.5343240609764822
AVE,C1CC[N+]2(CC1)CCCC2,0.5642147793910506
MWW,CCCCCC[N+](C)(C)C,1.1199971637435113
STW,CCc1n(C)cc(C)[n+]1C,0.884888138391941
FER,CCCCN,0.9328992742012264
TON,CC(N)CN,0.8108565584329901
ETL,C[N+](C)(C)CCO,0.7088679751392861
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,0.6803035891206357
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.6997175655462069
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.6235163002072747
MEI,CN(CCO)CCO,0.6362933261156538
AEL,CCNCC,0.5491538937462812
CHA,NCCNCCN,0.5510152509885959
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,1.01215889439889
AEL,CCCCNCCCC,0.7188224648390256
MFI,CCCNCCC,0.7943773736156566
GIS,C[N+](C)(C)C,0.6797172480510425
FER,NC1CCCCC1,0.7228607246859847
SOD,C1CCC2(C1)CCC[NH2+]2,1.3484027898824653
DOH,CC1CNCCN1,1.6259960843450685
TON,CCC(C)N,0.8782604731329714
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,0.9312137942750467
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.8058355163578902
AFI,Fc1cccc(CN2CCCC2)c1,0.5915804882892928
AFI,CN1C2CCC1CC(O)C2,1.1280937447541703
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.5164458268767296
IFW,CN(C)[P+](CCCC[P+](N(C)C)(N(C)C)N(C)C)(N(C)C)N(C)C,1.0839040210918673
AWO,CNC,1.1282180583202674
JST,NCCN,1.7478435110262587
MFI,CN(C)CC(C)(C)CN(C)C,0.6900178742986492
STF,CC[N+]1(C)C2CCCC1CCC2,0.49501310878155513
PWN,C[N+]12CC[N+](C)(CC1)CC2,0.6910822847634315
MFI,CC[N+](CC)(CC)CCCCCCCCC[N+](CC)(CC)CC,0.7444031156708717
AEN,C[N+](C)(C)C,1.1569496320556323
BEA,C[N+](C)(Cc1ccccc1)Cc1ccccc1,0.92944470154195
BEA,CC1CC(C)C[N+]2(Cc3ccccc3C2)C1,0.8995679543425232
MFI,CC[N+](CC)(CC)CCCCCCC[N+](CC)(CC)CC,0.6749965622380658
MTW,CC[N+]1(CC)CCCC2CCCCC2C1,0.5624333310902758
MTW,C[N+](C)(C)CCCC[N+](C)(C)C,0.503248362244433
MOR,CN(C)CCCN(C)C,0.6857256015250661
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2)c1,1.1180736791401924
CGS,C1CN2CCC1CC2,0.8762953367768057
BEA,CC1CC[N+]2(CCCC3CCCCC32)CC1,0.5609143935622143
MRE,CC[N+](C)(C)CCCCCC[N+](C)(C)CC,0.8663698802917641
LAU,Cn1ccnc1,0.7645807989849018
EMT,CC[N+](CC)(CC)CC,0.9628632298998248
TON,CCn1cc[n+](CC)c1,0.8458883495137168
CTH,Cc1cc(C)cc(Cn2cc[n+](C)c2C)c1,1.132894163140748
SAV,C1CNCCNCCCNCCNC1,0.841774592146904
DDR,C1CN2CCC1CC2,1.1605748768695752
BEA,C[N+](C)(C)Cc1ccccc1,0.6591398557347252
MEL,CCCN,0.9591101762682833
MTW,N[C@H]1CC[C@H](N)CC1,0.859820021827219
ATS,CCCNCCC,1.1525128687278905
MWW,c1ccc(C[N+]23CCC(CC2)CC3)cc1,0.722020722268808
AFI,C1CN2CCN1CC2,0.6587731422561536
IHW,C[N+]1(C)CC2C(C1)C1C[N+](C)(C)CC21,0.7804984125985093
MTW,C[N+](C)(C)C1CC2CC1C1CCCC21,0.5169468420993837
IFR,OC1C[N+]2(Cc3ccccc3)CCC1CC2,0.6193373294789424
MTW,NCC1CCNCC1,0.7276429622148672
FAU,C(CCN1CCOCCOCCOCCOCC1)CN1CCOCCOCCOCCOCC1,0.7335392267529324
FER,Cn1cc[n+](C)c1,0.7783665977933228
AEL,CCN1C=CN(C)C1C(=O)[O-],1.7465963898266987
AEN,OSDA-free,1.1397719603921388
MTW,C[N+]1(C2CCCCC2)CCCC1,0.8582663777018067
MTW,CN(C)CCCCCC[N+](C)(C)Cc1ccc(C[N+](C)(C)CCCCCCN(C)C)cc1,0.6947740080991431
GIS,NCCN,1.356258882357436
MTW,C[N+](C)(C)CCCCC[N+](C)(C)C,0.6490861043103269
EUO,C[N+](C)(C)CCCCC[N+](C)(C)C,0.5522913292259047
MFI,CCn1ccc[n+]1CCCCCC[n+]1cccn1CC,0.6684650655841204
BEA,CCC[N+]1(C)CCCC1,0.7501398520083769
LTJ,OSDA-free,1.6294337223681103
MFI,CN(C)CCCCCCN(C)C,0.777809909212698
MRE,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.5102696298765788
BEA,C1CC[N+]2(CC1)CCCC1CCCCC12,0.8487542486758991
MEL,CC1CC(C)C[N+](C)(C(C)C)C1,0.9391388985030616
MEL,CC1CC(C)C[N+]2(CCCC2C)C1,0.9937798844961574
BEC,C[N+]12CCN(CC1)CC2,1.079788200123601
MFI,CCCC[N+]1(C)CCCC1,0.7018531030348918
BEA,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.7349042577291074
BEA,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,0.5321545273427509
RTH,CN1CCCCC1,0.8199016396326574
ASV,CC[P+](CC)(c1ccccc1)c1ccccc1,0.7189319340037557
RWY,NCCN(CCN)CCN,1.6841013915685958
MFI,CCCCC[N+]12CCC(CC1)CC2,1.194401958647273
NON,C[N+](C)(C)C1CCCC1,1.1750129140577432
MOR,C[N+](C)(C)CCCCCCC[N+](C)(C)C,0.7256886342233949
MOR,C1CCC[N+]2(CC1)CCCCC2,0.6690813210069892
ANA,C[N+](C)(C)CCCC[N+](C)(C)C,0.7494067676915311
NON,CC1CC[N+](C)(C)CC1,0.8866432116192923
LEV,C[N@@+]1(Cc2ccccc2)CCC[C@H]1CO,0.787853006133721
ANA,CCCC[N+](CCCC)(CCCC)CCCC,0.7684376388561924
TON,CCC(N)CCCN,0.5172973879531446
MOR,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.6573709939889418
LEV,CC1CCCCC1N,1.052376499716215
MFI,C1CCNCC1,0.6626039800171565
MTT,CC(C)CNCCCCCCCNCC(C)C,0.5178634175061677
MFI,CCCCO,1.0644196956843577
MFI,CC(C)N(C(C)C)C(C)C,0.7322324333787983
MEL,NCCCCCCCN,0.8049773551710921
MTT,C[N+](C)(C)CCCCCCCC[N+](C)(C)C,0.6185750056037644
IWV,Cc1c(C)[n+](CCCCCC[n+]2c(C)c(C)n(C)c2C)c(C)n1C,0.6656939476553565
MEL,CCCC[N+]1(C)CC[N+](CCC)(CCC)CC1,0.7390516922698285
MEL,CCCCCCCCN,0.8042709444813871
MFI,C[N+]1(CCCCCC[N+]2(C)CCCCC2)CCCCC1,0.8249039089888323
MOR,C[N+]1(CCCC[N+]2(C)CCCC2)CCCC1,0.674504542636783
MTW,CC1CC(C)C[N+](C)(C)C1,0.9342044975021115
MRE,C[N+](C)(C)CCCCCCCCCCCC[N+](C)(C)C,0.9077620130560936
MTW,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)Cc1ccc([N+](C)(C)CCCCCC[N+](C)(C)Cc2ccc([N+](C)(C)CCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCCCCC)cc2)cc1,0.7022610739031128
MOR,CCC[N+](C)(C)CCC,0.7075410147377872
MOR,CC(C)CN(CCCCCN(CC(C)C)CC(C)C)CC(C)C,0.7831767951854474
FAU,C1CCC2(C1)CCC[NH2+]2,0.7795470942489295
IRR,Cc1ccc(Cn2cc[n+](C)c2)cc1,1.1091170072922507
CON,CC[N+]1(CC)CCCC(C)(C)C1,0.8474097778966589
PHI,C[N+](C)(C)CCO,0.6955233989298977
AST,C[N+](C)(C)C,0.9980414221126379
STF,CC[N+]1(CC)C[C@H](C)CC[C@@H]1C,0.968253173002904
IFU,c1ccc2c(c1)C[N+](C1CCCCC1)(C1CCCCC1)C2,1.1334947150861925
SAV,CN1CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1,1.4736657914863642
MRE,CCCCCCCCC[N+](C)(C)C,0.8185815920994748
AWW,C1N2CN3CN1CN(C2)C3,1.1838754290350146
